,IC,RankIC,RR
20250402,,,
20250403,,,
20250407,0.03149070221070701,0.1032055884739994,-0.03558439563347359
20250408,,,
20250409,,,
20250410,,,
20250411,,,
20250414,0.015134768633337186,-0.07812167872516329,0.008014811220199026
20250415,,,
20250416,,,
20250417,,,
20250418,,,
20250421,-0.1061222823406739,-0.12148682114455761,-0.03283264807599117
20250422,,,
20250423,,,
20250424,,,
20250425,,,
20250428,-0.4024980322675274,-0.41865678175111415,-0.12680166436330528
20250429,,,
20250430,,,
20250506,-0.13538393536093757,-0.21099141271697525,-0.050039961629746964
20250507,,,
20250508,,,
20250509,,,
20250512,0.0849518531014556,-0.039352096379767006,0.057394099447681306
20250513,,,
20250514,,,
20250515,,,
20250516,,,
20250519,-0.009669881379291452,-0.027926071036551384,-0.010269508570090768
20250520,,,
20250521,,,
20250522,,,
20250523,,,
20250526,-0.13141549211352177,-0.056158919866640705,-0.10867968325435909
20250527,,,
20250528,,,
20250529,,,
20250530,,,
20250603,-0.027030140553938504,-0.09239732102775233,0.02120845135091728
20250604,,,
20250605,,,
20250606,,,
20250609,-0.011966627266533912,-0.028102458657052014,-0.012646253860924033
20250610,,,
20250611,,,
20250612,,,
20250613,,,
20250616,-0.10092477400321351,-0.1662984789137404,-0.044991209773270764
20250617,,,
20250618,,,
20250619,,,
20250620,,,
20250623,-0.026732556149214104,-0.12019720433781664,0.03468993371229919
20250624,,,
20250625,,,
20250626,,,
20250627,,,
20250630,-0.20810627654138023,-0.20779845368416894,-0.07239879121590259
20250701,,,
20250702,,,
20250703,,,
20250704,,,
20250707,-0.09579986850654662,-0.05253649089782978,-0.006422983637526015
20250708,,,
20250709,,,
20250710,,,
20250711,,,
20250714,-0.15934461643461867,-0.06942728327051978,-0.07100859499594037
20250715,,,
20250716,,,
20250717,,,
20250718,,,
20250721,-0.1125344952156976,-0.11212366520559738,-0.05309087167277486
20250722,,,
20250723,,,
20250724,,,
20250725,,,
20250728,0.12054541933013732,-0.05527009271458526,0.06611609964796031
20250729,,,
20250730,,,
20250731,,,
20250801,,,
20250804,-0.030416202831028798,-0.04058658547267212,-0.022382027473936555
20250805,,,
20250806,,,
20250807,,,
20250808,,,
20250811,-0.0013085299331476454,-0.0509785545100031,-0.029349246453205555
20250812,,,
20250813,,,
20250814,,,
20250815,,,
20250818,-0.20195483087077848,-0.1672591004478405,-0.04060499127797883
20250819,,,
20250820,,,
20250821,,,
20250822,,,
20250825,-0.013557022149758716,-0.01676001298297507,-0.015271617136716598
20250826,,,
20250827,,,
20250828,,,
20250829,,,
20250901,-0.2326464547333011,-0.18573104413092478,-0.06434686562173997
20250902,,,
20250903,,,
20250904,,,
20250905,,,
20250908,0.18731330019143508,0.05321932233007303,0.07060613336080852
20250909,,,
20250910,,,
20250911,,,
20250912,,,
20250915,-0.08566852724266423,-0.16057920604238418,-0.0515177808539683
20250916,,,
20250917,,,
20250918,,,
20250919,,,
20250922,-0.045939732925692416,-0.02112429678538523,0.00034852004606334905
20250923,,,
20250924,,,
20250925,,,
20250926,,,
20250929,0.0031857105086161,-0.0692505060532998,0.013727031828181009
20250930,,,
20251009,-0.03803721115029631,-0.040405991726166934,-0.014541662997604949
20251010,,,
20251013,-0.059124075246670856,-0.1610616411237545,-0.014665936579548615
20251014,,,
20251015,,,
20251016,,,
20251017,,,
20251020,-0.1748169560245049,-0.18436890480244195,-0.051374185675142875
20251021,,,
20251022,,,
20251023,,,
20251024,,,
20251027,-0.12290437262003956,-0.11303295999116174,-0.06340738012326408
20251028,,,
20251029,,,
20251030,,,
20251031,,,
20251103,0.169830503661466,0.09807567224432574,0.08560673657805833
20251104,,,
20251105,,,
20251106,,,
20251107,,,
20251110,0.2244026309822853,0.08791626388079526,0.12200563578766913
20251111,,,
20251112,,,
20251113,,,
20251114,,,
20251117,-0.2985789720814366,-0.2797034006303392,-0.11707109134364307
20251118,,,
20251119,,,
20251120,,,
20251121,,,
20251124,-0.04547317352415466,-0.024063312803820604,-0.04581323200674779
20251125,,,
20251126,,,
20251127,,,
20251128,,,
20251201,0.1612709971029036,0.05100478771102921,0.042232525688007234
20251202,,,
20251203,,,
20251204,,,
20251205,,,
20251208,-0.01605210532630287,-0.10881426624961542,0.02990724407836203
20251209,,,
20251210,,,
20251211,,,
20251212,,,
20251215,-0.17557704891251102,-0.17126654120029147,-0.021306128112215106
20251216,,,
20251217,,,
20251218,,,
20251219,,,
20251222,0.08033984278739016,-0.010429261496959507,-0.0033629865472786374
20251223,,,
20251224,,,
20251225,,,
20251226,,,
20251229,-0.1556026124760918,-0.2311994535756061,-0.04951268679509907
20251230,,,
20251231,,,
20260105,0.24088468974031316,0.1640047302582019,0.060748602845081726
20260106,,,
20260107,,,
20260108,,,
20260109,,,
20260112,-0.3660152507248214,-0.1579170160806076,-0.1501275082976148
20260113,,,
20260114,,,
20260115,,,
20260116,,,
20260119,0.019738045530873376,-0.030239150967653745,-0.007775293796859277
20260120,,,
20260121,,,
20260122,,,
20260123,,,
20260126,-0.07251176004576432,-0.11938019434808757,-0.031191584955060973
20260127,,,
20260128,,,
20260129,,,
20260130,,,
