stock_code,center_date,trading_days_count,avg_daily_return,cumulative_return,win_rate,volume_change_rate,max_daily_return,min_daily_return,volatility,index_name,index_code,effective_date,window_type
601225.SH,2024-12-09,11,0.6326525918025905,6.339357971405457,54.54545454545454,-21.918023222745752,3.7293787293787295,-2.3847376788553087,1.8998586722686013,中证现金流,932365.CSI,2024-12-09,effective_date
601600.SH,2024-12-09,11,-0.18083099333162878,-1.9310344827586312,45.45454545454545,-22.812216918658713,2.8649386084584005,-3.3288948069240987,1.7587749799297616,中证现金流,932365.CSI,2024-12-09,effective_date
000807.SZ,2024-12-09,11,0.6818734883240738,6.774668630338732,45.45454545454545,-21.879367338462895,6.340057636887608,-1.4430014430014237,2.3519664977450856,中证现金流,932365.CSI,2024-12-09,effective_date
600219.SH,2024-12-09,11,-0.1429974478836593,-1.5463917525773252,36.36363636363637,-7.25969423981172,2.3376623376623495,-3.499999999999992,1.6772557445387453,中证现金流,932365.CSI,2024-12-09,effective_date
600096.SH,2024-12-09,11,0.017591082010380843,0.09818360333824216,54.54545454545454,-25.615301865585526,2.436598707110882,-1.676245210727978,1.3164135730434237,中证现金流,932365.CSI,2024-12-09,effective_date
000933.SZ,2024-12-09,11,0.9849805509953423,9.96119016817596,72.72727272727273,-16.249756285941952,4.976019184652292,-4.804974561899389,2.6166867345834675,中证现金流,932365.CSI,2024-12-09,effective_date
000513.SZ,2024-12-09,11,-0.04507108104587876,-0.48859934853417997,45.45454545454545,-23.987006344592533,1.1434794445956742,-1.5978695073235905,0.9297763869971715,中证现金流,932365.CSI,2024-12-09,effective_date
601958.SH,2024-12-09,11,-0.015375906263642714,-0.19646365422396617,45.45454545454545,-29.548212866510546,1.263362487852282,-2.0076481835564097,0.9740342920841746,中证现金流,932365.CSI,2024-12-09,effective_date
600295.SH,2024-12-09,11,-0.11298708130825341,-1.2917115177610072,27.27272727272727,30.099385440604955,3.7634408602150504,-2.083333333333348,1.9492445951011566,中证现金流,932365.CSI,2024-12-09,effective_date
603939.SH,2024-12-09,11,0.6559523227028508,6.589147286821695,54.54545454545454,54.7795896712356,3.597122302158273,-1.9810508182601216,1.881114355204639,中证现金流,932365.CSI,2024-12-09,effective_date
600612.SH,2024-12-09,11,0.5128302420747429,4.867517173699709,54.54545454545454,-19.121142179070805,5.23900573613767,-2.4337585868498435,2.8679189259182354,中证现金流,932365.CSI,2024-12-09,effective_date
601156.SH,2024-12-09,11,0.40533414229129255,3.9460285132382866,36.36363636363637,17.111932508230954,3.7079657332821814,-1.6664682775859863,1.9892605871846933,中证现金流,932365.CSI,2024-12-09,effective_date
601001.SH,2024-12-09,11,-0.037181935859119664,-0.5206396429899507,45.45454545454545,-5.831833673004027,2.6031982149497868,-3.069053708439884,1.8256014737956479,中证现金流,932365.CSI,2024-12-09,effective_date
600380.SH,2024-12-09,11,-0.09286618133136693,-0.9700176366843172,54.54545454545454,-13.430283994999282,1.2477718360071277,-1.6493055555555691,1.0051886509254908,中证现金流,932365.CSI,2024-12-09,effective_date
000951.SZ,2024-12-09,11,0.14305438842207696,1.3273001508295579,45.45454545454545,-37.03142684635111,3.2534753031647545,-2.0791221484262157,1.5770780512097806,中证现金流,932365.CSI,2024-12-09,effective_date
601811.SH,2024-12-09,11,0.7212902293132128,7.30136005726556,54.54545454545454,42.40359384364461,4.397981254506145,-1.4378145219266614,1.7827416188637597,中证现金流,932365.CSI,2024-12-09,effective_date
600420.SH,2024-12-09,11,-0.03684746180638854,-0.5054759898905026,36.36363636363637,-20.249422592977773,2.3966942148760273,-3.470540758676355,1.7479404114003245,中证现金流,932365.CSI,2024-12-09,effective_date
601975.SH,2024-12-09,11,-0.05194895634062724,-0.6289308176100628,45.45454545454545,-27.658941586572293,2.857142857142847,-3.3639143730886945,1.5688016709991097,中证现金流,932365.CSI,2024-12-09,effective_date
603056.SH,2024-12-09,11,-0.17230173663548842,-1.7911270322402806,45.45454545454545,-36.76372830713696,1.657916551533578,-2.490315439955726,1.3518433165099148,中证现金流,932365.CSI,2024-12-09,effective_date
002320.SZ,2024-12-09,11,0.4634672104896664,4.1116005873715,36.36363636363637,-8.355933838584162,10.000000000000009,-3.9705882352941146,3.721943108435539,中证现金流,932365.CSI,2024-12-09,effective_date
002249.SZ,2024-12-09,11,-0.11854664749124222,-1.272727272727281,36.36363636363637,-43.81479636241104,2.941176470588247,-2.317290552584672,1.4530013892020137,中证现金流,932365.CSI,2024-12-09,effective_date
