index_name,window_type,stock_count,avg_cumulative_return,std_cumulative_return,min_return,max_return,avg_win_rate,avg_volatility,positive_return_rate,gt5_rate
国证芯片(CNI),cutoff_date,8,0.54,11.45,-16.14,19.0,43.32,3.11,50.0,37.5
国证芯片(CNI),effective_date,8,-1.7,4.88,-7.78,3.81,37.5,2.9,37.5,0.0
基建工程,cutoff_date,20,6.55,8.98,-10.56,22.19,56.59,3.28,75.0,65.0
基建工程,effective_date,20,1.47,13.91,-9.9,54.78,44.36,2.71,40.0,20.0
央企创新,cutoff_date,24,4.29,7.39,-14.71,19.52,46.59,2.17,79.17,37.5
央企创新,effective_date,24,-6.56,20.5,-100.0,8.59,39.39,3.25,25.0,4.17
富时中国A股自由现金流聚焦指数,cutoff_date,80,0.21,3.44,-13.22,9.25,49.53,1.7,56.25,6.25
富时中国A股自由现金流聚焦指数,effective_date,80,0.7,5.29,-13.21,20.48,44.53,1.42,55.0,15.0
新能源车,cutoff_date,21,2.5,4.99,-10.79,8.38,48.59,2.71,66.67,38.1
新能源车,effective_date,21,-3.88,5.51,-14.12,8.88,33.38,2.1,14.29,4.76
新能电池,cutoff_date,6,4.35,3.29,-0.33,7.42,46.97,2.64,83.33,50.0
新能电池,effective_date,6,-0.65,4.0,-8.08,3.76,41.67,2.16,50.0,0.0
有色金属,cutoff_date,17,3.44,6.28,-8.34,16.44,46.72,2.45,70.59,41.18
有色金属,effective_date,17,-2.59,7.4,-11.99,20.94,32.99,1.98,23.53,5.88
机器人,cutoff_date,55,7.89,9.54,-21.3,44.1,52.91,3.58,87.27,69.09
机器人,effective_date,55,-2.69,7.94,-28.63,21.75,39.49,2.81,25.45,9.09
机器人产业,cutoff_date,135,5.39,7.82,-25.16,37.49,52.36,2.76,85.19,48.89
机器人产业,effective_date,136,0.7,7.46,-18.59,34.83,43.82,2.68,49.26,20.59
生物医药,cutoff_date,6,2.36,5.67,-7.96,7.68,42.99,2.04,83.33,33.33
生物医药,effective_date,6,-1.58,11.26,-11.68,13.43,36.97,2.83,33.33,33.33
科技龙头,cutoff_date,67,3.1,8.75,-27.79,24.09,48.61,2.94,64.18,43.28
科技龙头,effective_date,66,0.75,6.93,-13.44,28.84,42.8,2.37,57.58,27.27
稀土产业,cutoff_date,9,5.15,5.46,-4.48,14.59,44.07,5.32,88.89,44.44
稀土产业,effective_date,9,3.67,9.21,-8.94,15.83,36.36,5.21,55.56,44.44
红利低波,cutoff_date,43,2.66,4.52,-4.02,18.48,47.15,1.63,69.77,18.6
红利低波,effective_date,43,0.39,3.82,-11.66,7.43,44.61,1.83,55.81,11.63
红利低波100,cutoff_date,227,1.64,5.85,-21.23,49.6,46.63,1.6,62.56,17.62
红利低波100,effective_date,227,0.51,4.52,-10.17,17.27,41.86,1.41,45.81,16.74
红利指数,cutoff_date,20,2.32,8.69,-11.11,30.6,46.82,2.37,60.0,20.0
红利指数,effective_date,20,0.03,4.78,-11.71,8.42,41.59,2.42,55.0,10.0
细分食品,cutoff_date,12,8.07,12.97,-1.69,44.91,55.21,2.97,91.67,33.33
细分食品,effective_date,12,-3.75,6.53,-11.97,12.66,37.35,2.31,16.67,8.33
结构调整,cutoff_date,75,3.52,5.68,-10.26,19.52,48.8,2.23,72.0,34.67
结构调整,effective_date,73,-2.03,5.06,-12.52,11.97,37.4,1.72,27.4,9.59
自由现金流,cutoff_date,280,1.22,7.88,-17.96,92.43,46.23,2.35,56.43,19.29
自由现金流,effective_date,280,0.2,12.16,-29.7,51.5,42.12,2.26,32.14,22.5
证券公司,cutoff_date,4,2.14,2.58,-0.13,5.34,43.47,2.1,75.0,25.0
证券公司,effective_date,4,3.19,6.85,-4.22,9.24,41.82,2.18,50.0,50.0
金融科技,cutoff_date,12,4.14,9.67,-12.95,21.37,45.55,4.84,66.67,50.0
金融科技,effective_date,12,0.27,8.05,-14.29,12.87,42.05,3.44,50.0,33.33
