datetime,_root__momentum_factor,_root__risk_adjusted_momentum
2025-08-26,0.3448033673339973,0.21342551233417878
2025-08-27,0.42677494997807663,0.3919557270947308
2025-08-28,0.1731389617179969,0.11906649529769867
2025-08-29,0.20990335350229106,0.14263760421607474
2025-09-01,-0.10050371294689307,-0.06609495375254856
2025-09-02,0.20187308489503678,0.24450549041585007
2025-09-03,0.08398231307667083,0.1298781071545021
2025-09-04,0.564863173779235,0.5462781268150396
2025-09-05,0.38106753841134133,0.3509693341908107
2025-09-08,0.156104531256525,0.08872840687082223
2025-09-09,0.1886454880187192,0.08450498251964127
2025-09-10,0.3434013912064622,0.25636615399698637
2025-09-11,0.3500144345228092,0.26614518609249316
2025-09-12,0.3122005158677255,0.2470392457119916
2025-09-15,0.2852775035685903,0.23188409411643035
2025-09-16,0.34840252040028086,0.3000075761468569
2025-09-17,0.2698081793285526,0.22699826546597107
2025-09-18,0.3453188867632519,0.3730384795827215
2025-09-19,0.2295077698835688,0.26059878252614826
2025-09-22,0.25437247444037886,0.30740660225433997
2025-09-23,0.19313024383531957,0.3368102552369941
2025-09-24,0.22839852640902647,0.28154019075902853
2025-09-25,0.09594039039833233,0.13311837345788888
2025-09-26,0.23879355076784156,0.29482480752396134
2025-09-29,0.2224554380684686,0.2505132581000687
2025-09-30,0.05143651488056112,0.026146634596581522
2025-10-09,-0.3906368219090076,-0.3797399818933695
2025-10-10,-0.19807112141777633,-0.18061818636103003
2025-10-13,-0.4247836307646259,-0.4108305007276119
2025-10-14,-0.0035059862855668484,0.030808532390796284
2025-10-15,-0.1305785222302336,-0.10679300670592393
2025-10-16,-0.15002810280354636,-0.12312528282614371
2025-10-17,0.08610963683302751,0.14460552452307834
2025-10-20,0.1151748081832169,0.15226288538018268
2025-10-21,0.1726323884293316,0.1884449999136248
2025-10-22,0.14433602912659896,0.12605132556276408
2025-10-23,0.11913261011562057,0.10253025191410275
2025-10-24,0.1194591810051941,0.04331400340511741
2025-10-27,0.02634399490921606,-0.019764786160576923
2025-10-28,0.1617895914678484,0.09916758228506424
2025-10-29,0.041668223871646023,0.09251154520058628
2025-10-30,-0.03778976654821189,0.0023564031743445683
2025-10-31,0.4159802060515378,0.4253725899244888
2025-11-03,0.3525188422864556,0.34793485403485497
2025-11-04,0.1322332219889613,0.08885232400798725
2025-11-05,0.0649392043708946,0.04393671059406053
2025-11-06,0.19930111369324946,0.13953663766035648
2025-11-07,0.08971625713532316,0.0608432152887333
2025-11-10,0.15822333256576915,0.1975905047789331
2025-11-11,0.11476925903685918,0.14043805666471093
2025-11-12,-0.04159720947960666,-0.044399626718815206
2025-11-13,0.029734980632892153,0.036721592605404633
2025-11-14,-0.00991720474083779,-0.005478679657963962
2025-11-17,-0.14009601382708742,-0.08141385262873498
2025-11-18,0.10960990080735945,0.13112380675588128
2025-11-19,-0.24466192682030677,-0.2114403396797911
2025-11-20,-0.18880695180507065,-0.1225530887682713
2025-11-21,-0.3227665415643199,-0.2056157986794305
2025-11-24,-0.22202215159718494,-0.057327180670864654
2025-11-25,-0.14970607977070696,-0.05757590749188452
2025-11-26,-0.07554557044463595,0.01691073988995275
2025-11-27,-0.1825700986110549,-0.08438091283560685
2025-11-28,-0.017886597442358293,0.007903742448408215
2025-12-01,0.12169706486430193,0.09347525163558264
2025-12-02,-0.01171292947831043,-0.0025477030135060267
2025-12-03,-0.19648680180384814,-0.11014186453625835
2025-12-04,-0.23710201799307834,-0.11260557724761952
2025-12-05,-0.17445660817971007,-0.04519642545292994
2025-12-08,0.03925551907278983,0.1021274120300943
2025-12-09,0.07207081345281413,0.04939226451011657
2025-12-10,0.11338986199017531,0.077409407664359
2025-12-11,0.0699257007661325,0.11452480700000137
2025-12-12,-0.054086873056230556,-0.04782727142494167
2025-12-15,0.04866460007855759,0.10903865759887373
2025-12-16,0.004664594963854401,0.14039268066113705
2025-12-17,-0.046990284991782066,-0.015819394331974854
2025-12-18,0.024203425843981347,0.12064995150275674
2025-12-19,0.24289361984710198,0.21973614727902877
2025-12-22,0.325756015852561,0.29328106220384303
2025-12-23,0.23750624664675027,0.2121220954864287
2025-12-24,0.11163639838590686,0.11282298539637808
2025-12-25,0.13071678281418841,0.107818417842391
2025-12-26,,
2025-12-29,,
2025-12-30,,
2025-12-31,,
