factor,date,quantile,ret
_root__momentum_factor,2025-08-08,Q2,0.0364421491886349
_root__momentum_factor,2025-08-08,Q3,0.023099242927131933
_root__momentum_factor,2025-08-08,Q4,0.024965823990246085
_root__momentum_factor,2025-08-08,Q5,0.05593815891457923
_root__momentum_factor,2025-08-11,Q1,0.013853299391944823
_root__momentum_factor,2025-08-11,Q2,0.027014345551317175
_root__momentum_factor,2025-08-11,Q3,0.028120022126694556
_root__momentum_factor,2025-08-11,Q4,0.03647596990681457
_root__momentum_factor,2025-08-11,Q5,0.06361736851038212
_root__momentum_factor,2025-08-12,Q1,0.017099682787110396
_root__momentum_factor,2025-08-12,Q2,0.02873682555650736
_root__momentum_factor,2025-08-12,Q3,0.02883307751371807
_root__momentum_factor,2025-08-12,Q4,0.03465103065897388
_root__momentum_factor,2025-08-12,Q5,0.05589222062343008
_root__momentum_factor,2025-08-13,Q1,0.020292170146896896
_root__momentum_factor,2025-08-13,Q2,0.028563473690270274
_root__momentum_factor,2025-08-13,Q3,0.02965201305244598
_root__momentum_factor,2025-08-13,Q4,0.04579756691621562
_root__momentum_factor,2025-08-13,Q5,0.038030266876267836
_root__momentum_factor,2025-08-14,Q1,0.042773511307035404
_root__momentum_factor,2025-08-14,Q2,0.03180345299017205
_root__momentum_factor,2025-08-14,Q3,0.045567409718085816
_root__momentum_factor,2025-08-14,Q4,0.050824797684644395
_root__momentum_factor,2025-08-14,Q5,0.050618498385293545
_root__momentum_factor,2025-08-15,Q1,0.04083349125356771
_root__momentum_factor,2025-08-15,Q2,0.04197709693813183
_root__momentum_factor,2025-08-15,Q3,0.050383905363010024
_root__momentum_factor,2025-08-15,Q4,0.051029054216612586
_root__momentum_factor,2025-08-15,Q5,0.05645320072118643
_root__momentum_factor,2025-08-18,Q1,0.04310936391667935
_root__momentum_factor,2025-08-18,Q2,0.038474912021133845
_root__momentum_factor,2025-08-18,Q3,0.05592751631004362
_root__momentum_factor,2025-08-18,Q4,0.06243774309704694
_root__momentum_factor,2025-08-18,Q5,0.07592442576671751
_root__momentum_factor,2025-08-19,Q1,0.046503970069679365
_root__momentum_factor,2025-08-19,Q2,0.05478227001091109
_root__momentum_factor,2025-08-19,Q3,0.05859365450665344
_root__momentum_factor,2025-08-19,Q4,0.06941117767320591
_root__momentum_factor,2025-08-19,Q5,0.09055484879578928
_root__momentum_factor,2025-08-20,Q1,0.03296548456209871
_root__momentum_factor,2025-08-20,Q2,0.04536522184467598
_root__momentum_factor,2025-08-20,Q3,0.04593629209009774
_root__momentum_factor,2025-08-20,Q4,0.04608507705124354
_root__momentum_factor,2025-08-20,Q5,0.089182816043349
_root__momentum_factor,2025-08-21,Q1,0.028787522938316806
_root__momentum_factor,2025-08-21,Q2,0.03648857355294524
_root__momentum_factor,2025-08-21,Q3,0.04514398049236284
_root__momentum_factor,2025-08-21,Q4,0.05867395813475393
_root__momentum_factor,2025-08-21,Q5,0.11370748139136326
_root__momentum_factor,2025-08-22,Q1,0.021721823191623548
_root__momentum_factor,2025-08-22,Q2,0.02927864943444573
_root__momentum_factor,2025-08-22,Q3,0.03897795322333319
_root__momentum_factor,2025-08-22,Q4,0.03225386606316395
_root__momentum_factor,2025-08-22,Q5,0.09583309971272258
_root__momentum_factor,2025-08-25,Q1,0.0032367646952180737
_root__momentum_factor,2025-08-25,Q2,0.013240502731189553
_root__momentum_factor,2025-08-25,Q3,0.026848355494759515
_root__momentum_factor,2025-08-25,Q4,0.030837378868939874
_root__momentum_factor,2025-08-25,Q5,0.06744744484805971
_root__momentum_factor,2025-08-26,Q1,0.0072527255571136085
_root__momentum_factor,2025-08-26,Q2,0.00016052009788145212
_root__momentum_factor,2025-08-26,Q3,0.02569530870382101
_root__momentum_factor,2025-08-26,Q4,0.01915939600659373
_root__momentum_factor,2025-08-26,Q5,0.07128059175555043
_root__momentum_factor,2025-08-27,Q1,0.027437120154716572
_root__momentum_factor,2025-08-27,Q2,0.02300258560269747
_root__momentum_factor,2025-08-27,Q3,0.035985640647905354
_root__momentum_factor,2025-08-27,Q4,0.04474080753958995
_root__momentum_factor,2025-08-27,Q5,0.0885909139776502
_root__momentum_factor,2025-08-28,Q1,0.0190399363162385
_root__momentum_factor,2025-08-28,Q2,0.008738791765074437
_root__momentum_factor,2025-08-28,Q3,0.024621695412323973
_root__momentum_factor,2025-08-28,Q4,0.030260035520432358
_root__momentum_factor,2025-08-28,Q5,0.04307904463044057
_root__momentum_factor,2025-08-29,Q1,0.011270124266823837
_root__momentum_factor,2025-08-29,Q2,0.007369389676595033
_root__momentum_factor,2025-08-29,Q3,0.0231086043230509
_root__momentum_factor,2025-08-29,Q4,0.031931140639253335
_root__momentum_factor,2025-08-29,Q5,0.04706648342608377
_root__momentum_factor,2025-09-01,Q1,0.012224634828615875
_root__momentum_factor,2025-09-01,Q2,0.005169207484269934
_root__momentum_factor,2025-09-01,Q3,0.01844821918844819
_root__momentum_factor,2025-09-01,Q4,0.02814686082104312
_root__momentum_factor,2025-09-01,Q5,0.0068413039557451314
_root__momentum_factor,2025-09-02,Q1,-0.001157404706868437
_root__momentum_factor,2025-09-02,Q2,0.002835674136471642
_root__momentum_factor,2025-09-02,Q3,0.01603477028924647
_root__momentum_factor,2025-09-02,Q4,0.04853560556725441
_root__momentum_factor,2025-09-02,Q5,0.02974020916775672
_root__momentum_factor,2025-09-03,Q1,0.009544574920175465
_root__momentum_factor,2025-09-03,Q2,0.01742835123643231
_root__momentum_factor,2025-09-03,Q3,0.02885761631827839
_root__momentum_factor,2025-09-03,Q4,0.049965226562586514
_root__momentum_factor,2025-09-03,Q5,0.01653184534193228
_root__momentum_factor,2025-09-04,Q1,0.016595874224005536
_root__momentum_factor,2025-09-04,Q2,0.027733600491643046
_root__momentum_factor,2025-09-04,Q3,0.04290630982695616
_root__momentum_factor,2025-09-04,Q4,0.06924025082760032
_root__momentum_factor,2025-09-04,Q5,0.09145937715463856
_root__momentum_factor,2025-09-05,Q1,0.013678275986504729
_root__momentum_factor,2025-09-05,Q2,0.016476710067021002
_root__momentum_factor,2025-09-05,Q3,0.02939245447285351
_root__momentum_factor,2025-09-05,Q4,0.03506161004290179
