factor,auto_label,usage,ic_future,ic_past_5d,ic_risk,ic_stability,monotonicity,top_bottom_spread,ic_future_vol,ic_future_drawdown,ic_past_1d,ic_past_3d,ic_past_10d,group
alpha191__alpha053,trend,alpha_core,0.050361583761990084,0.3766784459234569,0.08927182442400419,0.8151658767772512,1.0,0.01831547365849588,0.11256686312779068,0.06597678572021771,0.19804876254894246,0.30631964254952915,0.5056435342440136,trend
alpha191__alpha068,trend,alpha_core,0.06831537148472552,0.5661474540539995,0.12774103131432918,0.8144796380090498,1.0,0.025758210514345403,0.15670296782114376,0.09877909480751461,0.18258870713396572,0.4543106454197707,0.6390231026704895,trend
alpha191__alpha043,trend,alpha_core,0.06806861107988271,0.6260906100884619,0.12962895643681532,0.8110599078341014,0.75,0.026379431236664586,0.15401642774853225,0.1052414851250984,0.17873030750221805,0.43814661130191207,0.5433521152320144,trend
alpha158__kbar_lower_shadow_ratio,trend,alpha_core,0.07290462666253722,0.07757228252269119,0.12337702913821694,0.8018018018018018,0.75,0.02158968930709186,0.1530182370150471,0.09373582126138676,-0.04531310210973235,0.05352012370180366,0.11441466014891907,trend
alpha191__alpha122,trend,alpha_core,0.06911897171278258,0.09651287617472719,0.1508389805218766,0.7873303167420814,0.75,0.031016203308909848,0.18706362200267052,0.11461433904108269,-0.025021100810520922,0.01879560135043761,0.3376342589677983,trend
alpha191__alpha134,trend,alpha_core,0.06552792183186971,0.5128891461996268,0.14254437641379702,0.780952380952381,0.75,0.029588668660764733,0.17292367850923288,0.11216507431836116,0.19675458674583174,0.3852811765164956,0.7970586229426404,trend
alpha191__alpha074,trend,alpha_core,0.041553926892619046,0.12149794087107019,0.12082115405431143,0.7784810126582279,1.0,0.01659298115843559,0.15057561982738824,0.09106668828123461,0.027721842599715205,0.08586826333606692,0.1889095148887124,trend
alpha191__alpha186,trend,alpha_core,0.05949189880063818,0.05395534853485041,0.07193922055140621,0.7766497461928934,1.0,0.019015318336516804,0.09971590489466743,0.04416253620814498,-0.0049298559829778,0.0173718104383619,0.17726860158763094,trend
alpha158__volume_std_10,trend,alpha_core,0.040596585353597094,0.22621975240607906,0.10054270902582685,0.7594339622641509,1.0,0.018475892943986563,0.11713295422195472,0.08395246382969898,0.03661295780125874,0.1473252183777117,0.38424832827543914,trend
alpha191__alpha023,trend,alpha_core,0.056621932030701476,0.3861613971814282,0.0888531915935618,0.7586206896551724,1.0,0.021914159031070232,0.11402542614109967,0.06368095704602392,0.15868948146470974,0.32327858022134265,0.426994794805134,trend
alpha191__alpha116,trend,alpha_core,0.0687876996831085,0.23948752458036285,0.15030308516910962,0.7487684729064039,1.0,0.027614700698554484,0.1939017049042203,0.10670446543399895,0.00882179965986486,0.11348964880316886,0.5701466349985445,trend
alpha191__alpha133,trend,alpha_core,0.051055997915049264,0.28643039580100405,0.1296944121508963,0.7487684729064039,1.0,0.022351654988528882,0.16304993540897822,0.09633888889281439,0.0478775640100549,0.17834148235954722,0.49172093423421653,trend
