generation,factor,expr_key,operation,parents,mutation_op,fitness,hit_rate,uplift,coverage,depth,complexity
2,mwega_g002_0001,"AND(big_up,doji_like)",crossover+mutate,"restart_big_up|THEN[(1, 10)](THEN[(3, 5)](near_limit_up,WITHOUT[3](big_up)),big_bull_candle)",AND,0.23131205479030173,0.376878612716763,1.6659078484755028,0.0031657730525005948,2,3
2,mwega_g002_0002,consecutive_down,template_or_random,,,0.21696243568116147,0.2269331341053418,1.003107304126461,0.09797427123172361,1,1
2,mwega_g002_0003,big_bear_candle,template_or_random,,,0.21363607454719719,0.273120728929385,1.2072692653609296,0.06426702289238201,1,1
2,mwega_g002_0004,"THEN[(1, 8)](big_bull_candle,AND(long_lower_shadow,close_near_high))",template_or_random,,,0.2067253931686709,0.27378293881196963,1.2101964164475447,0.024583234212308087,3,5
2,mwega_g002_0005,"THEN[(1, 10)](big_bull_candle,AND(long_lower_shadow,close_near_high))",mutate,"THEN[(1, 8)](big_bull_candle,AND(long_lower_shadow,close_near_high))",THEN,0.20642372752511512,0.2689173457508731,1.188689147543272,0.02829432539755156,3,5
2,mwega_g002_0029,"THEN[(1, 10)](THEN[(3, 5)](near_limit_up,WITHOUT[3](big_up)),consecutive_down)",crossover,"THEN[(1, 10)](THEN[(3, 5)](near_limit_up,WITHOUT[3](big_up)),big_bull_candle)|consecutive_down",,0.19655929098226027,0.26962988585264613,1.1918387721381527,0.021161271433015535,4,6
2,mwega_g002_0008,close_near_high,mutate,big_amount_breakout,event,0.19643057191670685,0.23129657228017883,1.0223949093566937,0.20873972953684558,1,1
2,mwega_g002_0025,restart_big_up,template_or_random,,,0.18336250020925193,0.3058376618342507,1.3518871700792943,0.047208446941277654,1,1
2,mwega_g002_0035,long_upper_shadow,random_inject,,,0.1758658020699628,0.23172183853298403,1.0242747039757967,0.2305158563141618,1,1
2,mwega_g002_0019,"THEN[(1, 10)](consecutive_down,THEN[(1, 5)](pullback_not_break_ma20,volume_breakout))",crossover+mutate,"big_up|THEN[(1, 10)](break_60d_high,THEN[(1, 5)](pullback_not_break_ma20,volume_breakout))",THEN,0.17471995624630848,0.2770034843205575,1.2244321195575036,0.018906801837246325,3,5
2,mwega_g002_0015,big_up,template_or_random,,,0.17002134507492644,0.30289229313302185,1.3388678246708063,0.06187713872673706,1,1
2,mwega_g002_0011,big_bull_candle,random_inject,,,0.16802604300327728,0.28733392382639505,1.270095523290922,0.08263948615660512,1,1
2,mwega_g002_0031,"THEN[(2, 10)](THEN[(1, 10)](consecutive_down,THEN[(1, 5)](pullback_not_break_ma20,volume_breakout)),AND(lower_shadow_on_ma,ma10_above_ma20))",crossover,"THEN[(2, 10)](THEN[(3, 5)](volume_double,ma5_above_ma10),AND(lower_shadow_on_ma,ma10_above_ma20))|THEN[(1, 10)](consecutive_down,THEN[(1, 5)](pullback_not_break_ma20,volume_breakout))",,0.16720882434324927,0.23224543080939947,1.0265891268516236,0.028034475817519718,4,9
2,mwega_g002_0023,shrink_volume_pullback,random_inject,,,0.1651068079369595,0.21864700998767264,0.966480340602157,0.14547550643219206,1,1
2,mwega_g002_0040,"THEN[(1, 8)](THEN[(1, 10)](break_60d_high,THEN[(1, 5)](close_near_high,volume_breakout)),AND(long_lower_shadow,close_near_high))",crossover,"THEN[(1, 8)](big_bull_candle,AND(long_lower_shadow,close_near_high))|THEN[(1, 10)](break_60d_high,THEN[(1, 5)](close_near_high,volume_breakout))",,0.16501687800588463,0.27323717948717946,1.2077840090785175,0.00456749684337658,4,9
2,mwega_g002_0021,"AND(DECAY[10](near_limit_up),WITHOUT[5](long_upper_shadow_high_volume))",template_or_random,,,0.16404868572023934,0.2770578843797572,1.2246725828858018,0.09857082730982487,3,5
2,mwega_g002_0017,lower_shadow_on_ma,mutate,higher_high,event,0.1632283297448423,0.20298497232646207,0.8972497963830339,0.2135853752264534,1,1
2,mwega_g002_0041,volume_down_break,template_or_random,,,0.16065929058835343,0.25835151922108446,1.1419852679712204,0.021801745749995424,1,1
2,mwega_g002_0024,"AND(ma_bull_order,AND(COUNT_GE[(20, 2)](big_up),WITHOUT[5](big_down)))",template_or_random,,,0.15664014598267564,0.31430855924459333,1.3893308827320099,0.09612238549234176,4,7
2,mwega_g002_0012,"THEN[(1, 8)](big_bull_candle,AND(long_lower_shadow,pullback_not_break_ma20))",crossover+mutate,"THEN[(1, 8)](big_bull_candle,AND(long_lower_shadow,close_near_high))|volume_price_confirm",THEN,0.15069076426787914,0.24096767377984366,1.0651438564926323,0.034644170768752175,3,5
