factor,valid,support,coverage,baseline_hit_rate,hit_rate,uplift,fail_rate,future_ret_20d_mean,future_ret_20d_median,future_max_up_20d_mean,future_max_drawdown_20d_mean,valid_support,valid_hit_rate,valid_uplift,stability,expr_key,complexity,depth
mwega_final_0023,True,18367,0.06722052445696927,0.22623016817025637,0.2528447759568792,1.1176439375963032,0.22371644797735069,0.027191481187349847,0.008782969451222478,0.14079521089666236,-0.08686177222511464,3947,0.2505700532049658,1.0850018488876314,0.9910034813125767,"AND(long_lower_shadow,small_pullback_after_big_up)",3,2
mwega_final_0006,True,5636,0.020626932859992314,0.22623016817025637,0.25035486160397447,1.1066378265500043,0.13644428672817602,0.04987009955580932,0.0332127984720233,0.1379268026747945,-0.06358151224329316,2516,0.20906200317965024,0.9052664397868956,0.8350626859819339,"THEN[(1, 8)](THEN[(3, 3)](break_ma20_down,NOT(pullback_to_ma10)),AND(long_lower_shadow,close_near_high))",8,4
mwega_final_0011,True,31455,0.11512068366058521,0.22623016817025637,0.2498489906215228,1.104401736701585,0.2220632649817199,0.052008912321572356,0.03707011705573149,0.14220529503536913,-0.08455877763821594,10847,0.2282658799668111,0.9884217951590549,0.9136153778287369,"THEN[(3, 3)](break_ma20_down,NOT(pullback_to_ma10))",4,3
mwega_final_0019,True,8323,0.030460958515563526,0.22623016817025637,0.24966959029196203,1.103608737558227,0.2155472786254956,0.03246247300824765,0.010651877077613614,0.14466521567801724,-0.08562316151029228,1881,0.22860180754917597,0.9898764065273978,0.9156173456360883,"THEN[(1, 8)](consecutive_down,AND(long_lower_shadow,small_pullback_after_big_up))",5,3
mwega_final_0003,True,6391,0.02339012205610555,0.22623016817025637,0.24847441714911594,1.0983257412517988,0.18056642153027694,0.06389600647878128,0.04869856081671209,0.13696817390516444,-0.07845601960392044,2461,0.22511174319382365,0.9747639610062383,0.9059755357378634,"AND(THEN[(1, 8)](higher_low,consecutive_down),THEN[(3, 3)](break_ma20_down,NOT(big_bull_candle)))",8,4
mwega_final_0037,True,64149,0.23477592548538803,0.22623016817025637,0.23877223339412929,1.055439401938799,0.21627772841353723,0.019810922301311783,0.006413418845584662,0.1374113273426015,-0.08351577344380413,19161,0.26172955482490473,1.1333239836975477,0.9122860945293941,higher_high,1,1
mwega_final_0021,True,3647,0.013347484765860888,0.22623016817025637,0.23224568138195778,1.02659023445173,0.21661639703866192,0.03260957995456244,0.010860499121949863,0.1405503965010784,-0.08768852154729988,830,0.2289156626506024,0.9912354411006632,0.9856616548839987,"THEN[(2, 3)](consecutive_down,AND(long_lower_shadow,small_pullback_after_big_up))",5,3
mwega_final_0030,True,62985,0.2305158563141618,0.22623016817025637,0.23172183853298403,1.0242747039757967,0.21246328490910535,0.0257031624583649,0.012154594392125073,0.13262901981893713,-0.08237855655438835,19966,0.24211158970249425,1.0483755704415674,0.957086931764493,long_upper_shadow,1,1
mwega_final_0026,True,57035,0.20873972953684558,0.22623016817025637,0.23129657228017883,1.0223949093566937,0.1786271587621636,0.027167892102468425,0.012881603146204013,0.1347908265085533,-0.07521114671570586,16205,0.22505399568034556,0.97451390654805,0.9730105096746899,close_near_high,1,1
mwega_final_0018,True,26539,0.09712884513331016,0.22623016817025637,0.22758958513885225,1.0060089995051977,0.19533516711255133,0.0385784749527252,0.021138624402767592,0.13113419421629802,-0.07969249081610201,8967,0.20765027322404372,0.8991534602333886,0.9123891723663736,"THEN[(1, 8)](higher_low,consecutive_down)",3,2
mwega_final_0015,True,26770,0.09797427123172361,0.22623016817025637,0.2269331341053418,1.003107304126461,0.1963391856555846,0.038631157222882274,0.021124995449921413,0.13114489902049858,-0.07979683069745089,8987,0.2077445198620229,0.8995615607831187,0.9154437525442557,consecutive_down,1,1
mwega_final_0034,True,39749,0.14547550643219206,0.22623016817025637,0.21864700998767264,0.966480340602157,0.18302347228861104,0.01907793618368446,0.008056974938132955,0.12081978940355724,-0.0772053490530603,11306,0.23253139925703167,1.0068920642800396,0.9402902605251529,shrink_volume_pullback,1,1
mwega_final_0041,True,21671,0.07931267956154958,0.22623016817025637,0.21743343638964516,0.9611160091876386,0.20640487287157952,0.015912182204492996,0.0035260375309495995,0.12339210294263078,-0.08312444983922561,5294,0.25179448432187385,1.0903037994147922,0.8635353430208412,"THEN[(2, 10)](THEN[(3, 10)](volume_double,ma5_above_ma10),AND(lower_shadow_on_ma,ma10_above_ma20))",7,3
mwega_final_0027,True,65338,0.2391274909876114,0.22623016817025637,0.2119593498423582,0.9369190305461019,0.1744620282224739,0.027114168338850764,0.01374877228817839,0.12463476257117104,-0.07456240955298116,18837,0.21425917078090992,0.9277708707203599,0.9892661726909072,long_lower_shadow,1,1
mwega_final_0016,True,66306,0.24267022892382015,0.22623016817025637,0.20903085693602388,0.9239742808249666,0.17823424727777276,0.04165752767271223,0.02656632733677855,0.12645540353534207,-0.07380590346559669,30090,0.1971086739780658,0.8535069253589176,0.9429644831738551,"THEN[(3, 3)](break_ma20_down,NOT(big_bull_candle))",4,3
