code1,code2,name1,name2,beta,score,half_life,p_value,correlation,data_points
159682.OF,159949.OF,景顺长城创业板50ETF,华安创业板50ETF,1.0041,105.4667,53.4382,0.0000,1.0000,240
111014.SH,123179.SZ,李子转债,立高转债,0.9975,105.3032,53.2952,0.0028,0.9662,240
118022.SH,127022.SZ,锂科转债,恒逸转债,0.9968,104.4941,50.0790,0.0377,0.9483,240
113652.SH,123107.SZ,伟22转债,温氏转债,1.0108,104.3761,54.7319,0.0001,0.9566,240
110067.SH,111021.SH,华安转债,奥锐转债,0.9923,104.3582,54.7652,0.0000,0.9383,240
601390.SH,601186.SH,中国中铁,中国铁建,1.2010,104.3582,54.7639,0.0001,0.9899,240
127022.SZ,128121.SZ,恒逸转债,宏川转债,1.0094,102.7053,56.1201,0.0053,0.9398,240
127022.SZ,128121.SZ,恒逸转债,宏川转债,1.0094,102.7053,56.1201,0.0053,0.9398,240
159300.OF,159919.OF,富国沪深300ETF,嘉实沪深300ETF,1.0055,100.3973,59.5232,0.0000,0.9999,240
159339.OF,563800.OF,银华中证A500ETF,广发中证A500ETF,1.0085,100.1726,58.9930,0.0067,0.9999,232
159952.OF,159958.OF,广发创业板ETF,工银创业板ETF,0.9894,97.3450,58.9079,0.0357,0.9999,240
