stock_code,center_date,trading_days_count,avg_daily_return,cumulative_return,win_rate,volume_change_rate,max_daily_return,min_daily_return,volatility,index_name,index_code,effective_date,window_type,window_dates
601083.SH,2024-04-30,8,0.11222585977735466,0.6182380216383399,50.0,-39.493682218765834,3.1762837480148187,-4.451188669701567,2.3589783378699964,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688076.SH,2024-04-30,8,1.267866036095839,9.030224364917473,62.5,-10.090509438841478,5.591083500822203,-2.2065640645280937,2.4440940600905092,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688062.SH,2024-04-30,8,0.6855744638900945,4.817518248175179,50.0,-44.331808629002346,3.1947978512863795,-1.6438356164383605,1.619535344734611,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688432.SH,2024-04-30,8,1.9891409154928041,14.726027397260278,87.5,-1.098745837905557,3.8297872340425476,0.4098360655737876,1.3141169130701553,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
001309.SZ,2024-04-30,8,0.8555830103166897,5.785055273875805,62.5,15.71993380097898,7.246257608159223,-3.8310412573673958,3.4149997438773343,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
300705.SZ,2024-04-30,8,1.6167678466630981,11.804437219905362,75.0,-13.530375991877808,3.53275914416018,-1.3609125616933504,1.5316976505548545,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
603358.SH,2024-04-30,8,1.7699548889012373,12.94024535021765,62.5,-6.967767964280435,4.386288241798741,-1.1080332409972304,1.967744144311009,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
601096.SH,2024-04-30,8,0.20552361129749316,1.3606314885114212,37.5,-15.868158372537922,2.6079961160919263,-2.3507885916229543,1.6935416255635805,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
300045.SZ,2024-04-30,8,1.674580476369268,11.746361746361767,62.5,47.31058977116764,7.848232848232883,-4.144578313253023,4.221283516187384,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688498.SH,2024-04-30,8,1.111084481621827,7.028219365634758,37.5,-16.211449846083823,10.271470525034033,-3.873479983604311,5.723827805734778,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
301510.SZ,2024-04-30,8,1.2568206847787924,9.069938958369296,75.0,-21.051866670086262,3.0128516955136853,-0.900024678096023,1.4424152669874417,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
300576.SZ,2024-04-30,8,1.6376862177773979,11.79829288897951,62.5,-13.095504432924454,6.0298044620553215,-1.3595037811198973,2.751001555477229,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
300446.SZ,2024-04-30,8,0.7353862644585263,5.071521456436878,50.0,-5.202253608479035,5.686274509803901,-2.2251308900523514,2.4986854755472274,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688343.SH,2024-04-30,8,1.1317876565146807,8.043478260869552,50.0,-5.328771617378258,4.963768115942013,-1.2909632571996066,2.2077550671673802,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
001914.SZ,2024-04-30,8,2.210475206649019,16.256853145963124,75.0,61.3661513524185,6.900171917268372,-1.0597401536411422,2.9147845541299207,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688279.SH,2024-04-30,8,1.6456338260882426,11.875063380995844,62.5,2.7568791815270943,4.7145248279709895,-2.033567178758555,2.650317193794427,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
600269.SH,2024-04-30,8,0.5435493396868948,3.6951501154734556,50.0,-28.866601371204702,4.408352668213444,-2.298850574712641,2.368097152188533,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
600597.SH,2024-04-30,8,-0.3843293053872289,-2.6936026936026924,25.0,-0.37252866644428284,1.1560693641618602,-1.681614349775773,1.0780988616014184,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
002010.SZ,2024-04-30,8,1.4538241707551072,10.57934508816123,75.0,-22.577845401425556,3.0373831775700744,-0.45351473922899954,1.2711580544595815,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
600301.SH,2024-04-30,8,1.8448483401036315,13.178294573643413,62.5,-21.415583370688363,6.338461538461537,-3.930635838150287,3.7766147207292473,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
300257.SZ,2024-04-30,8,1.2442139805357386,8.943781942078367,62.5,-39.60156563803575,4.645270270270263,-0.5443234836702948,1.7588803099052925,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
605011.SH,2024-04-30,8,1.5093504226820478,10.902409146590465,75.0,39.80449299052997,4.980544747081694,-0.3489724699495822,2.19357578677816,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688208.SH,2024-04-30,8,1.2826251541338638,8.869446908179723,50.0,-21.34684821855831,6.430075134987545,-4.994445831790517,3.7857601768344646,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
600757.SH,2024-04-30,8,0.7789887264660488,5.47945205479452,62.5,-41.71029854702725,2.670623145400608,-1.9519519519519468,1.8090974643074018,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688177.SH,2024-04-30,8,2.213791700115786,16.475741239892194,75.0,8.758775265697881,4.038397881496181,-0.5106638630219096,1.6256905797171008,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
301511.SZ,2024-04-30,8,0.8568166919783698,5.206591831860541,50.0,-22.98787108897036,9.571038928837105,-6.9434989788972,5.510098675639338,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
605599.SH,2024-04-30,8,1.6599322740695104,12.035541195476561,75.0,-13.5138896482482,6.858054226475296,-0.15936254980081221,2.3732594220674166,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
600961.SH,2024-04-30,8,1.3496864515931384,9.700722394220861,75.0,-21.776894774956013,3.925417075564286,-1.9830028328611804,2.0758080219846353,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
002925.SZ,2024-04-30,8,0.4160771596682981,2.798789712556715,37.5,-3.8849253128183325,3.3282904689863724,-2.824040550325868,2.215469670345597,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
603327.SH,2024-04-30,8,1.8442329739384056,12.815680361854476,37.5,-15.0096173053776,10.412792859799168,-3.9299749910682302,5.07404273844841,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
601595.SH,2024-04-30,8,0.6713639774074417,4.327610872675258,50.0,5.838089899648624,5.74028701435072,-5.3380782918149405,3.878248589944981,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
000970.SZ,2024-04-30,8,-0.09621493704479508,-1.114827201783719,50.0,-41.439639001141124,3.3136094674556027,-7.650273224043714,3.80250732116894,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
002511.SZ,2024-04-30,8,1.020592127369429,7.328691828508616,75.0,-10.059467236244013,2.583069155806017,-0.11406410402644562,1.099242459748389,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
300026.SZ,2024-04-30,8,0.813743402970457,5.785123966942152,62.5,-4.049883740544747,3.03030303030305,-1.0899182561307952,1.2923464993172404,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
603220.SH,2024-04-30,8,2.866108919533942,21.095272671685695,62.5,-4.314340897044167,10.09052850037573,-3.1185984651603715,4.771165520865721,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688433.SH,2024-04-30,8,1.7661139129272792,12.771556839878206,75.0,77.53293539141181,6.4542841833503894,-2.847560589761433,2.8511491420032784,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
601778.SH,2024-04-30,8,0.18183265184629205,1.0165700925078847,62.5,-15.150274898184756,3.6410578928204984,-5.748778384593289,2.9178822793453527,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
600033.SH,2024-04-30,8,0.5117587995317442,3.594771241830075,50.0,-29.76965143340142,1.935483870967758,-0.9584664536741339,1.1814699625306182,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
002315.SZ,2024-04-30,8,2.5181002310113776,18.49217638691323,62.5,-35.43365534500494,10.597439544807962,-1.1254019292604611,3.986359013948221,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
301559.SZ,2024-04-30,8,-0.6596673330622826,-5.145691258524465,50.0,-30.113401006817707,3.490759753593431,-10.35337879727215,4.5145540279113625,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
001376.SZ,2024-04-30,8,0.6952652185234889,4.306930693069311,50.0,68.26499987995294,10.132625994694955,-3.7279596977330076,4.699098676561764,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
002075.SZ,2024-04-30,8,1.321374560962428,9.29032258064515,62.5,25.459566515105013,7.464607464607442,-2.264150943396237,3.2553075416858044,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
002761.SZ,2024-04-30,8,1.48167890653913,10.646387832699599,75.0,-31.56489313914912,5.853658536585371,-2.3041474654378002,2.482425898482368,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
600297.SH,2024-04-30,8,,,0.0,-57.71099087713756,,,,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
603866.SH,2024-04-30,8,0.6998614881965768,4.88656195462478,50.0,-33.67537642068035,3.0575539568345578,-2.2687609075043746,1.934947326609446,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
002154.SZ,2024-04-30,8,0.9443256270329492,6.591337099811678,37.5,1.642686073523536,5.598455598455621,-1.520912547528519,2.5992094732705247,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
603039.SH,2024-04-30,8,1.8808122387453696,13.64528301886796,50.0,-24.40786860571261,6.1415220293724815,-1.288622053009203,2.9629196735440537,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688362.SH,2024-04-30,8,2.443476298712699,18.08686091258933,75.0,39.865161913637294,6.267179769103892,-3.4955125177137503,3.0661736531913477,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
300660.SZ,2024-04-30,8,1.0903034922892638,7.602339181286544,62.5,-6.417315334844154,6.51001540832048,-3.399638336347177,3.0064526850604114,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
002192.SZ,2024-04-30,8,1.128159271338888,7.827959492492109,50.0,-37.35841151561401,5.745125348189428,-4.19043184728205,3.2762803265393114,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
603267.SH,2024-04-30,8,1.3616680479915075,9.640421574705528,62.5,35.73742309804453,6.226650062266503,-2.4330900243309084,3.0130542804121685,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688141.SH,2024-04-30,8,1.9209522173373255,13.515456506110702,62.5,0.23860953433465504,7.671232876712342,-6.5521628498727775,4.6666378505489385,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688105.SH,2024-04-30,8,1.6852958203373736,12.323232323232336,75.0,7.658739392130087,4.382621951219523,-0.6502890173410436,1.6388879687648037,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
300244.SZ,2024-04-30,8,0.7868010854111326,5.282738095238093,50.0,18.452121161328172,5.251141552511407,-4.22740524781341,3.3792946106692345,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
301339.SZ,2024-04-30,8,2.016104175288047,14.769820971866988,62.5,-24.537508646167396,5.064854848672051,-0.8573178199632991,2.6150823829234358,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
600509.SH,2024-04-30,8,1.189343759235135,8.515579640023208,50.0,-13.992946534530738,3.6771821172827623,-0.9333582228859383,1.8844311044499458,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688658.SH,2024-04-30,8,3.4658448652636644,26.84323550465284,87.5,34.780933778248,5.869720830350733,1.4111610006414477,1.6004262299151126,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688503.SH,2024-04-30,8,1.261197745618438,8.780136436078067,50.0,-43.615016412588595,6.23908358519385,-3.523735465477007,3.4949030693657916,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
300570.SZ,2024-04-30,8,0.05893812699727187,0.025873221216010656,37.5,-17.59931505941541,4.63291139240507,-3.968061940479073,3.602355828688097,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
300678.SZ,2024-04-30,8,1.0878179308080487,7.714915503306408,50.0,-9.836745085932375,3.498750446269172,-1.1796427367711582,2.1998635959884925,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
603026.SH,2024-04-30,8,1.6854382866464805,11.944577161968484,50.0,13.258813583622132,6.954887218045114,-2.8975587497148125,3.785269030459035,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
603383.SH,2024-04-30,8,1.4445722282673221,9.917355371900838,50.0,-43.31172556709683,7.46874999999998,-5.0445103857566505,4.472735212721734,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
603075.SH,2024-04-30,8,-0.09254549326376894,-0.8118433619866194,50.0,-34.06311269811714,2.966926070038922,-2.8999064546304965,2.3567895757485893,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688690.SH,2024-04-30,8,1.8529414516072786,13.610643829331703,75.0,-0.5289402553826039,3.8525041276830096,-1.790058291641805,1.7632460383757662,中证1000,000852.SH,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
