datetime,_root__momentum_factor,_root__risk_adjusted_momentum
2025-08-22,-0.09425320056899003,-0.0516927453769559
2025-08-25,0.04708392603129445,0.17633001422475103
2025-08-26,0.003300142247510668,0.027027027027027025
2025-08-27,0.45593172119487907,0.39931721194879083
2025-08-28,0.04089645018915808,0.003670011877844447
2025-08-29,0.06477997709962639,0.06773826458036984
2025-09-01,-0.3559032716927454,-0.31046941678520623
2025-09-02,0.19220483641536273,0.13994310099573257
2025-09-03,-0.3028449502133712,-0.31271692745376956
2025-09-04,0.24839260312944522,0.2652062588904694
2025-09-05,0.03197724039829303,0.08054054054054052
2025-09-08,-0.12197810795548887,-0.008321538560228686
2025-09-09,-0.04384068278805121,-0.11428165007112374
2025-09-10,-0.009843527738264581,-0.01763869132290185
2025-09-11,-0.06850640113798008,-0.07550497866287341
2025-09-12,0.018833570412517778,-0.0505547652916074
2025-09-15,0.008819345661450925,0.0017923186344238977
2025-09-16,-0.10651796641484065,-0.07673049022992129
2025-09-17,-0.1590896159317212,-0.23559032716927455
2025-09-18,-0.06756756756756756,-0.04950213371266003
2025-09-19,-0.054110953058321476,-0.043869132290184916
2025-09-22,-0.05553342816500711,-0.12597439544807965
2025-09-23,-0.11533428165007112,0.039459459459459466
2025-09-24,0.35610495096882894,0.3407396870554765
2025-09-25,-0.21710587152422822,-0.2538851627742933
2025-09-26,-0.08376188765927349,-0.028437300022146363
2025-09-29,0.32670450504274595,0.44896478638963727
2025-09-30,0.3272450532724505,0.2566874586655156
2025-10-09,-0.5048616900713241,-0.49601320261818754
2025-10-10,-0.11185001316081737,-0.077524893314367
2025-10-13,-0.5038869408871466,-0.5023791065497376
2025-10-14,-0.21935346212184506,-0.13337506051089024
2025-10-15,-0.26869323395582845,-0.2973705360710781
2025-10-16,-0.40577524893314365,-0.4064011379800853
2025-10-17,-0.2541963015647226,-0.09231863442389758
2025-10-20,0.02901849217638691,0.058179231863442385
2025-10-21,-0.0065720219663002654,-0.034510227900962
2025-10-22,-0.08609431702552765,-0.05765701700338129
2025-10-23,-0.017141068862999473,0.052774577163259784
2025-10-24,0.0681797167849164,0.07227647422995205
2025-10-27,-0.12287339971550498,-0.08108108108108107
2025-10-28,-0.08146572877680289,-0.027766911571908366
2025-10-29,0.22463726884779514,0.25058321479374107
2025-10-30,-0.36137962503541515,-0.3769827166517652
2025-10-31,0.2892745376955903,0.27163584637268845
2025-11-03,0.2481081081081081,0.24435277382645804
2025-11-04,0.04850640113798008,0.06998577524893314
2025-11-05,-0.012688838947921723,0.0460610543871867
2025-11-06,0.307718569642873,0.21733192987258756
2025-11-07,-0.007766714082503556,-0.08031294452347083
2025-11-10,0.17821275150175264,0.15104270397873637
2025-11-11,0.10748527700728311,0.1598907508684307
2025-11-12,-0.06671408250355618,-0.06847795163584637
2025-11-13,-0.11325827353254837,-0.13786726790724174
2025-11-14,-0.1901849217638691,-0.1957610241820768
2025-11-17,-0.17209715854410382,-0.1395742501760066
2025-11-18,0.23413940256045518,0.211778093883357
2025-11-19,-0.027141211112533602,-0.08661512528757688
2025-11-20,0.13693232337126332,0.06076986545462063
2025-11-21,-0.38941678520625894,-0.36651493598862017
2025-11-24,-0.36069304973486904,-0.2856411278859509
2025-11-25,-0.1357325746799431,-0.04287339971550498
2025-11-26,0.17550997190522222,0.208398532048266
2025-11-27,-0.04573582769945,0.05666121360090493
2025-11-28,-0.06122507043929944,-0.021024780229852363
2025-12-01,0.32703633118017983,0.2628808786520106
2025-12-02,0.4541963015647226,0.3757325746799431
2025-12-03,-0.14321479374110951,-0.12176386913229016
2025-12-04,-0.007283072546230441,0.02088193456614509
2025-12-05,-0.4134311054948488,-0.30574897404026563
2025-12-08,-0.09251778093883356,-0.00995732574679943
2025-12-09,0.17812740056712534,0.15405843700223348
2025-12-10,0.149900426742532,-0.04381223328591749
2025-12-11,0.27493598862019913,0.3042958748221906
2025-12-12,-0.10233285917496443,-0.18401137980085344
2025-12-15,-0.014423897581792317,-0.18660028449502133
