factor,date,quantile,ret
_root__momentum_factor,2025-08-20,Q5,-0.007067101873588003
_root__momentum_factor,2025-08-21,Q1,0.0030955610915082217
_root__momentum_factor,2025-08-21,Q2,0.0064644945709994685
_root__momentum_factor,2025-08-21,Q3,0.007901995088306645
_root__momentum_factor,2025-08-21,Q4,0.02797201939280872
_root__momentum_factor,2025-08-21,Q5,0.015429294812265286
_root__momentum_factor,2025-08-22,Q1,0.02402165292244153
_root__momentum_factor,2025-08-22,Q2,0.024654745608128206
_root__momentum_factor,2025-08-22,Q3,0.012213430329029744
_root__momentum_factor,2025-08-22,Q4,0.0174404411805964
_root__momentum_factor,2025-08-22,Q5,0.02019051468881341
_root__momentum_factor,2025-08-25,Q1,0.0023643139520129457
_root__momentum_factor,2025-08-25,Q2,-0.0005418712901886928
_root__momentum_factor,2025-08-25,Q3,-0.0063024881970579205
_root__momentum_factor,2025-08-25,Q4,0.005872753360133487
_root__momentum_factor,2025-08-25,Q5,0.011816741879287851
_root__momentum_factor,2025-08-26,Q1,-0.020791280130547075
_root__momentum_factor,2025-08-26,Q2,-0.0192545600474716
_root__momentum_factor,2025-08-26,Q3,-0.017521185634162762
_root__momentum_factor,2025-08-26,Q4,-0.021083046453858802
_root__momentum_factor,2025-08-26,Q5,-0.01857352445691356
_root__momentum_factor,2025-08-27,Q1,0.0016008182842296216
_root__momentum_factor,2025-08-27,Q2,0.0011287338376715582
_root__momentum_factor,2025-08-27,Q3,0.003907064567270354
_root__momentum_factor,2025-08-27,Q4,0.006860814891870004
_root__momentum_factor,2025-08-27,Q5,0.021654901135001983
_root__momentum_factor,2025-08-28,Q1,0.0019425921802749047
_root__momentum_factor,2025-08-28,Q2,0.0006431146375132609
_root__momentum_factor,2025-08-28,Q3,0.005824335484379395
_root__momentum_factor,2025-08-28,Q4,0.00014456422596549335
_root__momentum_factor,2025-08-28,Q5,0.011550283762913368
_root__momentum_factor,2025-08-29,Q1,0.013996997892652222
_root__momentum_factor,2025-08-29,Q2,0.000603129768862957
_root__momentum_factor,2025-08-29,Q3,0.005779584588615138
_root__momentum_factor,2025-08-29,Q4,0.010258564853986114
_root__momentum_factor,2025-08-29,Q5,0.013103111774357034
_root__momentum_factor,2025-09-01,Q1,-0.0008993861593128945
_root__momentum_factor,2025-09-01,Q2,-0.014107303649162291
_root__momentum_factor,2025-09-01,Q3,-0.004088300621731629
_root__momentum_factor,2025-09-01,Q4,-0.017540688868182563
_root__momentum_factor,2025-09-01,Q5,-0.02635412683156456
_root__momentum_factor,2025-09-02,Q1,-0.015353795715845948
_root__momentum_factor,2025-09-02,Q2,-0.016657889299431815
_root__momentum_factor,2025-09-02,Q3,-0.0131881084700624
