code1,code2,name1,name2,beta,score,half_life,p_value,correlation,data_points
159547.OF,563020.OF,华夏中证红利低波动ETF,易方达中证红利低波动ETF,1.0075,150.0000,15.3295,0.0000,0.9979,240
159353.OF,560530.OF,景顺长城中证A500ETF,摩根中证A500ETF,1.0155,150.0000,16.0509,0.0000,0.9999,240
159353.OF,560530.OF,景顺长城中证A500ETF,摩根中证A500ETF,1.0155,150.0000,16.0509,0.0000,0.9999,240
159353.OF,560530.OF,景顺长城中证A500ETF,摩根中证A500ETF,1.0155,150.0000,16.0509,0.0000,0.9999,240
159845.OF,560010.OF,华夏中证1000ETF,广发中证1000ETF,0.9985,150.0000,17.6064,0.0000,0.9999,240
159845.OF,560010.OF,华夏中证1000ETF,广发中证1000ETF,0.9985,150.0000,17.6064,0.0000,0.9999,240
159845.OF,560010.OF,华夏中证1000ETF,广发中证1000ETF,0.9985,150.0000,17.6064,0.0000,0.9999,240
159593.OF,563080.OF,平安中证A50ETF,易方达中证A50ETF,0.9983,150.0000,17.3221,0.0000,0.9997,240
159593.OF,563080.OF,平安中证A50ETF,易方达中证A50ETF,0.9983,150.0000,17.3221,0.0000,0.9997,240
159593.OF,563080.OF,平安中证A50ETF,易方达中证A50ETF,0.9983,150.0000,17.3221,0.0000,0.9997,240
159830.OF,518680.OF,天弘上海金ETF,富国上海金ETF,1.0009,150.0000,19.5766,0.0000,1.0000,240
159830.OF,518680.OF,天弘上海金ETF,富国上海金ETF,1.0009,150.0000,19.5766,0.0000,1.0000,240
159830.OF,518680.OF,天弘上海金ETF,富国上海金ETF,1.0009,150.0000,19.5766,0.0000,1.0000,240
159925.OF,510310.OF,南方沪深300ETF,易方达沪深300ETF,0.9907,150.0000,19.7843,0.0000,0.9998,240
159925.OF,510310.OF,南方沪深300ETF,易方达沪深300ETF,0.9907,150.0000,19.7843,0.0000,0.9998,240
159925.OF,510310.OF,南方沪深300ETF,易方达沪深300ETF,0.9907,150.0000,19.7843,0.0000,0.9998,240
159353.OF,159361.OF,景顺长城中证A500ETF,易方达中证A500ETF,1.0218,150.0000,22.9768,0.0000,0.9999,232
159353.OF,159361.OF,景顺长城中证A500ETF,易方达中证A500ETF,1.0218,150.0000,22.9768,0.0000,0.9999,232
159353.OF,159361.OF,景顺长城中证A500ETF,易方达中证A500ETF,1.0218,150.0000,22.9768,0.0000,0.9999,232
159352.OF,563220.OF,南方中证A500ETF,富国中证A500ETF,0.9888,150.0000,23.0578,0.0000,0.9999,240
159352.OF,563220.OF,南方中证A500ETF,富国中证A500ETF,0.9888,150.0000,23.0578,0.0000,0.9999,240
159352.OF,563220.OF,南方中证A500ETF,富国中证A500ETF,0.9888,150.0000,23.0578,0.0000,0.9999,240
159593.OF,159595.OF,平安中证A50ETF,大成中证A50ETF,0.9961,150.0000,23.3637,0.0000,0.9998,240
159593.OF,159595.OF,平安中证A50ETF,大成中证A50ETF,0.9961,150.0000,23.3637,0.0000,0.9998,240
159593.OF,159595.OF,平安中证A50ETF,大成中证A50ETF,0.9961,150.0000,23.3637,0.0000,0.9998,240
518860.OF,518880.OF,建信上海金ETF,华安黄金ETF,0.9988,150.0000,24.1590,0.0000,0.9999,240
518860.OF,518880.OF,建信上海金ETF,华安黄金ETF,0.9988,150.0000,24.1590,0.0000,0.9999,240
518860.OF,518880.OF,建信上海金ETF,华安黄金ETF,0.9988,150.0000,24.1590,0.0000,0.9999,240
159338.OF,512050.OF,国泰中证A500ETF,华夏中证A500ETF,0.9998,150.0000,24.6998,0.0000,0.9999,234
159338.OF,512050.OF,国泰中证A500ETF,华夏中证A500ETF,0.9998,150.0000,24.6998,0.0000,0.9999,234
159338.OF,512050.OF,国泰中证A500ETF,华夏中证A500ETF,0.9998,150.0000,24.6998,0.0000,0.9999,234
159937.OF,518880.OF,博时黄金ETF,华安黄金ETF,1.0008,150.0000,28.0059,0.0000,1.0000,240
159937.OF,518880.OF,博时黄金ETF,华安黄金ETF,1.0008,150.0000,28.0059,0.0000,1.0000,240
159937.OF,518880.OF,博时黄金ETF,华安黄金ETF,1.0008,150.0000,28.0059,0.0000,1.0000,240
159639.OF,561190.OF,南方中证上海环交所碳中和ETF,富国中证上海环交所碳中和ETF,0.9998,150.0000,28.5490,0.0000,0.9999,240
159639.OF,561190.OF,南方中证上海环交所碳中和ETF,富国中证上海环交所碳中和ETF,0.9998,150.0000,28.5490,0.0000,0.9999,240
159639.OF,561190.OF,南方中证上海环交所碳中和ETF,富国中证上海环交所碳中和ETF,0.9998,150.0000,28.5490,0.0000,0.9999,240
159834.OF,518600.OF,南方上海金ETF,广发上海金ETF,1.0000,150.0000,33.6729,0.0000,0.9999,240
159834.OF,518600.OF,南方上海金ETF,广发上海金ETF,1.0000,150.0000,33.6729,0.0000,0.9999,240
159834.OF,518600.OF,南方上海金ETF,广发上海金ETF,1.0000,150.0000,33.6729,0.0000,0.9999,240
159351.OF,512050.OF,嘉实中证A500ETF,华夏中证A500ETF,0.9875,150.0000,39.3454,0.0000,0.9999,234
159351.OF,512050.OF,嘉实中证A500ETF,华夏中证A500ETF,0.9875,150.0000,39.3454,0.0000,0.9999,234
159351.OF,512050.OF,嘉实中证A500ETF,华夏中证A500ETF,0.9875,150.0000,39.3454,0.0000,0.9999,234
159757.OF,159775.OF,景顺长城国证新能源车电池ETF,建信国证新能源车电池ETF,0.9699,150.0000,40.6008,0.0000,0.9986,240
159757.OF,159775.OF,景顺长城国证新能源车电池ETF,建信国证新能源车电池ETF,0.9699,150.0000,40.6008,0.0000,0.9986,240
159757.OF,159775.OF,景顺长城国证新能源车电池ETF,建信国证新能源车电池ETF,0.9699,150.0000,40.6008,0.0000,0.9986,240
159639.OF,562990.OF,南方中证上海环交所碳中和ETF,易方达中证上海环交所碳中和ETF,1.0036,150.0000,41.2134,0.0000,0.9999,240
159639.OF,562990.OF,南方中证上海环交所碳中和ETF,易方达中证上海环交所碳中和ETF,1.0036,150.0000,41.2134,0.0000,0.9999,240
159639.OF,562990.OF,南方中证上海环交所碳中和ETF,易方达中证上海环交所碳中和ETF,1.0036,150.0000,41.2134,0.0000,0.9999,240
159338.OF,159353.OF,国泰中证A500ETF,景顺长城中证A500ETF,0.9795,150.0000,42.8236,0.0000,0.9999,240
159338.OF,159353.OF,国泰中证A500ETF,景顺长城中证A500ETF,0.9795,150.0000,42.8236,0.0000,0.9999,240
159338.OF,159353.OF,国泰中证A500ETF,景顺长城中证A500ETF,0.9795,150.0000,42.8236,0.0000,0.9999,240
159300.OF,510330.OF,富国沪深300ETF,华夏沪深300ETF,0.9935,150.0000,25.1744,0.0000,0.9998,240
159300.OF,510330.OF,富国沪深300ETF,华夏沪深300ETF,0.9935,150.0000,25.1744,0.0000,0.9998,240
159300.OF,510330.OF,富国沪深300ETF,华夏沪深300ETF,0.9935,150.0000,25.1744,0.0000,0.9998,240
159351.OF,563800.OF,嘉实中证A500ETF,广发中证A500ETF,0.9915,150.0000,47.2411,0.0000,0.9999,233
159351.OF,563800.OF,嘉实中证A500ETF,广发中证A500ETF,0.9915,150.0000,47.2411,0.0000,0.9999,233
159351.OF,563800.OF,嘉实中证A500ETF,广发中证A500ETF,0.9915,150.0000,47.2411,0.0000,0.9999,233
159934.OF,518600.OF,易方达黄金ETF,广发上海金ETF,0.9993,150.0000,41.8667,0.0000,1.0000,240
159934.OF,518600.OF,易方达黄金ETF,广发上海金ETF,0.9993,150.0000,41.8667,0.0000,1.0000,240
159934.OF,518600.OF,易方达黄金ETF,广发上海金ETF,0.9993,150.0000,41.8667,0.0000,1.0000,240
159361.OF,560530.OF,易方达中证A500ETF,摩根中证A500ETF,0.9895,150.0000,49.6828,0.0000,0.9998,232
159361.OF,560530.OF,易方达中证A500ETF,摩根中证A500ETF,0.9895,150.0000,49.6828,0.0000,0.9998,232
159361.OF,560530.OF,易方达中证A500ETF,摩根中证A500ETF,0.9895,150.0000,49.6828,0.0000,0.9998,232
159339.OF,512050.OF,银华中证A500ETF,华夏中证A500ETF,1.0030,150.0000,53.6111,0.0000,0.9999,234
159339.OF,512050.OF,银华中证A500ETF,华夏中证A500ETF,1.0030,150.0000,53.6111,0.0000,0.9999,234
159339.OF,512050.OF,银华中证A500ETF,华夏中证A500ETF,1.0030,150.0000,53.6111,0.0000,0.9999,234
159812.OF,518890.OF,前海开源黄金ETF,中银上海金ETF,1.0030,150.0000,57.4112,0.0000,1.0000,240
159812.OF,518890.OF,前海开源黄金ETF,中银上海金ETF,1.0030,150.0000,57.4112,0.0000,1.0000,240
159812.OF,518890.OF,前海开源黄金ETF,中银上海金ETF,1.0030,150.0000,57.4112,0.0000,1.0000,240
159352.OF,159356.OF,南方中证A500ETF,万家中证A500ETF,1.0027,150.0000,72.1501,0.0000,0.9999,219
159352.OF,159356.OF,南方中证A500ETF,万家中证A500ETF,1.0027,150.0000,72.1501,0.0000,0.9999,219
159352.OF,159356.OF,南方中证A500ETF,万家中证A500ETF,1.0027,150.0000,72.1501,0.0000,0.9999,219
159351.OF,563880.OF,嘉实中证A500ETF,汇添富中证A500ETF,1.0027,150.0000,75.5333,0.0000,0.9999,228
159351.OF,563880.OF,嘉实中证A500ETF,汇添富中证A500ETF,1.0027,150.0000,75.5333,0.0000,0.9999,228
159351.OF,563880.OF,嘉实中证A500ETF,汇添富中证A500ETF,1.0027,150.0000,75.5333,0.0000,0.9999,228
512020.OF,563360.OF,鹏华中证A500ETF,华泰柏瑞中证A500ETF,1.0169,150.0000,81.7393,0.0000,0.9998,223
512020.OF,563360.OF,鹏华中证A500ETF,华泰柏瑞中证A500ETF,1.0169,150.0000,81.7393,0.0000,0.9998,223
512020.OF,563360.OF,鹏华中证A500ETF,华泰柏瑞中证A500ETF,1.0169,150.0000,81.7393,0.0000,0.9998,223
518660.OF,518850.OF,工银黄金ETF,华夏黄金ETF,1.0034,150.0000,114.9969,0.0000,1.0000,240
518660.OF,518850.OF,工银黄金ETF,华夏黄金ETF,1.0034,150.0000,114.9969,0.0000,1.0000,240
518660.OF,518850.OF,工银黄金ETF,华夏黄金ETF,1.0034,150.0000,114.9969,0.0000,1.0000,240
518850.OF,518860.OF,华夏黄金ETF,建信上海金ETF,0.9987,150.0000,119.4567,0.0000,0.9999,240
518850.OF,518860.OF,华夏黄金ETF,建信上海金ETF,0.9987,150.0000,119.4567,0.0000,0.9999,240
518850.OF,518860.OF,华夏黄金ETF,建信上海金ETF,0.9987,150.0000,119.4567,0.0000,0.9999,240
159338.OF,159361.OF,国泰中证A500ETF,易方达中证A500ETF,0.9920,150.0000,123.1557,0.0000,0.9998,232
159338.OF,159361.OF,国泰中证A500ETF,易方达中证A500ETF,0.9920,150.0000,123.1557,0.0000,0.9998,232
159338.OF,159361.OF,国泰中证A500ETF,易方达中证A500ETF,0.9920,150.0000,123.1557,0.0000,0.9998,232
159831.OF,518860.OF,嘉实上海金ETF,建信上海金ETF,0.9959,150.0000,129.2906,0.0000,0.9999,240
159831.OF,518860.OF,嘉实上海金ETF,建信上海金ETF,0.9959,150.0000,129.2906,0.0000,0.9999,240
159831.OF,518860.OF,嘉实上海金ETF,建信上海金ETF,0.9959,150.0000,129.2906,0.0000,0.9999,240
159707.OF,159768.OF,华宝中证800地产ETF,银华中证内地地产主题ETF,1.2341,150.0000,133.1260,0.0000,0.9995,240
159707.OF,159768.OF,华宝中证800地产ETF,银华中证内地地产主题ETF,1.2341,150.0000,133.1260,0.0000,0.9995,240
159707.OF,159768.OF,华宝中证800地产ETF,银华中证内地地产主题ETF,1.2341,150.0000,133.1260,0.0000,0.9995,240
159766.OF,562510.OF,富国中证旅游主题ETF,华夏中证旅游主题ETF,0.9762,150.0000,135.7478,0.0000,0.9994,240
159766.OF,562510.OF,富国中证旅游主题ETF,华夏中证旅游主题ETF,0.9762,150.0000,135.7478,0.0000,0.9994,240
159766.OF,562510.OF,富国中证旅游主题ETF,华夏中证旅游主题ETF,0.9762,150.0000,135.7478,0.0000,0.9994,240
159812.OF,518880.OF,前海开源黄金ETF,华安黄金ETF,1.0017,150.0000,28.2395,0.0000,1.0000,240
159812.OF,518880.OF,前海开源黄金ETF,华安黄金ETF,1.0017,150.0000,28.2395,0.0000,1.0000,240
159812.OF,518880.OF,前海开源黄金ETF,华安黄金ETF,1.0017,150.0000,28.2395,0.0000,1.0000,240
518880.OF,518890.OF,华安黄金ETF,中银上海金ETF,1.0013,150.0000,174.7371,0.0000,1.0000,240
518880.OF,518890.OF,华安黄金ETF,中银上海金ETF,1.0013,150.0000,174.7371,0.0000,1.0000,240
518880.OF,518890.OF,华安黄金ETF,中银上海金ETF,1.0013,150.0000,174.7371,0.0000,1.0000,240
159351.OF,563220.OF,嘉实中证A500ETF,富国中证A500ETF,1.0083,150.0000,184.6606,0.0000,0.9999,240
159351.OF,563220.OF,嘉实中证A500ETF,富国中证A500ETF,1.0083,150.0000,184.6606,0.0000,0.9999,240
159351.OF,563220.OF,嘉实中证A500ETF,富国中证A500ETF,1.0083,150.0000,184.6606,0.0000,0.9999,240
159841.OF,516200.OF,天弘中证全指证券公司ETF,华安中证全指证券公司ETF,1.3140,150.0000,229.9718,0.0000,0.9998,240
159841.OF,516200.OF,天弘中证全指证券公司ETF,华安中证全指证券公司ETF,1.3140,150.0000,229.9718,0.0000,0.9998,240
159841.OF,516200.OF,天弘中证全指证券公司ETF,华安中证全指证券公司ETF,1.3140,150.0000,229.9718,0.0000,0.9998,240
560510.OF,560610.OF,泰康中证A500ETF,招商中证A500ETF,0.9748,150.0000,243.0284,0.0000,0.9999,240
560510.OF,560610.OF,泰康中证A500ETF,招商中证A500ETF,0.9748,150.0000,243.0284,0.0000,0.9999,240
560510.OF,560610.OF,泰康中证A500ETF,招商中证A500ETF,0.9748,150.0000,243.0284,0.0000,0.9999,240
159338.OF,560610.OF,国泰中证A500ETF,招商中证A500ETF,1.0167,150.0000,247.4310,0.0000,0.9998,240
159338.OF,560610.OF,国泰中证A500ETF,招商中证A500ETF,1.0167,150.0000,247.4310,0.0000,0.9998,240
159338.OF,560610.OF,国泰中证A500ETF,招商中证A500ETF,1.0167,150.0000,247.4310,0.0000,0.9998,240
159547.OF,512890.OF,华夏中证红利低波动ETF,华泰柏瑞红利低波ETF,0.8659,150.0000,254.9105,0.0000,0.9979,240
159547.OF,512890.OF,华夏中证红利低波动ETF,华泰柏瑞红利低波ETF,0.8659,150.0000,254.9105,0.0000,0.9979,240
159547.OF,512890.OF,华夏中证红利低波动ETF,华泰柏瑞红利低波ETF,0.8659,150.0000,254.9105,0.0000,0.9979,240
159300.OF,159919.OF,富国沪深300ETF,嘉实沪深300ETF,1.0055,150.0000,30.4199,0.0000,0.9999,240
159300.OF,159919.OF,富国沪深300ETF,嘉实沪深300ETF,1.0055,150.0000,30.4199,0.0000,0.9999,240
159300.OF,159919.OF,富国沪深300ETF,嘉实沪深300ETF,1.0055,150.0000,30.4199,0.0000,0.9999,240
518660.OF,518860.OF,工银黄金ETF,建信上海金ETF,1.0021,150.0000,271.9636,0.0000,0.9999,240
518660.OF,518860.OF,工银黄金ETF,建信上海金ETF,1.0021,150.0000,271.9636,0.0000,0.9999,240
518660.OF,518860.OF,工银黄金ETF,建信上海金ETF,1.0021,150.0000,271.9636,0.0000,0.9999,240
159338.OF,560510.OF,国泰中证A500ETF,泰康中证A500ETF,1.0284,150.0000,274.7845,0.0000,0.9999,240
159338.OF,560510.OF,国泰中证A500ETF,泰康中证A500ETF,1.0284,150.0000,274.7845,0.0000,0.9999,240
159338.OF,560510.OF,国泰中证A500ETF,泰康中证A500ETF,1.0284,150.0000,274.7845,0.0000,0.9999,240
159351.OF,159352.OF,嘉实中证A500ETF,南方中证A500ETF,1.0147,150.0000,294.0533,0.0000,0.9999,240
159351.OF,159352.OF,嘉实中证A500ETF,南方中证A500ETF,1.0147,150.0000,294.0533,0.0000,0.9999,240
159351.OF,159352.OF,嘉实中证A500ETF,南方中证A500ETF,1.0147,150.0000,294.0533,0.0000,0.9999,240
159841.OF,512900.OF,天弘中证全指证券公司ETF,南方中证全指证券公司ETF,1.5322,150.0000,295.7636,0.0000,0.9998,240
159841.OF,512900.OF,天弘中证全指证券公司ETF,南方中证全指证券公司ETF,1.5322,150.0000,295.7636,0.0000,0.9998,240
159841.OF,512900.OF,天弘中证全指证券公司ETF,南方中证全指证券公司ETF,1.5322,150.0000,295.7636,0.0000,0.9998,240
159841.OF,512880.OF,天弘中证全指证券公司ETF,国泰中证全指证券公司ETF,1.5987,150.0000,327.2745,0.0000,0.9999,240
159841.OF,512880.OF,天弘中证全指证券公司ETF,国泰中证全指证券公司ETF,1.5987,150.0000,327.2745,0.0000,0.9999,240
159841.OF,512880.OF,天弘中证全指证券公司ETF,国泰中证全指证券公司ETF,1.5987,150.0000,327.2745,0.0000,0.9999,240
159681.OF,159682.OF,鹏华创业板50ETF,景顺长城创业板50ETF,0.9952,150.0000,374.6030,0.0000,1.0000,240
159681.OF,159682.OF,鹏华创业板50ETF,景顺长城创业板50ETF,0.9952,150.0000,374.6030,0.0000,1.0000,240
159681.OF,159682.OF,鹏华创业板50ETF,景顺长城创业板50ETF,0.9952,150.0000,374.6030,0.0000,1.0000,240
512000.OF,560090.OF,华宝中证全指证券公司ETF,汇添富中证全指证券公司ETF,-0.3457,150.0000,379.2034,0.0000,0.9998,240
512000.OF,560090.OF,华宝中证全指证券公司ETF,汇添富中证全指证券公司ETF,-0.3457,150.0000,379.2034,0.0000,0.9998,240
512000.OF,560090.OF,华宝中证全指证券公司ETF,汇添富中证全指证券公司ETF,-0.3457,150.0000,379.2034,0.0000,0.9998,240
159842.OF,512570.OF,银华中证全指证券公司ETF,易方达中证全指证券公司ETF,1.3516,150.0000,378.1448,0.0000,0.9998,240
159842.OF,512570.OF,银华中证全指证券公司ETF,易方达中证全指证券公司ETF,1.3516,150.0000,378.1448,0.0000,0.9998,240
159842.OF,512570.OF,银华中证全指证券公司ETF,易方达中证全指证券公司ETF,1.3516,150.0000,378.1448,0.0000,0.9998,240
159841.OF,512000.OF,天弘中证全指证券公司ETF,华宝中证全指证券公司ETF,-2.9297,150.0000,420.9066,0.0000,0.9999,240
159841.OF,512000.OF,天弘中证全指证券公司ETF,华宝中证全指证券公司ETF,-2.9297,150.0000,420.9066,0.0000,0.9999,240
159841.OF,512000.OF,天弘中证全指证券公司ETF,华宝中证全指证券公司ETF,-2.9297,150.0000,420.9066,0.0000,0.9999,240
518800.OF,518860.OF,国泰黄金ETF,建信上海金ETF,1.0074,150.0000,423.2316,0.0000,0.9999,240
518800.OF,518860.OF,国泰黄金ETF,建信上海金ETF,1.0074,150.0000,423.2316,0.0000,0.9999,240
518800.OF,518860.OF,国泰黄金ETF,建信上海金ETF,1.0074,150.0000,423.2316,0.0000,0.9999,240
159848.OF,560090.OF,国联安中证全指证券公司ETF,汇添富中证全指证券公司ETF,-1.0282,150.0000,429.0254,0.0000,0.9996,240
159848.OF,560090.OF,国联安中证全指证券公司ETF,汇添富中证全指证券公司ETF,-1.0282,150.0000,429.0254,0.0000,0.9996,240
159848.OF,560090.OF,国联安中证全指证券公司ETF,汇添富中证全指证券公司ETF,-1.0282,150.0000,429.0254,0.0000,0.9996,240
159352.OF,159357.OF,南方中证A500ETF,博时中证A500ETF,1.0190,150.0000,463.6980,0.0000,0.9999,225
159352.OF,159357.OF,南方中证A500ETF,博时中证A500ETF,1.0190,150.0000,463.6980,0.0000,0.9999,225
159352.OF,159357.OF,南方中证A500ETF,博时中证A500ETF,1.0190,150.0000,463.6980,0.0000,0.9999,225
512000.OF,512880.OF,华宝中证全指证券公司ETF,国泰中证全指证券公司ETF,-0.2277,150.0000,493.8903,0.0000,0.9999,240
512000.OF,512880.OF,华宝中证全指证券公司ETF,国泰中证全指证券公司ETF,-0.2277,150.0000,493.8903,0.0000,0.9999,240
512000.OF,512880.OF,华宝中证全指证券公司ETF,国泰中证全指证券公司ETF,-0.2277,150.0000,493.8903,0.0000,0.9999,240
159841.OF,560090.OF,天弘中证全指证券公司ETF,汇添富中证全指证券公司ETF,2.0370,150.0000,495.0936,0.0000,0.9998,240
159841.OF,560090.OF,天弘中证全指证券公司ETF,汇添富中证全指证券公司ETF,2.0370,150.0000,495.0936,0.0000,0.9998,240
159841.OF,560090.OF,天弘中证全指证券公司ETF,汇添富中证全指证券公司ETF,2.0370,150.0000,495.0936,0.0000,0.9998,240
512000.OF,512900.OF,华宝中证全指证券公司ETF,南方中证全指证券公司ETF,-0.2089,150.0000,517.6605,0.0000,0.9998,240
512000.OF,512900.OF,华宝中证全指证券公司ETF,南方中证全指证券公司ETF,-0.2089,150.0000,517.6605,0.0000,0.9998,240
512000.OF,512900.OF,华宝中证全指证券公司ETF,南方中证全指证券公司ETF,-0.2089,150.0000,517.6605,0.0000,0.9998,240
512700.OF,515020.OF,南方中证银行ETF,华夏中证银行ETF,1.0995,150.0000,528.0855,0.0000,0.9999,240
512700.OF,515020.OF,南方中证银行ETF,华夏中证银行ETF,1.0995,150.0000,528.0855,0.0000,0.9999,240
512700.OF,515020.OF,南方中证银行ETF,华夏中证银行ETF,1.0995,150.0000,528.0855,0.0000,0.9999,240
159848.OF,516200.OF,国联安中证全指证券公司ETF,华安中证全指证券公司ETF,-0.2403,150.0000,558.4177,0.0000,0.9998,240
159848.OF,516200.OF,国联安中证全指证券公司ETF,华安中证全指证券公司ETF,-0.2403,150.0000,558.4177,0.0000,0.9998,240
159848.OF,516200.OF,国联安中证全指证券公司ETF,华安中证全指证券公司ETF,-0.2403,150.0000,558.4177,0.0000,0.9998,240
515020.OF,515290.OF,华夏中证银行ETF,天弘中证银行ETF,0.6746,150.0000,660.4330,0.0000,0.9999,240
515020.OF,515290.OF,华夏中证银行ETF,天弘中证银行ETF,0.6746,150.0000,660.4330,0.0000,0.9999,240
515020.OF,515290.OF,华夏中证银行ETF,天弘中证银行ETF,0.6746,150.0000,660.4330,0.0000,0.9999,240
512730.OF,515290.OF,鹏华中证银行ETF,天弘中证银行ETF,0.7207,150.0000,672.6278,0.0000,0.9998,240
512730.OF,515290.OF,鹏华中证银行ETF,天弘中证银行ETF,0.7207,150.0000,672.6278,0.0000,0.9998,240
512730.OF,515290.OF,鹏华中证银行ETF,天弘中证银行ETF,0.7207,150.0000,672.6278,0.0000,0.9998,240
512700.OF,515290.OF,南方中证银行ETF,天弘中证银行ETF,0.7424,150.0000,680.4358,0.0000,0.9999,240
