stock_code,title,author,post_time,read_count,comment_count,post_link,page,crawl_time
601669,啦啦啦，周末快点过吧,,03-15 09:41,554412,551394,"https://guba.eastmoney.com/news,601669,1679183305.html",2,2026-03-15 20:59:59
601669,明天涨停价是7.91吗？,小猫复盘,03-15 09:41,554412,551394,"https://guba.eastmoney.com/news,601669,1679342678.html",2,2026-03-15 20:59:59
601669,倒在黎明前,,03-15 09:41,554412,551394,"https://guba.eastmoney.com/news,601669,1679342718.html",2,2026-03-15 20:59:59
601669,你们明天进不了的可以到能建来啊,5V90972T05954周三,03-15 08:10,554412,498711,"https://guba.eastmoney.com/news,601669,1679335956.html",2,2026-03-15 20:59:59
601669,不破上次4连板高度不加仓,5V90972T05954周三,03-15 07:49,554412,551394,"https://guba.eastmoney.com/news,601669,1679307601.html",2,2026-03-15 20:59:59
601669,周三卖完，周五就涨停了，就这个命，买的跌，卖的涨,5V90972T05954我想,03-15 07:55,433803,409276,"https://guba.eastmoney.com/news,601669,1679334582.html",2,2026-03-15 20:59:59
601669,割韭菜正当时！,5V90972T05954周三,03-15 07:51,409276,241500,"https://guba.eastmoney.com/news,601669,1679340204.html",2,2026-03-15 20:59:59
601669,明天是福还是.祸有没有大神分析一下，暂时手上40万股,860iH12766793割韭,03-15 08:08,409276,311755,"https://guba.eastmoney.com/news,601669,1679337794.html",2,2026-03-15 20:59:59
601669,亚盛集团正在办理采矿证。亚盛集团通过全资子公司甘肃亚盛鱼儿红矿业开发有限责任公司,36227G706D11681,03-15 08:08,409276,311755,"https://guba.eastmoney.com/news,601669,1679340144.html",2,2026-03-15 20:59:59
601669,记住：中东乱局使得“能源自主可控”成为贯穿2026年全年的行情主线！,36227G706D11681,03-15 07:39,582241,311755,"https://guba.eastmoney.com/news,601669,1679340984.html",2,2026-03-15 20:59:59
601669,以前都睡着了？现在喊是好题材、好股？题材是这两天才有的？,65q51C008561510,03-14 09:05,582241,292620,"https://guba.eastmoney.com/news,601669,1679328388.html",2,2026-03-15 20:59:59
601669,@妙想挂单量,65q51C008561510,03-15 04:54,311755,292620,"https://guba.eastmoney.com/news,601669,1679341533.html",2,2026-03-15 20:59:59
601669,明天能买到吗,65q51C008561510,03-15 04:54,582241,292620,"https://guba.eastmoney.com/news,601669,1679337926.html",2,2026-03-15 20:59:59
601669,有一字板基因,65q51C008561510,03-15 07:29,582241,292620,"https://guba.eastmoney.com/news,601669,1679339489.html",2,2026-03-15 20:59:59
601669,明天要不要跟上进场，陈老师再次为大家送上福利，本条帖子评论满100，点赞满100,65q51C008561510,03-15 07:11,451781,451010,"https://guba.eastmoney.com/news,601669,1679338263.html",2,2026-03-15 20:59:59
601669,今日若能涨停，必放历史天量。公司将迎来市场的价值重估，突破历史新高将是必然。否则,5HZJGn1010不给懂王面,03-15 06:12,451781,451010,"https://guba.eastmoney.com/news,601669,1676088216.html",2,2026-03-15 20:59:59
601669,周五没看涨停了明天跑了,5HZJGn1010不给懂王面,03-13 03:09,451781,451010,"https://guba.eastmoney.com/news,601669,1679340710.html",2,2026-03-15 20:59:59
601669,反正有先手的，不涨停就撤！热度都第一了，要么就是真的强，要么就是拉高出货！,5HZJGn1010不给懂王面,03-15 07:16,451781,451010,"https://guba.eastmoney.com/news,601669,1679336655.html",2,2026-03-15 20:59:59
