instrument,name,last_price,total_cap_yi,float_cap_yi
SH605086,龙高股份,35.57,63.74144,63.74144
SH605358,立昂微,49.98,335.55462944,335.55462944
SH605006,山东玻纤,14.87,89.22719321,89.22719321
SH600345,长江通信,57.45,189.36216983,121.54081613
SH600545,卓郎智能,5.51,98.51396343,98.51396343
SZ002918,蒙娜丽莎,11.57,47.29891541,24.78196581
SH600530,交大昂立,5.95,46.10774,46.10774
SZ002259,升达林业,5.84,43.93597079,43.93597079
SZ002552,宝鼎科技,27.65,107.27794402,101.89115941
SH603758,秦安股份,13.44,58.97432339,58.97432339
SZ000582,北部湾港,13.67,344.08544842,294.84115208
SZ002031,巨轮智能,7.06,155.2773343,135.10161267
SZ000036,华联控股,6.07,85.21179661,85.16096072
SZ000863,三湘印象,5.63,66.47338523,65.48904774
SZ002397,梦洁股份,5.52,41.27753565,35.76121501
SZ002520,日发精机,6.75,50.64154904,48.42721154
SZ002030,达安基因,6.64,93.18881652,93.18881652
SH601991,大唐发电,5.54,1025.27176192,686.74333647
SZ300755,华致酒行,15.15,63.1449576,63.11200635
SZ300129,泰胜风能,12.73,141.15701809,91.49180668
SZ300864,南大环境,24.85,39.24080473,39.24080473
SH688282,理工导航,96.2,84.656,84.656
SH688182,灿勤科技,33.46,133.84,133.84
SZ300599,雄塑科技,13.46,48.20450892,25.30942916
SZ300905,宝丽迪,69.81,124.97085738,97.48703386
SZ300321,同大股份,43.92,39.00096,38.95523928
SZ300049,福瑞医科,55.95,148.25401605,130.72170141
SZ301000,肇民科技,35.86,87.09580767,82.21597887
SH688307,中润光学,107.3,95.254502,95.254502
SZ002008,大族激光,122.06,1256.7339198,1167.78144247
SZ301595,太力科技,49.67,53.782676,12.1011021
SZ300901,中胤时尚,18.25,43.8,43.8
SH603010,万盛股份,15.0,87.75454395,85.61674395
SZ300946,恒而达,54.18,84.52502604,41.07076974
SZ003001,中岩大地,19.33,33.70422157,20.78102501
SH605598,上海港湾,58.68,142.60226352,142.60226352
SZ300594,ST朗进,20.58,18.90755601,18.72633368
SH688456,有研粉材,77.95,80.80297,80.80297
SZ300849,锦盛新材,25.53,38.295,28.15189602
SH603418,友升股份,60.2,116.22720329,24.90149642
SZ300561,*ST汇科,18.39,60.3390566,44.33048786
SZ300570,太辰光,162.1,368.17265141,311.54452556
SZ301261,恒工精密,96.57,84.87556228,36.19764309
SZ002244,滨江集团,10.8,336.03594012,297.81532872
SH603637,镇海股份,18.53,44.22849301,44.22849301
SZ002213,大为股份,43.15,102.47474298,89.14039578
SZ301207,华兰疫苗,21.19,127.35772725,127.27734299
SZ001278,一彬科技,23.63,29.23820242,20.15896
SZ301603,乔锋智能,133.71,161.468196,50.45212575
SH688568,中科星图,66.8,539.79671322,539.79671322
SH688692,达梦数据,293.8,332.69912,214.8754777
SZ301089,拓新药业,29.91,37.84945995,27.05959584
SZ301680,固德电材,120.81,100.03068,20.29907609
SZ301525,儒竞科技,78.3,73.84611434,38.68113725
SZ300900,广联航空,48.3,158.28892132,124.0271352
SZ301328,维峰电子,70.05,76.9804626,76.97951692
SZ300790,宇瞳光学,33.46,125.18021104,108.61849209
SZ301687,新广益,64.31,94.4482384,18.99416751
SH688350,富淼科技,32.57,46.65477534,46.65477534
SZ301088,戎美股份,15.76,35.91704,29.6288
SZ300461,田中精机,59.24,93.04038434,85.12980945
SH603915,国茂股份,17.65,115.89563272,115.89563272
SZ301319,唯特偶,94.67,117.88398431,88.59087766
SH603950,长源东谷,68.5,222.029598,221.670658
SZ300518,新迅达,29.71,59.24517923,59.23357005
SZ002428,云南锗业,86.07,562.140384,562.06776244
SH605222,起帆电缆,37.88,156.40778027,156.40778027
SZ301629,矽电股份,351.0,146.46273174,67.37814954
SH688076,ST诺泰,32.1,101.45265894,101.45265894
SZ301682,宏明电子,143.82,174.81228668,36.94278596
SZ300507,苏奥传感,8.82,70.6170572,68.35425242
SH688203,海正生材,14.54,29.46939109,29.46939109
SH603608,天创时尚,13.68,57.41990956,57.41990956
SZ301413,安培龙,120.29,118.36774776,70.67021742
SH688229,博睿数据,105.2,46.7088,46.7088
SH600249,两面针,6.36,34.98,34.98
SZ000697,炼石航空,12.58,175.62790814,82.16090438
SZ000700,模塑科技,14.5,133.11223141,133.11223141
SH600743,华远控股,2.78,65.2216043,65.2216043
SH603037,凯众股份,14.68,39.18404684,39.07010655
SH688799,华纳药厂,61.99,81.405268,81.405268
SZ300052,中青宝,15.25,39.93345328,39.93230953
SH688807,优迅股份,400.15,320.12,60.16517748
SH688178,万德斯,40.07,34.05863609,34.05863609
SH688757,胜科纳米,31.68,127.76907876,57.41060593
SH688510,航亚科技,37.31,96.82788504,96.82788504
SZ300852,四会富仕,50.64,81.28791796,78.46987589
SZ001313,粤海饲料,9.59,67.13,67.04879677
SH688545,兴福电子,63.0,226.8,114.8175
SZ002943,宇晶股份,74.5,153.19273782,108.56143502
SZ300672,国科微,214.56,465.81502101,451.30048544
SZ300572,安车检测,34.59,79.20723007,62.70402803
SH688485,九州一轨,63.99,96.17189047,56.79623012
SH688820,盛合晶微,127.0,2365.72310319,219.58635661
SZ001331,胜通能源,49.99,141.091776,98.5437873
SH603293,埃泰克,55.25,98.94758855,19.39082233
SH688418,震有科技,54.2,104.36461163,104.36461163
SZ301220,亚香股份,40.53,45.70602145,31.52464254
SZ300421,力星股份,27.25,80.12330689,62.757519
SZ300718,长盛轴承,79.01,236.0653116,155.37892404
SZ300508,维宏股份,36.9,40.16429577,30.20602008
SH601882,海天精工,23.79,124.1838,124.1838
SH603030,全筑股份,3.06,40.29816571,40.29816571
SH600522,中天科技,40.9,1395.89640767,1395.89640767
SZ301079,邵阳液压,47.16,51.37244155,36.2817971
SH688781,视涯科技-UW,46.99,469.9,19.18841208
SH603162,海通发展,18.11,168.03296638,50.61228793
SH688061,灿瑞科技,39.15,44.97919658,44.97919658
SH603289,泰瑞机器,12.4,36.38062077,36.38062077
SZ300955,嘉亨家化,43.63,43.97904,43.97904
SH605111,新洁能,44.52,184.90605883,184.90605883
SH600118,中国卫星,114.18,1350.16609434,1350.16609434
SZ300865,大宏立,33.0,31.5744,18.9691392
SH601003,柳钢股份,4.86,128.02317807,124.55174952
SZ300948,冠中生态,23.69,38.09021951,35.90495038
SH688184,ST帕瓦,14.31,22.75969925,14.37976325
SZ300854,中兰环保,36.1,36.12481875,29.38342353
SZ000026,飞亚达,19.9,80.74703739,72.54758587
SZ301003,江苏博云,54.8,53.229061,41.17691399
SZ301115,联检科技,25.22,46.28496717,39.03216527
SZ300828,锐新科技,24.8,41.272656,20.92359012
SH603399,永杉锂业,23.99,122.8985267,122.8985267
SZ300345,华民股份,7.32,42.49105877,35.10644147
SZ002189,中光学,24.05,62.81842516,62.808961
SZ300381,溢多利,7.37,36.19122968,36.06441504
SH603331,百达精工,15.43,31.19570063,31.19570063
SZ003009,中天火箭,66.28,109.17470465,109.15474443
SZ300845,捷安高科,14.99,30.82560089,21.55290636
SZ002800,天顺股份,18.18,27.67960758,26.87783304
SZ300476,胜宏科技,358.66,3524.85601031,3103.10818974
SH603353,和顺石油,52.31,89.9240286,89.1456558
SH603773,沃格光电,72.75,163.49590051,163.43915551
SH600929,雪天盐业,7.2,118.08815443,118.08815443
SZ002827,高争民爆,33.21,92.0069766,91.65917657
SZ001312,福恩股份,25.51,59.5233335,14.58158462
SZ300872,天阳科技,20.3,99.08857985,85.67446368
SH688811,有研复材,29.55,148.24455028,27.22326166
SZ300695,兆丰股份,70.76,72.35699942,72.35699942
SZ300469,信息发展,61.39,152.39381405,152.31706121
SH601126,四方股份,64.2,534.894819,529.7048268
SZ002489,浙江永强,3.75,81.33811174,71.738304
SZ300102,乾照光电,33.07,304.35440849,302.89597817
SZ300270,中威电子,15.22,46.08707746,39.71358375
SZ002755,奥赛康,17.73,164.56283023,164.56107496
SH603334,丰倍生物,50.76,72.8406,16.15015844
SH688816,易思维,68.7,68.7,13.24827425
SH603629,利通电子,167.59,439.622088,432.4341529
SZ000801,四川九洲,14.04,142.69199616,142.64192728
SH603657,春光科技,33.0,44.6127165,44.6127165
SH688102,斯瑞新材,46.55,361.96991716,361.96991716
SZ002396,星网锐捷,28.92,169.38302234,168.6846564
SH600751,海航科技,3.98,115.39364376,102.41292427
SZ002203,海亮股份,22.11,506.70709108,489.10443458
SZ002075,沙钢股份,4.73,103.76794355,103.76777682
SH603488,展鹏科技,13.14,38.36754382,38.36754382
SZ000738,航发控制,23.03,302.88687543,302.88687543
SZ300301,ST长方,3.66,30.37319695,28.90665691
SH688223,晶科能源,7.15,734.26254923,734.26254923
SZ301055,张小泉,33.83,52.7748,52.7748
SZ000791,甘肃能源,9.2,298.43325626,178.07817031
SH601872,招商轮船,19.49,1573.72755404,1573.72755404
SH688127,蓝特光学,84.78,344.12007006,344.12007006
SH601515,衢州东峰,4.79,92.18214514,92.18214514
SH603960,克来机电,23.99,62.90127621,62.90127621
SH603296,华勤技术,118.6,1274.09672518,676.5981157
SZ000042,中洲控股,10.16,67.54684372,67.47281166
SH688109,品茗科技,101.96,80.38760908,80.38760908
SZ300920,润阳科技,42.19,42.19,27.70550851
SH603868,飞科电器,37.27,162.34812,162.34812
SZ300863,卡倍亿,63.95,120.33844712,115.66561934
SH600368,五洲交通,4.11,66.15677356,66.15677356
SH600331,宏达股份,18.28,482.88448,371.4496
SZ300159,*ST新研,3.74,123.06174656,68.51067399
SZ002683,广东宏大,40.36,306.68961143,269.02325962
SZ301046,能辉科技,25.62,43.19981119,33.00247474
SH603223,恒通股份,9.56,67.47660165,67.47660165
SH688191,智洋创新,53.34,123.56230736,123.56230736
SH603231,索宝蛋白,18.16,34.76897347,19.29790233
SH603298,杭叉集团,29.06,380.63138144,380.63138144
SH603380,易德龙,39.22,62.92503864,62.92503864
SH688552,航天南湖,41.96,141.5092608,36.4328404
SZ301225,恒勃股份,118.99,123.011862,35.5565918
SZ300639,凯普生物,6.45,41.69929347,40.96810193
SZ300302,同有科技,35.5,170.13864829,130.92893273
SZ002357,富临运业,12.36,38.74724485,38.74585435
SZ002134,天津普林,29.5,72.76171755,72.71452434
SZ003031,中瓷电子,140.07,631.7897396,476.45748409
SZ002599,盛通股份,7.24,38.56601658,28.81263965
SZ002664,信质集团,23.63,96.45766,95.12872959
SH688085,三友医疗,19.34,64.49164711,61.64459256
SH688066,*ST航图,12.66,33.07783987,33.07783987
SH605068,明新旭腾,27.64,44.83166402,44.83166402
SH600389,江山股份,28.95,124.673175,124.673175
SH605369,拱东医疗,22.5,49.61091353,49.61091353
SZ000626,远大控股,9.43,47.77491328,47.49999643
SH688432,有研硅,17.86,223.30391184,223.30391184
SZ002861,瀛通通讯,17.9,33.3448292,26.88009885
SH600319,亚星化学,8.37,32.45127544,32.45127544
SZ300536,农尚环境,11.18,32.78961327,32.78723618
SZ300075,数字政通,14.53,90.25021196,74.89321056
SH601026,道生天合,18.93,124.82442,21.02852112
SH600790,轻纺城,4.94,72.41007184,72.41007184
SZ300516,久之洋,57.5,103.5,103.5
SH603117,万林物流,5.14,30.79876394,30.79876394
SH603681,永冠新材,19.59,46.5736245,46.5736245
SH600100,同方股份,8.73,292.48099034,292.48099034
SZ300234,开尔新材,7.14,35.92641583,24.56067494
SZ301066,万事利,16.31,38.3159594,38.02132888
SH600879,航天电子,26.65,879.26327251,879.26327251
SH603007,花王股份,6.58,58.20971345,45.73685811
SH688712,北芯生命,45.22,188.5674,16.78326734
SH600221,海航控股,1.6,691.45012056,685.52823893
SZ301368,丰立智能,54.53,65.49053,34.96542123
SZ300342,天银机电,68.4,290.72401729,286.45842229
SZ300027,ST华谊,2.01,55.76756897,51.54801476
SH601698,中国卫通,39.8,1681.30539398,1681.30539398
SZ002669,康达新材,14.35,43.5379,43.4400043
SZ301005,超捷股份,196.83,264.26594795,260.54502442
SH603392,万泰生物,42.79,541.03368083,541.03368083
SH603341,龙旗科技,39.44,206.10974999,104.99434055
SZ300858,科拓生物,18.83,49.61613072,36.85787062
SZ003027,同兴科技,26.08,34.09261056,27.34774045
SZ301213,观想科技,78.43,62.74399922,40.55697573
SH688387,信科移动-U,21.77,744.261875,439.05239644
SZ301395,仁信新材,15.7,38.12751877,19.99072177
SZ300044,*ST赛为,6.52,49.80427367,46.64265884
SH603665,康隆达,30.76,49.55776113,49.26758667
SH603257,中国瑞林,66.14,79.368,16.46886
SH688309,恒誉环保,79.8,63.36221266,63.36221266
SH600336,澳柯玛,8.18,65.2776081,65.2776081
SH600207,安彩高科,6.55,71.34997229,71.34997229
SZ301613,新铝时代,49.8,71.63294101,41.78282101
SH688581,安杰思,63.38,51.41517367,26.34053849
SZ002976,瑞玛精密,32.7,48.95212465,21.80254515
SZ300349,金卡智能,14.2,59.24429045,52.50019073
SH600826,兰生股份,10.1,74.28888845,74.28888845
SZ000016,*ST康佳A,3.09,74.40551311,49.33474842
SH603916,苏博特,12.59,53.67089189,52.91926889
SH600105,永鼎股份,49.94,730.12020412,730.12020412
SZ000911,*ST广糖,5.79,23.17851746,23.17851746
SZ002183,怡 亚 通,6.83,177.37572092,177.37469642
SZ002048,宁波华翔,30.4,247.40526909,215.77903797
SZ000545,金浦钛业,3.11,30.69050929,30.64603629
SH600228,*ST返利,6.65,27.7087164,27.66647227
SZ002429,兆驰股份,12.69,574.46876303,574.1378124
SH688279,峰岹科技,215.26,247.79456861,201.39312301
SH600381,*ST春天,4.16,24.42172683,24.42172683
SZ000826,*ST启环,2.08,29.64734756,29.64322677
SH603031,安孚科技,48.98,183.10974631,153.98840274
SH603189,*ST网达,12.29,33.12749209,33.12749209
SZ002693,*ST双成,9.58,39.72727805,39.3720369
SH605336,*ST帅电,18.18,33.34438341,33.34438341
SH603843,*ST正平,9.4,65.76458428,65.76458428
SZ301199,迈赫股份,23.2,43.308832,16.634632
SZ002207,*ST准油,7.95,20.83340255,20.73454605
SZ301288,*ST清研,18.63,20.122263,14.55182239
SZ002289,*ST宇顺,42.33,118.63140518,116.16674093
SH600892,*ST大晟,3.98,22.26667468,22.26091753
SZ003004,*ST声迅,38.33,31.37794033,26.34865145
SZ003032,*ST传智,7.12,28.654262,20.25509049
SH688028,沃尔德,133.35,201.2904915,201.2904915
SZ002569,*ST步森,15.11,21.759911,21.155511
SH603580,*ST艾艾,24.55,32.0802706,32.0802706
SH603869,ST智知,10.74,53.06812155,53.06812155
SZ002211,ST宏达,3.79,16.39083202,16.39083202
SZ002519,银河电子,8.84,99.57649138,98.79623524
SH603959,ST百利,4.84,23.73047121,23.73047121
SH600476,*ST湘邮,12.64,20.359248,20.359248
SZ002199,*ST东晶,12.02,29.26177203,27.75803758
SZ000668,*ST荣控,18.34,26.93080263,26.93080263
SH600337,ST美克,2.74,39.37374895,39.37374895
SZ002691,*ST冀凯,5.28,17.952,17.7397139
SH600761,安徽合力,19.27,171.63649504,171.63649504
SH600734,*ST实达,2.12,46.18002585,46.17048585
SZ002522,浙江众成,6.99,63.31397915,63.26088954
SH688375,国博电子,133.39,795.02427511,795.02427511
SH600730,*ST高科,10.38,60.89489301,60.89489301
SH603194,中力股份,37.15,148.9715,58.70699818
SH688448,磁谷科技,72.99,52.7542524,52.7542524
SZ300553,集智股份,55.93,62.09510126,47.48196926
SZ000909,*ST数源,4.69,20.52879809,20.52862573
SH603828,*ST利达,5.54,33.01619275,33.01505523
SZ301371,敷尔佳,31.81,165.4450824,24.74480814
SH688584,上海合晶,26.1,174.65998687,89.60136003
SZ300809,华辰装备,35.46,89.90500032,53.39194612
SH603709,中源家居,19.89,25.07675508,24.8842338
SH600988,赤峰黄金,44.4,843.78256303,738.77665183
SZ001279,强邦新材,32.15,51.44,12.86
SZ002040,南 京 港,10.71,52.25912209,52.05868016
SZ301499,维科精密,38.14,52.73040589,13.18260166
SZ301196,唯科科技,125.0,156.64217125,102.45201375
SH688306,均普智能,10.09,123.93373452,123.93373452
SH688315,诺禾致源,15.12,62.92944,62.92944
SZ300076,*ST宁视,4.83,20.4792,20.4792
SZ000070,特发信息,21.07,189.70264093,187.24463412
SZ301234,五洲医疗,42.48,28.8864,17.0644764
SH603119,浙江荣泰,92.62,336.89797933,188.83317715
SH601799,星宇股份,137.96,394.12332645,394.12332645
SZ301312,智立方,127.26,154.21444683,77.05944874
SZ002490,山东墨龙,10.18,81.22096712,55.1472996
SH600223,福瑞达,6.86,69.73661797,69.73661797
SZ301683,慧谷新材,143.03,90.27538692,20.4041592
SH688160,步科股份,122.31,111.09687116,111.09687116
SZ002350,北京科锐,16.7,90.56933562,88.60186186
SH688585,上纬新材,135.41,546.19211588,546.19211588
SZ301517,陕西华达,73.88,111.73417634,72.0788647
SZ002334,英威腾,8.32,68.45201792,61.15300622
SZ300581,晨曦航空,13.5,74.26478871,74.26478871
SH688298,东方生物,25.25,50.904,50.904
SZ002214,*ST大立,19.16,114.70377083,91.66463071
SZ301188,力诺药包,27.5,73.57256913,73.57256913
SZ300939,秋田微,42.69,51.228,51.228
SZ301105,鸿铭股份,60.87,30.435,10.00550442
SH603982,泉峰汽车,7.92,28.9182164,26.892641
SH603355,莱克电气,34.25,196.38838962,196.38838962
SZ001396,誉帆科技,50.71,54.21021515,11.26124272
SZ002913,奥士康,58.45,185.49721459,176.3349842
SZ000997,新 大 陆,21.64,219.23438881,218.00988205
SH603001,奥康国际,9.79,39.255942,39.255942
SZ002401,中远海科,15.31,56.90243816,56.85361304
SZ300354,东华测试,39.22,54.24918283,31.88939725
SZ002472,双环传动,42.45,360.79719185,317.75190447
SH601615,明阳智能,16.66,376.76535122,376.76535122
SH600776,东方通信,18.51,232.48561185,176.95561185
SZ300780,德恩精工,29.12,42.710304,31.31364949
SH688562,航天软件,19.92,79.68,34.465584
SZ301398,星源卓镁,47.48,53.1776,17.6715812
SZ300403,汉宇集团,11.87,71.5761,50.69189024
SZ301027,华蓝集团,25.58,37.6026,31.00093765
SH600358,国旅联合,6.3,31.81100958,31.81100958
SZ301323,新莱福,72.84,76.9108018,49.21577585
SH600610,中毅达,10.8,115.69765734,76.54248414
SH688201,ST信安,8.73,27.68752814,26.41093474
SZ301479,弘景光电,131.48,116.97161983,66.9617424
SZ300943,春晖智控,32.75,66.75105,43.69686926
SZ002677,浙江美大,8.25,53.29926088,45.49956263
SZ000711,ST京蓝,5.67,167.43069004,135.0190004
SZ000977,浪潮信息,76.48,1123.09094574,1121.8329637
SZ300540,蜀道装备,31.69,72.74728196,65.51185095
