factor,is_factor_higher_better,推断方向,IC均值通过,ICIR通过,RankIC均值通过,RankICIR通过,RR均值通过,RR胜率通过,单调性通过,初筛是否通过,备注
alpha101.alpha093,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha101.alpha094,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha095,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha096,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha097,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha098,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha101.alpha099,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha100,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha101,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha001,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha002,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha003,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha004,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha005,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha006,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha007,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha008,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha009,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha010,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha011,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha012,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha013,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha191.alpha014,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha015,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha016,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha017,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha018,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha019,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha020,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha021,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha022,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha023,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha024,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha025,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha026,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha027,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha028,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha191.alpha029,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha031,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
