market,code,close,open,high,low,pre_close,server_time,neg_price,vol,cur_vol,amount,in_vol,out_vol,s_amount,open_amount,handicap,unknown,rise_speed,short_turnover,min2_amount,opening_rush,active_flag,decimal,extra_meta,vol_rise_speed,depth,active,turnover,ts_code,market_cap_yi,name,drop_reason
MARKET.SZ,300559,12.82,12.63,12.93,12.33,12.46,15:33:10.314,0.0,12149500,123100,153545536.0,5472600,6676900,0,21.72,"{'bid': [{'price': 12.82, 'vol': 576}], 'ask': [{'price': 12.83, 'vol': 578}]}",0000101010010110,0.08%,0.08%,1578160.0,0.40%,0,0,000000000000000000000000000000000000000000000000,0.78%,25.19%,2782,3.9,300559.SZ,39.93758717948718,佳发教育,
MARKET.SZ,300562,13.29,13.35,13.37,12.96,13.16,15:33:10.032,0.0,6290900,26300,82806480.0,3165800,3125100,0,47.93,"{'bid': [{'price': 13.28, 'vol': 18}], 'ask': [{'price': 13.29, 'vol': 48}]}",0000010100010110,-0.07%,0.07%,349512.0,0.75%,0,0,000000000000000000000000000000000000000000000000,0.72%,-59.73%,2213,3.86,300562.SZ,21.659601295336792,乐心医疗,
MARKET.SZ,300565,14.75,14.24,15.08,14.06,14.17,15:33:09.156,35.0,23968800,297000,352178176.0,10628600,13340300,0,77.61,"{'bid': [{'price': 14.75, 'vol': 187}], 'ask': [{'price': 14.76, 'vol': 164}]}",0001100010010110,-0.06%,0.28%,4380672.0,-0.27%,0,0,000000000000000000000000000000000000000000000000,1.23%,13.03%,3579,10.5,300565.SZ,33.670457142857146,科信技术,
MARKET.SZ,300569,5.72,5.66,5.77,5.6,5.64,15:33:14.574,0.0,18694800,111400,106552176.0,8074800,10620100,0,85.75,"{'bid': [{'price': 5.72, 'vol': 1282}], 'ask': [{'price': 5.73, 'vol': 1786}]}",0001011010010110,0.18%,0.07%,637192.0,0.35%,0,0,000000000000000000000000000000000000000000000000,1.53%,-6.85%,2729,1.83,300569.SZ,58.43401967213115,天能重工,
MARKET.SZ,300575,6.63,6.53,6.68,6.37,6.44,15:33:14.028,0.0,12927100,50700,84833616.0,6053400,6873700,0,118.85,"{'bid': [{'price': 6.62, 'vol': 63}], 'ask': [{'price': 6.63, 'vol': 117}]}",0000000111010110,0.00%,0.10%,336152.0,1.40%,0,0,000000000000000000000000000000000000000000000000,1.07%,-64.71%,2330,3.77,300575.SZ,22.733865517241384,中旗股份,
MARKET.SZ,300581,12.06,11.82,12.13,11.64,11.79,15:33:10.770,0.0,8214900,104900,97713600.0,3808400,4406500,0,97.52,"{'bid': [{'price': 12.05, 'vol': 270}], 'ask': [{'price': 12.06, 'vol': 193}]}",0000000110010110,-0.07%,0.10%,1265144.0,0.51%,0,0,000000000000000000000000000000000000000000000000,1.72%,-49.50%,2171,1.49,300581.SZ,66.49106979865772,晨曦航空,
MARKET.SZ,300583,14.35,14.15,14.47,13.92,14.06,15:33:09.396,0.0,2854800,28900,40497368.0,1423000,1431900,0,36.03,"{'bid': [{'price': 14.33, 'vol': 5}], 'ask': [{'price': 14.35, 'vol': 112}]}",0001010000010110,0.14%,0.06%,414724.0,0.64%,0,0,000000000000000000000000000000000000000000000000,1.08%,-2.75%,2155,1.53,300583.SZ,26.775411764705876,赛托生物,
MARKET.SZ,300586,12.37,11.51,12.44,11.39,11.28,15:33:10.584,53.0,55768100,490700,672089216.0,21344800,34423300,0,329.76,"{'bid': [{'price': 12.36, 'vol': 1527}], 'ask': [{'price': 12.37, 'vol': 764}]}",0000100010010110,0.16%,0.27%,6069888.0,0.79%,0,0,000000000000000000000000000000000000000000000000,0.93%,-59.74%,3998,10.43,300586.SZ,66.14107353787152,美联新材,
MARKET.SZ,300587,5.68,5.7,5.75,5.6,5.66,15:33:15.198,2.0,19897800,132700,112829480.0,10386500,9511300,0,13.68,"{'bid': [{'price': 5.68, 'vol': 785}], 'ask': [{'price': 5.69, 'vol': 319}]}",0000011011010110,0.18%,0.04%,753704.0,0.35%,0,0,000000000000000000000000000000000000000000000000,0.94%,32.74%,2622,1.89,300587.SZ,59.79867936507936,天铁科技,
MARKET.SZ,300589,14.62,14.57,14.72,14.29,14.3,15:33:09.234,0.0,11569000,86400,168390240.0,5288600,6280400,0,45.17,"{'bid': [{'price': 14.62, 'vol': 292}], 'ask': [{'price': 14.63, 'vol': 136}]}",0000101011010110,0.00%,0.17%,1263248.0,0.00%,0,0,000000000000000000000000000000000000000000000000,1.35%,-17.53%,2818,4.93,300589.SZ,34.30806896551724,江龙船艇,
MARKET.SZ,300591,8.06,8.0,8.2,7.91,7.91,15:33:13.170,0.0,13996100,62200,112723240.0,6241700,7754400,0,3.92,"{'bid': [{'price': 8.05, 'vol': 131}], 'ask': [{'price': 8.06, 'vol': 178}]}",0000000000010110,0.25%,0.07%,501320.0,1.01%,0,0,000000000000000000000000000000000000000000000000,0.75%,-2.10%,2381,3.99,300591.SZ,28.272823558897244,万里马,
MARKET.SZ,300592,13.08,12.74,13.2,12.54,12.74,15:33:10.158,0.0,8742700,78300,112789056.0,4192700,4550100,0,34.27,"{'bid': [{'price': 13.08, 'vol': 118}], 'ask': [{'price': 13.09, 'vol': 7}]}",0001010000010110,-0.22%,0.10%,1024184.0,0.00%,0,0,000000000000000000000000000000000000000000000000,1.12%,52.94%,2976,2.51,300592.SZ,45.559568127490046,华凯易佰,
