factor,date,quantile,ret
custom__simple_reversal_5d,2025-01-13,Q1,0.16366613648163153
custom__simple_reversal_5d,2025-01-13,Q2,0.15651873131421248
custom__simple_reversal_5d,2025-01-13,Q3,0.14053723866704443
custom__simple_reversal_5d,2025-01-13,Q4,0.11153511232233361
custom__simple_reversal_5d,2025-01-13,Q5,0.12891543166756786
custom__simple_reversal_5d,2025-01-14,Q1,0.11765339868771478
custom__simple_reversal_5d,2025-01-14,Q2,0.1054146832660913
custom__simple_reversal_5d,2025-01-14,Q3,0.09231138126610394
custom__simple_reversal_5d,2025-01-14,Q4,0.06548289532401733
custom__simple_reversal_5d,2025-01-14,Q5,0.0859676579877377
custom__simple_reversal_5d,2025-01-15,Q1,0.12131837263848112
custom__simple_reversal_5d,2025-01-15,Q2,0.12267162570705997
custom__simple_reversal_5d,2025-01-15,Q3,0.09702433293993061
custom__simple_reversal_5d,2025-01-15,Q4,0.07683217979238965
custom__simple_reversal_5d,2025-01-15,Q5,0.0998213690062337
custom__simple_reversal_5d,2025-01-16,Q1,0.09431849868809741
custom__simple_reversal_5d,2025-01-16,Q2,0.10874672428036822
custom__simple_reversal_5d,2025-01-16,Q3,0.10059621519001044
custom__simple_reversal_5d,2025-01-16,Q4,0.07987142624619978
custom__simple_reversal_5d,2025-01-16,Q5,0.11400973336733491
custom__simple_reversal_5d,2025-01-17,Q1,0.1127518132756864
custom__simple_reversal_5d,2025-01-17,Q2,0.1138448096888456
custom__simple_reversal_5d,2025-01-17,Q3,0.10351332985802053
custom__simple_reversal_5d,2025-01-17,Q4,0.08918100815335683
custom__simple_reversal_5d,2025-01-17,Q5,0.10125806389376976
custom__simple_reversal_5d,2025-01-20,Q1,0.10277779914709785
custom__simple_reversal_5d,2025-01-20,Q2,0.11041209005908506
custom__simple_reversal_5d,2025-01-20,Q3,0.11125392330387286
custom__simple_reversal_5d,2025-01-20,Q4,0.08209779657924743
custom__simple_reversal_5d,2025-01-20,Q5,0.07946684565796275
custom__simple_reversal_5d,2025-01-21,Q1,0.09563838547504086
custom__simple_reversal_5d,2025-01-21,Q2,0.08210812577426858
custom__simple_reversal_5d,2025-01-21,Q3,0.08640633257723886
custom__simple_reversal_5d,2025-01-21,Q4,0.10746080425139876
custom__simple_reversal_5d,2025-01-21,Q5,0.126703977820016
custom__simple_reversal_5d,2025-01-22,Q1,0.1067881440075712
custom__simple_reversal_5d,2025-01-22,Q2,0.10822512624918187
custom__simple_reversal_5d,2025-01-22,Q3,0.1015082378201699
custom__simple_reversal_5d,2025-01-22,Q4,0.11021232816001207
custom__simple_reversal_5d,2025-01-22,Q5,0.16145283131988317
custom__simple_reversal_5d,2025-01-23,Q1,0.13958445443289885
custom__simple_reversal_5d,2025-01-23,Q2,0.11617090749822458
custom__simple_reversal_5d,2025-01-23,Q3,0.09853566427204259
custom__simple_reversal_5d,2025-01-23,Q4,0.12116021148543606
custom__simple_reversal_5d,2025-01-23,Q5,0.15761990909224766
custom__simple_reversal_5d,2025-01-24,Q1,0.16884690227163204
custom__simple_reversal_5d,2025-01-24,Q2,0.11137960325703118
custom__simple_reversal_5d,2025-01-24,Q3,0.08721376423406747
custom__simple_reversal_5d,2025-01-24,Q4,0.10541295608690829
