,IC,RankIC,RR
20250324,-0.08540069035339613,-0.05127869758794583,-0.015901694173726864
20250325,,,
20250326,,,
20250327,,,
20250328,,,
20250331,-0.10032415323634365,-0.15909966773191764,-0.013733993242934978
20250401,,,
20250402,,,
20250403,,,
20250407,0.012339526610689523,-0.011913666669238246,0.00011805607109109661
20250408,,,
20250409,,,
20250410,,,
20250411,,,
20250414,-0.02027244264593852,-0.03094173146788548,0.00022638401022829872
20250415,,,
20250416,,,
20250417,,,
20250418,,,
20250421,0.04169207076201823,0.050402970072972286,0.010628739836086781
20250422,,,
20250423,,,
20250424,,,
20250425,,,
20250428,-0.0034925562745918392,0.009459849998259197,0.002562784428547061
20250429,,,
20250430,,,
20250506,0.12762295596702408,0.12804440022032845,0.013652872911569766
20250507,,,
20250508,,,
20250509,,,
20250512,-0.04527855187605663,-0.1734661065192056,-0.009199398141365764
20250513,,,
20250514,,,
20250515,,,
20250516,,,
20250519,0.025578697449409216,0.029672369435274747,0.0023367014245855716
20250520,,,
20250521,,,
20250522,,,
20250523,,,
20250526,-0.0849022349332656,-0.08420354426056491,-0.0059181890809758
20250527,,,
20250528,,,
20250529,,,
20250530,,,
20250603,0.03871598166986516,0.027149901350058857,0.00630471231805275
20250604,,,
20250605,,,
20250606,,,
20250609,-0.024337997923913657,-0.06177549390218628,-0.0011559449803172656
20250610,,,
20250611,,,
20250612,,,
20250613,,,
20250616,0.03723320561348675,0.024390347594596816,0.0062041105359581725
20250617,,,
20250618,,,
20250619,,,
20250620,,,
20250623,0.18799216216281173,0.2481634779034487,0.01900471100133993
20250624,,,
20250625,,,
20250626,,,
20250627,,,
20250630,-0.015197547426174705,-0.09221673383898002,-0.002762568436852528
20250701,,,
20250702,,,
20250703,,,
20250704,,,
20250707,-0.0066314690143943564,-0.03399872355047489,-0.0010925937026154998
20250708,,,
20250709,,,
20250710,,,
20250711,,,
20250714,0.055138627996873545,0.02380305883742388,0.004754578036418043
20250715,,,
20250716,,,
20250717,,,
20250718,,,
20250721,0.08033611800862585,0.0372818220213293,0.009500262482984002
20250722,,,
20250723,,,
20250724,,,
20250725,,,
20250728,0.038535465134329115,-0.016374203437825877,0.0053287816871269
20250729,,,
20250730,,,
20250731,,,
20250801,,,
20250804,0.14715322864825206,0.1812652433120076,0.02083156507667797
20250805,,,
20250806,,,
20250807,,,
20250808,,,
20250811,0.08471961646807859,0.1202165055139211,0.01133151058055793
20250812,,,
20250813,,,
20250814,,,
20250815,,,
20250818,0.08487263028359686,0.09750091223614728,0.014607641622721244
20250819,,,
20250820,,,
20250821,,,
20250822,,,
20250825,-0.0032456350134546547,-0.027426895139754104,0.00033804747520916473
20250826,,,
20250827,,,
20250828,,,
20250829,,,
20250901,0.07144992437022497,0.05385681140965884,0.011645272278688432
20250902,,,
20250903,,,
20250904,,,
20250905,,,
20250908,-0.0628186635801338,-0.07507812625947134,-0.008435811139058641
20250909,,,
20250910,,,
20250911,,,
20250912,,,
20250915,0.012675607791610392,-0.00042188430743022145,-0.0010291426672074007
20250916,,,
20250917,,,
20250918,,,
20250919,,,
20250922,-0.03208524285601352,-0.056460463210175574,-0.0001950894171701377
20250923,,,
20250924,,,
20250925,,,
20250926,,,
20250929,0.027605592464681628,0.03244108336064441,0.0023441631984480417
20250930,,,
20251009,0.02262433784073396,0.031396133737412804,0.00430486031794432
20251010,,,
20251013,-0.027660851575985315,-0.046495463838527956,-0.004514687757280634
20251014,,,
20251015,,,
20251016,,,
20251017,,,
