code,name,hist30,hl,vol_score,hl_score_original,hl_score,total
562970.SH,光伏ETF易方达,45.43,0.1911,97.85,54,17.3,84.66
159618.SZ,光伏ETF指数基金,44.36,0.1924,97.78,54,17.3,84.6
588190.SH,科创100ETF,32.19,0.2227,76.83,63,65.47,84.53
161030.SZ,体育LOF,35.69,0.2056,87.79,58,39.75,84.46
560680.SH,消费ETF广发,26.9,0.2407,68.93,68,83.55,84.4
508000.SH,华安张江产业园REIT,13.66,0.2263,74.35,64,70.5,84.33
562330.SH,中证500价值ETF银华,24.71,0.236,69.84,67,80.55,84.27
501018.SH,南方原油LOF,78.15,0.214,80.48,61,55.68,84.14
160723.SZ,嘉实原油LOF,70.76,0.2139,80.48,61,55.68,84.14
560660.SH,云计算50ETF新华,39.33,0.1962,92.04,56,28.59,84.07
516290.SH,光伏ETF汇添富,42.95,0.1922,96.87,54,17.3,84.01
515790.SH,光伏ETF,43.44,0.1921,96.8,54,17.3,83.94
159736.SZ,食品饮料ETF天弘,25.79,0.2464,65.93,70,88.77,83.88
501220.SH,行业轮动FOF,76.15,0.186,97.98,53,13.97,83.81
159863.SZ,光伏ETF鹏华,44.15,0.1857,97.91,53,13.97,83.75
588030.SH,科创100ETF博时,31.58,0.2218,75.72,63,65.47,83.68
162605.SZ,景顺鼎益LOF,17.25,0.2198,77.74,62,60.7,83.62
159876.SZ,有色ETF华宝,60.49,0.1964,91.45,56,28.59,83.55
512690.SH,酒ETF,35.33,0.2127,82.11,60,50.07,83.49
163302.SZ,大摩资源LOF,22.09,0.2236,75.46,63,65.47,83.42
160910.SZ,创新成长LOF,23.77,0.2324,69.91,66,78.39,83.36
588090.SH,科创50ETF华泰柏瑞,26.26,0.2127,81.92,60,50.07,83.29
516770.SH,游戏ETF华泰柏瑞,39.33,0.195,93.73,55,22.19,83.22
515980.SH,人工智能ETF,36.11,0.1977,90.93,56,28.59,83.16
588210.SH,科创100ETF易方达,32.34,0.2172,77.15,62,60.7,83.09
516970.SH,基建ETF广发,20.3,0.2414,67.3,68,83.55,83.03
516570.SH,化工行业ETF易方达,32.83,0.2202,77.02,62,60.7,82.96
516180.SH,光伏ETF基金,40.63,0.1891,95.56,54,17.3,82.9
510170.SH,大宗商品ETF,49.23,0.199,90.67,56,28.59,82.77
516010.SH,游戏ETF,39.15,0.1926,93.41,55,22.19,82.77
160638.SZ,带路LOF,44.53,0.2033,85.84,58,39.75,82.7
563010.SH,电信ETF易方达,33.82,0.1967,90.34,56,28.59,82.64
560580.SH,电力ETF南方,15.26,0.2471,64.49,70,88.77,82.57
588120.SH,科创100ETF国泰,32.17,0.2172,76.5,62,60.7,82.51
159866.SZ,日经ETF工银,26.79,0.2206,74.41,63,65.47,82.44
516650.SH,有色金属ETF基金,61.02,0.1941,92.89,55,22.19,82.38
588180.SH,科创50ETF基金,26.13,0.2095,83.22,59,44.71,82.31
160620.SZ,资源LOF,63.53,0.1857,96.34,53,13.97,82.25
588020.SH,科创成长ETF易方达,28.46,0.2276,70.37,65,74.54,82.18
