跟踪指数代码,跟踪指数名称,基金规模(亿元)
000995.CSI,全指公用,7.49387513
399373.SZ,大盘价值,7.489896550000001
399394.SZ,国证医药,7.43465967
399610.SZ,TMT50,7.4320312600000005
000682.SH,科创信息,7.40838653
000009.SH,上证380,7.3965736500000006
399295.SZ,创价值,7.38895466
930608.CSI,中证基建,7.36323865
980081.CNI,价值100,7.35970322
931468.CSI,红利质量,7.32872633
h30318.CSI,科技传媒通信150,7.282705849999999
SPAHLVHP.SPI,标普港股通低波红利指数(港币),7.25832999
HSSC50.HI,恒生港股通50,7.16164826
000825.CSI,中证央企红利,7.08157558
399965.SZ,800地产,6.97529712
399803.SZ,工业4.0,6.85044892
931461.CSI,电子50,6.5379809
931187.CSI,科技100,6.49403968
h30182.CSI,计算机,6.42109321
000948.CSI,内地地产,6.37292154
HSMCHYI.HI,恒生中国内地企业高股息率,6.225303139999999
931159.CSI,创新100,6.2129955
000989.SH,全指可选,6.18207761
932069.CSI,港股通医疗主题,6.17447837
399701.SZ,深证F60,5.9416742199999995
399992.SZ,CSWD并购,5.93213488
000824.CSI,中证国企红利,5.85404216
950580.CSI,上证580,5.8279225199999996
399702.SZ,深证F120,5.61614812
399264.SZ,创业软件,5.47937429
931866.CSI,中证机床,5.46954387
000068.SH,上证资源,5.46193593
931848.CSI,800红利低波,5.45198405
h30178.CSI,医疗保健,5.37727182
931897.CSI,绿色电力,5.31951228
931412.CSI,证券公司30,5.28541431
707717L.MI,MSCI中国A股国际质量指数,5.2319547
931265.CSI,民企300,5.20505634
399850.SZ,深证50,5.1892031
932094.CSI,软件开发,5.10282531
399393.SZ,国证地产,5.0392201
399439.SZ,国证油气,4.97970809
000941.CSI,新能源,4.89356931
000811.CSI,细分有色,4.863792419999999
399970.SZ,中证移动互联,4.84025396
399806.SZ,环境治理,4.765017950000001
931142.CSI,东证竞争,4.72878547
000021.SH,180治理,4.701698220000001
HSSCID.HI,恒生港股通创新药,4.70138091
931235.CSI,中证电信,4.5783040800000006
399994.SZ,信息安全,4.5404248
000901.SH,小康指数,4.49833384
000814.SH,细分医药,4.4504905400000005
000044.SH,上证中盘,4.41354946
399365.SZ,国证粮食,4.35200677
h30015.CSI,中证800汽车,4.30727293
000036.SH,上证消费,4.29080067
931141.CSI,CS长三角,4.21311215
000171.CSI,新兴成指,3.95067979
931403.CSI,品牌工程,3.9465824400000002
000982.SH,500等权,3.94243561
h30597.CSI,新材料,3.88280964
932367.CSI,500现金流,3.86924257
932305.CSI,智选高股息,3.67164061
931166.CSI,医药健康100,3.5939065599999998
399991.SZ,一带一路,3.52524432
950333.CSI,智选创新价值,3.4876833499999997
000935.SH,800信息,3.4485580700000003
931463.CSI,300 ESG,3.39999115
931144.CSI,通信技术,3.37749178
h30263.CSI,腾讯济安,3.34402541
931230.CSI,汽车零部件,3.3417052199999997
000821.CSI,沪深300红利,3.31394234
399412.SZ,国证新能,3.17415393
399276.SZ,创科技,3.16767538
399372.SZ,大盘成长,3.08780771
h11052.CSI,智能电车,3.08483102
399012.SZ,创业300,3.0739379799999997
930910.CSI,农牧渔,3.05466171
h30198.CSI,油气产业,3.02022624
989016.CNI,红利价值,2.9881404700000003
931375.CSI,300质量低波,2.9685355700000002
000029.SH,180价值,2.9678160499999997
000914.SH,300金融,2.92866047
980015.CNI,疫苗生科,2.8910026
718711L.MI,MSCI中国A股人民币指数,2.84554131
399362.SZ,民企100,2.80830252
930720.CSI,CS互医疗,2.80345632
h30373.CSI,百发100,2.77698559
987022.CNI,港股通互联网,2.72648631
931487.CSI,SHS人工智能50,2.71846731
HSCAIT.HI,恒生A股龙头,2.7029951999999997
000928.SH,800能源,2.68817932
931992.CSI,疫苗生物,2.67440105
931479.CSI,证券保险,2.6591970000000003
399416.SZ,I300,2.64699981
931165.CSI,新兴科技100,2.64377855
932052.CSI,央企科技创新,2.6374483
399814.SZ,大农业,2.61228941
930620.CSI,CSSW丝路,2.61069652
000043.SH,超大盘,2.6053799900000003
930614.CSI,环保50,2.5805095899999997
932037.CSI,央企现代能源,2.51747533
000841.CSI,800医药(二级),2.5039335499999997
932087.CSI,集成电路,2.49364228
931248.CSI,油气资源,2.4853724600000002
HSSCAM.HI,恒生港股通汽车主题,2.4833141199999997
399291.SZ,创精选88,2.48044504
000066.SH,上证商品,2.46967632
950228.SH,智选科创价值50,2.45093941
950162.CSI,科创芯片设计,2.44162331
931524.CSI,SHS科技龙头,2.43218861
000808.CSI,医药生物,2.37320789
980027.CNI,新能源电池,2.36740194
HSCGSI.HI,恒生消费,2.3117484
931372.CSI,浙江国资,2.29691999
932315.CSI,中证红利质量,2.28005161
931823.CSI,国资央企50,2.27708584
714032.MI,MSCI香港价值增强指数,2.26153974
399389.SZ,国证通信,2.19208114
399326.SZ,成长40,2.1790704
h30537.CSI,淘金100,2.15104829
932217.CSI,制药指数,2.14289923
930708.CSI,中证有色,2.0893236699999997
399811.SZ,CSSW电子,2.08277138
