date,G1,G2,G3,G4,G5
2025-03-13,992108.5062669317,1002874.2341684154,1001035.7657633782,998579.6204592711,1034077.9099701232
2025-03-14,1006580.3661009783,1017114.0232512022,1014944.3451874695,1014414.0323035611,1051088.4627107044
2025-03-17,1011639.2819347612,1019417.4355500769,1020791.4848907321,1021354.5845995906,1059888.3592244496
2025-03-18,1017665.9310038257,1023677.7081889221,1024632.6994349293,1024816.0433926885,1065388.786209303
2025-03-19,1013253.9337417685,1021994.0752555772,1023325.2123891428,1023019.7230668857,1062891.6157949052
2025-03-20,1015138.6558560192,1025374.6783771354,1027987.2116139452,1024326.8380527842,1064130.8751485161
2025-03-21,991796.1739810648,1014774.4193444934,1017517.4874262024,1018948.1628850031,1057100.957103981
2025-03-24,968997.1017714957,1000304.0248766121,1005969.9200956742,1010775.4593767894,1045731.9387809316
2025-03-25,956876.1434973925,998615.6037159394,1009229.3012130968,1018900.8953569655,1050948.118625505
2025-03-26,966259.5181197417,1007872.898284111,1020487.9949221348,1027903.1015132618,1062119.730443034
2025-03-27,953888.2315414542,998257.0478611271,1014797.05013735,1024037.2743330366,1061086.6469853031
2025-03-28,938527.9673119996,982294.0232725133,998539.3032094364,1012241.1590893951,1046511.1447425359
2025-03-31,924896.6995749372,966366.8927557262,983772.9464074709,997486.5393097175,1031866.1727317771
2025-04-01,926937.8358574623,975807.4141749041,997500.0529398253,1015485.7903850505,1050231.0774994867
2025-04-02,928366.2328938956,976995.953219555,998863.3203837182,1014827.1446821089,1052309.5017640237
2025-04-03,923679.187370586,975503.8014361013,1002975.0978060738,1018643.8440439285,1054473.6372770672
2025-04-07,835237.948052885,883070.518946432,914397.411751311,928670.3717845497,959705.3727745755
2025-04-08,813858.5471937468,875352.7302968103,905979.1995436415,926237.8575837034,958672.5100528585
2025-04-09,835233.7220535149,895444.8237852281,922838.2139509098,942039.207042818,974999.7378277343
2025-04-10,857384.333986093,916093.4437047989,943887.131859062,963978.1634616421,1000649.7986391591
2025-04-11,864127.6013176206,919685.5667296675,946010.465422732,965138.9907342641,1000715.320477658
2025-04-14,887760.5855192879,940820.5855457134,962683.1608586564,984188.1933537514,1019592.6105353027
2025-04-15,884991.5299376957,939361.5545738705,964358.2391722677,987093.3450515342,1024762.5805504731
2025-04-16,869548.4621557003,927674.5465098409,952665.4447629537,978313.0879821519,1015875.0883296501
2025-04-17,872750.1781624617,935164.5808329092,960370.7954016305,987740.019881619,1030431.3972507488
2025-04-18,871545.7538700548,936570.7754623294,960332.7580986267,985604.9996600479,1028481.7406075808
2025-04-21,889534.6862786717,953847.1208606769,974086.0954433546,997547.4754542973,1040425.8165571708
2025-04-22,892068.9191183908,958316.5636234075,981167.1090515159,1006862.4596872486,1051046.8372184646
2025-04-23,895727.075293011,959360.4432602165,984579.691639426,1007623.1435567783,1051994.2578008068
2025-04-24,889696.8012852351,956531.8029483153,978732.9004307066,1007456.9952689934,1050450.54120471
2025-04-25,893034.4220058067,963446.8719577999,984025.595133085,1009807.4293646835,1055052.9224437135
2025-04-28,875792.6528724171,950507.6495287479,966684.8639175817,994638.2435344091,1039156.962550442
2025-04-29,873457.5276416378,954907.8014782426,974172.0265838603,1001200.9133727303,1050621.3815557142
2025-04-30,872111.4352854838,955034.7428519973,980258.8176169998,1003716.2650657198,1052892.7908968788
2025-05-06,898891.746196407,979430.9731190708,1004184.8205290878,1025868.9402874704,1075455.0609483179
2025-05-07,908791.8050031444,988044.0746478485,1011942.9255644759,1033094.9078819824,1084945.148557369
2025-05-08,913312.5167825314,996034.8470608523,1022045.9286860413,1042265.773456682,1094641.8612819796
2025-05-09,898146.1991209908,985974.7478569888,1014048.5774657824,1035911.2472990861,1092935.5793096465
2025-05-12,904951.0108358678,994831.9611692606,1023823.126683318,1043360.2180132264,1100768.7015073576
2025-05-13,907894.068741543,993877.225714556,1023278.3544493219,1045583.7870573614,1102418.4276851066
2025-05-14,920499.8298919939,998843.8906655114,1024786.3228567085,1048601.2185795684,1102688.442967046
2025-05-15,912065.9819233181,990575.1861700121,1017092.8343517738,1042964.4299602375,1100634.0207665896
2025-05-16,918572.4150876816,995422.2965743651,1021132.0115024599,1047365.0653355138,1106924.0958858177
2025-05-19,931518.010337638,1009660.4469812283,1035608.8026668808,1061127.3588611993,1120400.1486034207
2025-05-20,936240.1288010789,1018506.6679535342,1045930.4318892708,1070841.7209883127,1129318.6462143506
2025-05-21,930662.3578457801,1014440.4158602369,1043436.8806382121,1068889.4018607424,1128439.559157179
2025-05-22,915959.1167658418,1000374.4159338425,1031692.407665354,1057916.7544446173,1118013.437578316
2025-05-23,900494.9185014286,987298.5363681093,1020257.4541552364,1048527.0686234486,1107471.298694566
2025-05-26,911923.8076869246,995122.6584766601,1030839.4619501055,1055569.7909045538,1115909.572690744
2025-05-27,919717.88772674,1002694.6926956305,1036453.8328344985,1063114.7566616053,1125182.9784085972
2025-05-28,915204.3636543315,1001254.7418135611,1035018.0381470724,1063495.7859256242,1126797.8918792896
2025-05-29,929214.9096947368,1015461.8772305051,1048665.3493405508,1076122.5637153315,1140901.3992580946
2025-05-30,910761.581335855,1000973.9263978746,1037860.1381263408,1066642.9949059829,1130256.6209501538
2025-06-03,920354.2875492418,1006577.6962479422,1046350.8914349932,1075186.4651801866,1138936.5431497002
2025-06-04,931055.5910885591,1016716.9782175092,1057131.3468009878,1085082.290918752,1151406.1797123514
2025-06-05,929151.544743681,1017407.396924228,1057530.5649047322,1082819.3503124353,1146726.6313355162
2025-06-06,927227.2765919428,1015431.4715273664,1060666.623967772,1085930.6261528141,1152093.0375900643
2025-06-09,940126.0750452022,1026981.9919013125,1071812.2539129823,1094097.2265348753,1162110.1292393883
2025-06-10,938324.9152873432,1019984.526756317,1064697.239881731,1086497.2761835142,1156742.458883775
2025-06-11,940062.3394978411,1024231.121763277,1069800.0558249606,1093899.697637682,1163791.1817180822
2025-06-12,938043.7098652666,1024384.6547508459,1070923.0313248702,1092489.498033105,1161776.3568119253
2025-06-13,918347.5014861376,1006516.2509615783,1052228.0049371955,1074663.5707637917,1145311.8773841525
2025-06-16,925588.1666287791,1015423.5908054695,1055616.9973600488,1081264.061215601,1149905.3134563018
2025-06-17,925784.4854431174,1015920.7848711734,1057405.5776744122,1084240.2622841168,1150909.1513528496
2025-06-18,917851.7620830617,1006752.4922659347,1048134.4323460796,1075628.5221733248,1143366.9753868512
2025-06-19,889989.4600709614,988722.3462743434,1030778.3654950007,1061075.8681605186,1130013.674704729
2025-06-20,883652.3249490134,980265.8108785016,1025374.9673784908,1057402.1399622695,1129965.4747151842
2025-06-23,905348.2749381128,995690.7197450914,1038509.0353715861,1069327.2543702088,1142114.3509361309
2025-06-24,921241.2242776998,1012095.5457600462,1057251.8205843698,1090098.1269287071,1162773.7678778267
2025-06-25,926865.6726608041,1020905.9920874459,1065470.5938063897,1097975.9144156696,1168790.4615371674
2025-06-26,929181.2684304824,1019922.6325562033,1061994.1910166831,1094314.0800497162,1165611.427080146
2025-06-27,932045.693003308,1025486.5249693037,1068977.4388556557,1099105.5276899429,1171121.5188121498
2025-06-30,946042.9019009164,1035293.0767219726,1077514.0685490076,1106672.9245715812,1181717.5101756605
2025-07-01,948907.3278101141,1040715.8611683164,1084863.086408507,1110906.226198361,1186022.6296520645
2025-07-02,944918.1669700509,1040393.9978953474,1086401.2071850772,1114911.5813290104,1189762.3856521568
2025-07-03,947284.1324883427,1043859.3650619569,1090454.7504146066,1119655.5427079988,1197349.2804835527
2025-07-04,940666.817958097,1036357.4006744217,1083969.213232554,1113885.49403057,1190854.7228063056
2025-07-07,954647.5583128273,1044898.9505842696,1091093.5326137324,1125888.039433805,1201144.831156211
2025-07-08,964494.1016209277,1056566.221963313,1099659.8780627854,1133952.9245556665,1209418.6507034106
2025-07-09,963733.1034724945,1057565.917028326,1099298.906510511,1136037.5358255794,1211919.5705432876
2025-07-10,964443.9634055204,1066602.5383480533,1105561.718241181,1142455.2030767363,1221357.6861129256
2025-07-11,968502.6585267854,1070865.7774492304,1107749.3881166407,1143423.2288250667,1222480.556901622
2025-07-14,964652.8360734422,1074243.7658430608,1113905.1453292598,1151323.2418183372,1233297.0836021812
