factor,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,ic_win_rate
alpha101__alpha066,0.062201963315578326,0.10427159444202633,0.5965379511882484,0.05501959955759123,0.12351982749630872,0.4454313179739135,0.6418732782369146
alpha101__alpha051,0.060612711551449726,0.10241629124312905,0.59182685504164,0.053060252876003446,0.12110650925611868,0.4381288272770745,0.6336088154269972
alpha101__alpha086,0.05998673463239876,0.10374554355777613,0.5782102302928512,0.05336011850345096,0.1219970453182495,0.43738861350496033,0.6363636363636364
alpha101__alpha071,0.05856046044460404,0.10054570897416615,0.5824262521203203,0.05160802480886142,0.11874542780307311,0.4346106268145999,0.6225895316804407
alpha101__alpha091,0.055971294710997106,0.10006663318659993,0.5593402408835346,0.0493896668517548,0.11761006624191268,0.4199442142151758,0.6253443526170799
alpha101__alpha056,0.056944743308976864,0.10024811597374839,0.5680380399756219,0.04976384841430241,0.11876684242374985,0.4190045588376366,0.6225895316804407
alpha101__alpha004,-0.06660363105665365,0.13511069377073942,-0.49295602885193557,-0.06139326479956552,0.14988995580177905,-0.4095889178909001,0.29476584022038566
alpha101__alpha044,-0.04325268518188733,0.08142851185824457,-0.5311737153834285,-0.03454682505860513,0.0914666394885138,-0.3776986369215352,0.2892561983471074
alpha101__alpha098,0.030710541733362177,0.08880937133988757,0.34580294027561637,0.038583537835530694,0.10351964618087914,0.37271705670355515,0.5399449035812672
alpha101__alpha046,-0.05379317056792698,0.13714840101114717,-0.39222601336456536,-0.053280200327732445,0.15967469031019677,-0.33367968476548215,0.18732782369146006
alpha101__alpha037,-0.05310966767174886,0.16229943600424926,-0.32723260769900864,-0.052426030315525445,0.1617482285511883,-0.3241212023471047,0.1487603305785124
alpha101__alpha001,0.04366095970092855,0.11843266863889951,0.3686563868120759,0.04339233706428828,0.1381331231680025,0.3141341922133546,0.5206611570247934
alpha101__alpha083,0.027568707903851408,0.09627355822069118,0.2863580448606118,0.03350437814170463,0.108431540551965,0.3089910737332733,0.5426997245179064
alpha101__alpha078,0.024812586581006636,0.09285231663309947,0.2672263598877358,0.033053325512082406,0.10816475201146464,0.3055831488300274,0.49586776859504134
alpha101__alpha003,-0.036911914487491086,0.08130252947497206,-0.4540069629549957,-0.02859515749877206,0.09395372304986828,-0.3043536389036384,0.3002754820936639
alpha101__alpha088,0.025021916091206284,0.09444394560871391,0.2649393344373112,0.03207073002868525,0.10873487062081834,0.29494429749700735,0.5041322314049587
alpha101__alpha093,0.023861494565984687,0.0920249459277083,0.2592937635054899,0.031564814583871774,0.10738669580376493,0.2939359885097156,0.4986225895316804
alpha101__alpha068,0.02413985611882473,0.09756354184056265,0.24742701693091296,0.03074720891056912,0.11200528777427345,0.2745156904782442,0.4903581267217631
alpha101__alpha073,0.021489333545726543,0.09585006222301756,0.22419738753770016,0.029120751797842116,0.1112788928585241,0.261691602511405,0.4738292011019284
alpha101__alpha038,-0.06943852251211147,0.1537970671745753,-0.4514944516678701,-0.04725519228487948,0.18076833319311128,-0.2614129999992736,0.3002754820936639
alpha101__alpha039,-0.0771501747213759,0.17080713220243982,-0.45168005414397966,-0.0491545828004325,0.19954424503053617,-0.24633425430490563,0.09641873278236915
alpha101__alpha058,0.019102184395920693,0.09668908037702095,0.19756299596019844,0.026836259004011345,0.11210373844641144,0.23938772583253132,0.46005509641873277
