关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接,stock_code
000001,中国平安前三季度净赚1328.56亿元，同比增11.5%,此前，平安银行（000001.SZ）披露的2025年三季报显示，今年前三季度，平安银行实现营业收入1006.68亿元，同比下降,2025-10-28 22:19:08,澎湃新闻,http://finance.eastmoney.com/a/202510283547319140.html,000001
000001,上市银行三季报密集披露：公允价值变动收益下降 资产质量持续改善,（SH601963，股价10.67元，市值370.74亿元）、平安银行（SZ000001，,2025-10-28 21:59:54,每日经济新闻,http://finance.eastmoney.com/a/202510283547291461.html,000001
000001,平安银行2025年三季报：深化转型 业绩稳健 推进高质量发展,平安银行（000001.SZ）10月24日向深圳证券交易所提交了2025年三季度业绩报告。,2025-10-27 14:13:02,理财周刊,http://finance.eastmoney.com/a/202510273545215938.html,000001
000001,平安银行三季报“出炉”：零售风险正出清 对公支撑规模增长,10月24日，平安银行（000001.SZ）公布2025年三季报。,2025-10-25 09:15:19,21世纪经济报道,http://finance.eastmoney.com/a/202510253544240723.html,000001
000001,平安银行前三季度净利润383.39亿元，同比下降3.5%,10月24日，平安银行（000001.SZ）发布的2025年三季报显示，今年前三季度，平安银行实现营业收入1006.68,2025-10-24 20:49:30,澎湃新闻,http://finance.eastmoney.com/a/202510243543871156.html,000001
000001,平安银行：第三季度净利润同比下降2.8% 1~9月本集团计息负债平均付息率1.73%,每经AI快讯，10月24日，平安银行000001.SZ)公告称，第三季度营收为312.83亿元，同比下降9.2%；净利润为,2025-10-24 19:42:21,每日经济新闻,http://finance.eastmoney.com/a/202510243543830150.html,000001
000001,000620 收购存储芯片资产 一周暴涨超60%！,平安银行（000001）：第三季度营收为312.83亿元，同比下降9.2%；净利润为134.69亿元，同比下降2.8%。,2025-10-24 22:19:00,数据宝,http://finance.eastmoney.com/a/202510243543913480.html,000001
000001,Q3净利同比增超1400%！760亿固态电池概念股发布三季报|盘后公告集锦,【平安银行：第三季度净利润同比下降2.8% 1-9月本集团计息负债平均付息率1.73%】平安银行000001.SZ),2025-10-24 21:12:43,财联社,http://finance.eastmoney.com/a/202510243543872447.html,000001
000001,中行、工行、平安银行等提高积存金投资门槛 起购金额破千元,国银行（601988.SH）、工商银行（601398.SH）、平安银行（000001.SZ）和宁波银行（002142,2025-10-23 13:51:45,红星资本局,http://finance.eastmoney.com/a/202510233542237555.html,000001
000001,银行ETF指数(512730)涨近1%，大型银行盈利同比或将恢复正增长,328)、江苏银行(600919)、浦发银行(600000)、平安银行000001、,2025-10-22 10:13:04,界面新闻,http://finance.eastmoney.com/a/202510223540959794.html,000001
000001,红利防御板块回归，银行ETF指数(512730)红盘向上，农业银行斩获12连阳,328)、江苏银行(600919)、浦发银行(600000)、平安银行000001、,2025-10-20 13:45:37,界面新闻,http://finance.eastmoney.com/a/202510203538646817.html,000001
000001,银行ETF指数(512730)涨超2.1%，防御风格强势回归,328)、江苏银行(600919)、浦发银行(600000)、平安银行000001、,2025-10-14 14:43:33,界面新闻,http://finance.eastmoney.com/a/202510143533561118.html,000001
000001,银行ETF指数(512730)收涨近1%，避险情绪升温银行防御价值凸显,328)、江苏银行(600919)、浦发银行(600000)、平安银行000001、,2025-10-13 15:17:14,界面新闻,http://finance.eastmoney.com/a/202510133532322453.html,000001
000001,银行ETF指数(512730)逆市上涨，板块迎来资产质量改善机遇,328)、江苏银行(600919)、浦发银行(600000)、平安银行000001、,2025-10-13 11:40:08,界面新闻,http://finance.eastmoney.com/a/202510133532328525.html,000001
000001,助贷新规正式实施 部分银行合作名单“难产”,商银行（600036.SH）、兴业银行（601166.SH）、平安银行（000001.SZ）、华夏银行（600015,2025-10-11 02:59:04,中国经营网,http://finance.eastmoney.com/a/202510113531043981.html,000001
000001,发行规模突破4300亿元 绿色金融债爆发式增长,近期瑞丰银行（601528.SH）、平安银行（000001.SZ）等多家银行密集发行绿色金融债。,2025-10-11 02:59:00,中国经营网,http://finance.eastmoney.com/a/202510113531044063.html,000001
000001,百亿“不良”开拍 AMC青睐信用卡资产,此前，光大银行（601818.SH）、平安银行（000001.SZ）、浦发银行、江苏银行（600919.SH）、宁波银行（,2025-10-11 02:25:04,中国经营网,http://finance.eastmoney.com/a/202510113531043398.html,000001
000001,银行ETF指数(512730)红盘向上，板块长期改革红利逐步释放,328)、江苏银行(600919)、浦发银行(600000)、平安银行000001、,2025-10-10 10:30:22,界面新闻,http://finance.eastmoney.com/a/202510103530506754.html,000001
000001,平安银行：副行长方蔚豪任职资格核准,人民财讯6月26日电，平安银行0000016月26日晚间公告，近日，公司收到《国家金融监督管理总局关于方蔚豪平安银行副行长任职资格的批复,2025-06-26 18:29:03,人民财讯,http://finance.eastmoney.com/a/202506263441359678.html,000001
