关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接,news_type
finance,出海新变量：跨境支付从“快”到“安全”与“透明”,空中云汇数据与人工智能副总裁Timothy Wong在演讲中介绍，在会上，空中云汇宣布即将推出智能体金融（Agentic Finance,2025-10-24 21:05:58,21世纪经济报道,http://finance.eastmoney.com/a/202510243543993417.html,finance
finance,融资照亮“月之暗面”,10月24日，Z Finance消息称，国内大模型创业公司月之暗面（Moonshot AI）传出即将完成新一轮数亿美元融资,2025-10-24 20:45:32,财中社,http://finance.eastmoney.com/a/202510243543871595.html,finance
finance,五粮液：演绎700余年“活”窖之美 书写文化传承“和美”新篇,五粮液连续多年入选Brand Finance《全球品牌价值500强》，以及世界品牌实验室《亚洲品牌500强》《世界品牌500,2025-10-23 23:37:27,新华财经,http://finance.eastmoney.com/a/202510233542685925.html,finance
finance,Airwallex空中云汇发布三大AI策略与全球计费管理产品,记者了解到，基于内部实践积累，空中云汇宣布即将推出智能体金融（Agentic Finance）新业务，辅助人类实际开展工作,2025-10-23 22:09:24,上海证券报·中国证券网,http://finance.eastmoney.com/a/202510233542652782.html,finance
finance,未来金融峰会在沪召开 当前正进入智能体金融时代,在峰会上，空中云汇宣布即将推出智能体金融（Agentic Finance）新业务，辅助人类实际开展工作。,2025-10-23 18:49:50,证券时报网,http://finance.eastmoney.com/a/202510233542592969.html,finance
finance,押注AI，Airwallex空中云汇发布三大AI策略与全球计费管理产品,基于内部实践积累，空中云汇宣布即将推出智能体金融（Agentic Finance）新业务，辅助人类实际开展工作，具有智能化,2025-10-23 19:17:31,国际金融报,http://finance.eastmoney.com/a/202510233542723219.html,finance
finance,美国国防部5亿美元大单，一路推迟后突然取消！稀土、锂概念股暴跌,据知情人士透露，美国国际开发金融公司（US International Development Finance Corp．,2025-10-19 08:50:19,每日经济新闻,http://finance.eastmoney.com/a/202510193537961363.html,finance
finance,股东频繁套现，“不差钱”的东鹏饮料急于港股IPO，是融资还是“圈钱”？,在Brand Finance发布的《2025全球软饮料品牌价值50强》报告中，东鹏饮料以30.8亿美元的品牌价值首次跻身全球软饮料品牌前十,2025-10-15 18:05:06,理财周刊-财事汇,http://finance.eastmoney.com/a/202510153534978463.html,finance
finance,142.1亿元，中国风电巨头落“子”英国,Investment Bank）、英国王室地产署（The Crown Estate）及英国出口信贷署（UK Export Finance,2025-10-13 08:41:30,上海证券报,http://finance.eastmoney.com/a/202510133531613141.html,finance
finance,明阳智能：拟投资约142.10亿元建设英国首个全产业链一体化风电机组制造基地,Investment Bank）、英国王室地产署（The Crown Estate）及英国出口信贷署（UK Export Finance,2025-10-13 09:38:59,中国证券报·中证网,http://finance.eastmoney.com/a/202510133531961190.html,finance
finance,美国国防部突爆大消息！正寻求采购价值高达10亿美元的关键矿产,据知情人士透露，美国国际开发金融公司（US International Development Finance Corp．,2025-10-13 08:48:26,证券时报网,http://finance.eastmoney.com/a/202510133532159940.html,finance
finance,380亿风电龙头，拟142亿元英国建厂,Investment Bank）、英国王室地产署（The Crown Estate）及英国出口信贷署（UK Export Finance,2025-10-13 07:45:37,中国证券报,http://finance.eastmoney.com/a/202510133531598626.html,finance
finance,明阳智能拟在苏格兰投建风电机组制造基地，预计投资总额15亿英镑,Investment Bank）、英国王室地产署（The Crown Estate）及英国出口信贷署（UK Export Finance,2025-10-12 18:27:00,证券时报网,http://finance.eastmoney.com/a/202510123531518223.html,finance
finance,AI赋能资管：道阻且长，行则将至| 资管报告节选,：对零售客户提供金融产品数字投顾》（Regulatory Guide 255: Providing Digital Finance,2025-10-10 09:59:59,财联社,http://finance.eastmoney.com/a/202510103530491545.html,finance
finance,储能爆单掀海外“淘金”热：企业抛出百万年薪抢人，猎头直言招人难,日本）”两个海外岗位，前者对应年薪为48万-72万，后者对应年薪为36万-48万；林洋能源发布了2个海外岗位，分别是“Finance,2025-10-06 17:16:48,时代财经,http://finance.eastmoney.com/a/202510063528493729.html,finance
finance,三菱日联金融集团正商谈收购Shriram Finance 20%股份,三菱日联金融集团正商谈以26亿美元收购印度影子银行Shriram Finance 20%的股份。,2025-10-01 08:31:15,财联社,http://finance.eastmoney.com/a/202510013527975765.html,finance
finance,三一集团与印尼金融机构签署14.5亿元战略合作协议,三一集团在广州办事处与来访的印尼PT Chandra Sakti Utama Leasing、PT Maybank Indonesia Finance,2025-09-30 17:34:02,人民财讯,http://finance.eastmoney.com/a/202509303527539479.html,finance
