date,code
20260112,002609.SZ
20260112,002392.SZ
20260112,000676.SZ
20260112,000818.SZ
20260112,002798.SZ
20260112,000561.SZ
20260112,002292.SZ
20260112,002443.SZ
20260112,002722.SZ
20260113,601222.SH
20260113,600101.SH
20260113,600081.SH
20260113,603682.SH
20260113,601116.SH
20260113,600662.SH
20260113,600505.SH
20260113,603210.SH
20260113,600877.SH
20260113,600834.SH
20260113,600084.SH
20260113,600633.SH
20260113,603488.SH
20260113,600800.SH
20260113,603213.SH
20260113,002609.SZ
20260113,002135.SZ
20260113,002206.SZ
20260113,002644.SZ
20260113,000516.SZ
20260113,002707.SZ
20260113,002907.SZ
20260113,002490.SZ
20260113,000710.SZ
20260113,002298.SZ
20260113,000931.SZ
20260114,605136.SH
20260114,600609.SH
20260114,600785.SH
20260114,600133.SH
20260114,600825.SH
20260114,600790.SH
20260114,603861.SH
20260114,600769.SH
20260114,603856.SH
20260114,603918.SH
20260114,603811.SH
20260114,600861.SH
20260114,603309.SH
20260114,600589.SH
20260114,603070.SH
20260114,603687.SH
20260114,002609.SZ
20260114,002094.SZ
20260114,000524.SZ
20260114,002637.SZ
20260114,000099.SZ
20260114,002095.SZ
20260114,002004.SZ
20260114,002054.SZ
20260114,002372.SZ
20260114,002194.SZ
20260115,600255.SH
20260115,600420.SH
20260115,603949.SH
20260115,603639.SH
20260115,603801.SH
20260115,600785.SH
20260115,600302.SH
20260115,601366.SH
20260115,600662.SH
20260115,600790.SH
20260115,603071.SH
20260115,600725.SH
20260115,600916.SH
20260115,600054.SH
20260115,605008.SH
20260115,600251.SH
20260115,603135.SH
20260115,603002.SH
20260115,002121.SZ
20260115,002258.SZ
20260115,002153.SZ
20260115,000401.SZ
20260115,002707.SZ
20260115,000751.SZ
20260115,001376.SZ
20260115,002554.SZ
20260116,603006.SH
20260116,600433.SH
20260116,600720.SH
20260116,601163.SH
20260116,600785.SH
20260116,600528.SH
20260116,601096.SH
20260116,600623.SH
20260116,603058.SH
20260116,603861.SH
20260116,600744.SH
20260116,603135.SH
20260116,601616.SH
20260116,600053.SH
20260116,600841.SH
20260116,603070.SH
20260116,002617.SZ
20260116,002357.SZ
20260116,002953.SZ
20260116,002923.SZ
20260116,000601.SZ
20260116,000573.SZ
20260116,002079.SZ
20260116,002358.SZ
20260116,002339.SZ
20260116,002917.SZ
20260119,600305.SH
20260119,600982.SH
20260119,600158.SH
20260119,600382.SH
20260119,600268.SH
20260119,600379.SH
20260119,600195.SH
20260119,603357.SH
20260119,605368.SH
20260119,600963.SH
20260119,603126.SH
20260119,600073.SH
20260119,603808.SH
20260119,600780.SH
20260119,000791.SZ
20260119,002617.SZ
20260119,002616.SZ
20260119,002688.SZ
20260119,000685.SZ
20260119,000998.SZ
20260119,000096.SZ
20260119,002358.SZ
20260119,002606.SZ
20260119,000404.SZ
20260119,000506.SZ
20260119,000600.SZ
20260120,605366.SH
20260120,600528.SH
20260120,600649.SH
20260120,600639.SH
20260120,600248.SH
20260120,600425.SH
20260120,600916.SH
20260120,600539.SH
20260120,605368.SH
20260120,601200.SH
20260120,600986.SH
20260120,600500.SH
20260120,600717.SH
20260120,603070.SH
20260120,000726.SZ
20260120,000670.SZ
20260120,002637.SZ
20260120,000553.SZ
20260120,000089.SZ
20260120,002165.SZ
20260120,001914.SZ
20260120,002034.SZ
20260120,002572.SZ
20260120,000096.SZ
20260120,000498.SZ
20260120,000506.SZ
20260121,600246.SH
20260121,600791.SH
20260121,603313.SH
20260121,603566.SH
20260121,600158.SH
20260121,600173.SH
20260121,600822.SH
20260121,600490.SH
20260121,603980.SH
20260121,600770.SH
20260121,603608.SH
20260121,000670.SZ
20260121,002077.SZ
20260121,000045.SZ
20260121,002440.SZ
20260121,002662.SZ
20260121,002279.SZ
20260121,002079.SZ
20260121,002165.SZ
20260121,000006.SZ
20260121,000930.SZ
20260121,002408.SZ
20260121,002798.SZ
20260121,002437.SZ
20260121,002745.SZ
20260121,002582.SZ
20260122,603033.SH
20260122,600603.SH
20260122,600523.SH
20260122,603328.SH
20260122,600084.SH
20260122,601609.SH
20260122,600787.SH
20260122,605368.SH
20260122,600963.SH
20260122,600770.SH
20260122,600717.SH
20260122,603599.SH
20260122,600929.SH
20260122,002467.SZ
20260122,002283.SZ
20260122,000789.SZ
20260122,002183.SZ
20260122,000670.SZ
20260122,000758.SZ
20260122,002043.SZ
20260122,003012.SZ
20260122,002267.SZ
20260122,002075.SZ
20260122,000731.SZ
20260122,000722.SZ
20260122,002815.SZ
20260123,600876.SH
20260123,600586.SH
20260123,600531.SH
20260123,603883.SH
20260123,600185.SH
20260123,600959.SH
20260123,603639.SH
20260123,603212.SH
20260123,600293.SH
20260123,600916.SH
20260123,600335.SH
20260123,600986.SH
20260123,600552.SH
20260123,600216.SH
20260123,000726.SZ
20260123,000565.SZ
20260123,002345.SZ
20260123,002783.SZ
20260123,000990.SZ
20260123,002860.SZ
20260123,000059.SZ
20260123,000607.SZ
20260123,002079.SZ
20260123,000561.SZ
20260123,002818.SZ
20260123,000012.SZ
20260126,600420.SH
20260126,603566.SH
20260126,600789.SH
20260126,600173.SH
20260126,600062.SH
20260126,600490.SH
20260126,600267.SH
20260126,600056.SH
20260126,600812.SH
20260126,600736.SH
20260126,603387.SH
20260126,600987.SH
20260126,603637.SH
20260126,600821.SH
20260126,601226.SH
20260126,603505.SH
20260126,600589.SH
20260126,002030.SZ
20260126,000758.SZ
20260126,002688.SZ
20260126,000655.SZ
20260126,002728.SZ
20260126,002165.SZ
20260126,002867.SZ
20260126,002385.SZ
20260126,002567.SZ
20260127,603916.SH
20260127,600531.SH
20260127,603229.SH
20260127,603018.SH
20260127,600172.SH
20260127,603511.SH
20260127,603997.SH
20260127,600770.SH
20260127,603279.SH
20260127,601218.SH
20260127,003015.SZ
20260127,002030.SZ
20260127,002537.SZ
20260127,002637.SZ
20260127,002291.SZ
20260127,002577.SZ
20260127,002106.SZ
20260127,002539.SZ
20260127,002054.SZ
20260127,000507.SZ
20260127,002079.SZ
20260127,002137.SZ
20260127,002040.SZ
20260127,000659.SZ
20260127,000652.SZ
20260127,002480.SZ
20260128,600395.SH
20260128,600740.SH
20260128,600508.SH
20260128,601388.SH
20260128,601101.SH
20260128,600925.SH
20260128,601952.SH
20260128,600354.SH
20260128,605337.SH
20260128,600987.SH
20260128,600655.SH
20260128,603680.SH
20260128,600916.SH
20260128,600888.SH
20260128,002160.SZ
20260128,002140.SZ
20260128,000758.SZ
20260128,002440.SZ
20260128,000599.SZ
20260128,000751.SZ
20260128,000573.SZ
20260128,000655.SZ
20260128,002041.SZ
20260128,002672.SZ
20260128,000600.SZ
20260128,000937.SZ
20260129,600273.SH
20260129,600305.SH
20260129,600817.SH
20260129,603519.SH
20260129,603848.SH
20260129,600084.SH
20260129,600771.SH
20260129,600059.SH
20260129,600621.SH
20260129,600821.SH
20260129,600054.SH
20260129,603043.SH
20260129,600199.SH
20260129,603317.SH
20260129,600684.SH
20260129,600722.SH
20260129,603599.SH
20260129,601599.SH
20260129,603279.SH
20260129,600216.SH
20260129,002646.SZ
20260129,002507.SZ
20260129,000860.SZ
20260129,000096.SZ
20260129,002948.SZ
20260129,000813.SZ
20260130,603033.SH
20260130,603639.SH
20260130,603558.SH
20260130,600395.SH
20260130,600354.SH
20260130,600710.SH
20260130,603848.SH
20260130,600084.SH
20260130,605337.SH
20260130,600054.SH
20260130,603887.SH
20260130,603086.SH
20260130,600867.SH
20260130,000713.SZ
20260130,002357.SZ
20260130,002562.SZ
20260130,000557.SZ
20260130,000966.SZ
20260130,002337.SZ
20260130,002224.SZ
20260130,002749.SZ
20260130,002930.SZ
20260130,002041.SZ
20260130,002137.SZ
20260130,002165.SZ
20260130,000998.SZ
20260202,600232.SH
20260202,605066.SH
20260202,600785.SH
20260202,600172.SH
20260202,603697.SH
20260202,603861.SH
20260202,600084.SH
20260202,600054.SH
20260202,603126.SH
20260202,600199.SH
20260202,603291.SH
20260202,002099.SZ
20260202,000767.SZ
20260202,002644.SZ
20260202,000599.SZ
20260202,000712.SZ
20260202,002923.SZ
20260202,002575.SZ
20260202,002678.SZ
20260202,002355.SZ
20260202,002533.SZ
20260202,002358.SZ
20260202,002606.SZ
20260202,002339.SZ
20260202,000533.SZ
20260202,002480.SZ
20260203,600720.SH
20260203,603639.SH
20260203,600683.SH
20260203,600710.SH
20260203,603848.SH
