factor,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,ic_win_rate,expr_key,expression,complexity,depth,non_null_ratio,operation,parents,mutation_op,first_generation,generation,fitness,monotonicity_score,top_bottom_spread
ga_g016_0015,-0.1337244166416732,0.04246040723033688,-3.1493908175739422,-0.16365943537606917,0.07161293587805438,-2.2853334159453476,0.0,ts_min[60](ts_min[30](open)),ts_min[60](ts_min[30](open)),3,3,0.7334783239089461,crossover+mutate,ts_min[30](open)|ts_min[30](open),ts_min,15,16,1.0875034587886145,0.5,-0.054444260325796925
ga_g008_0015,-0.11969524000734982,0.04281146630708552,-2.7958687317266597,-0.151744099392976,0.06623776413686261,-2.290900083514858,0.0,"ts_min[30](safe_div(low,safe_div(open,low)))","ts_min[30](safe_div(low,safe_div(open,low)))",6,4,0.9095303420662272,crossover,"ts_min[30](abs(scale(high)))|safe_div(low,safe_div(open,low))",,8,8,1.0796543831111216,0.5,-0.04686635160439828
ga_g004_0049,-0.11382836876287561,0.041878123001292025,-2.7180866907373993,-0.14324018279982795,0.06277078311907987,-2.281956280967419,0.0,ts_min[30](high),ts_min[30](high),2,2,0.9095303420662272,random_inject,,,4,4,1.0695359554772899,0.5,-0.04462071834995354
ga_g007_0037,-0.10997406796840976,0.04090314804871029,-2.6886455741119253,-0.1374790840495817,0.05977336467601902,-2.300005776732493,0.0045045045045045045,ts_min[30](abs(scale(high))),ts_min[30](abs(scale(high))),4,4,0.9095303420662272,mutate,ts_min[3](abs(scale(high))),ts_min,7,7,1.0689929528636841,0.5,-0.04393379945211663
ga_g008_0031,-0.11799250193822312,0.042904715971901736,-2.750105653082433,-0.14908156193883254,0.06569420948430092,-2.2693257611153514,0.0,"ts_min[30](safe_div(open,safe_div(open,low)))","ts_min[30](safe_div(open,safe_div(open,low)))",6,4,0.9095303420662272,crossover,"ts_min[30](abs(scale(high)))|safe_div(open,safe_div(open,low))",,8,8,1.0684301541141512,0.5,-0.04665560523312168
ga_g016_0036,-0.11721275035538656,0.04277830511881881,-2.7400045427190833,-0.14729757604792695,0.06462779357427742,-2.2791676444691906,0.0,ts_min[3](ts_min[30](vwap)),ts_min[3](ts_min[30](vwap)),3,3,0.9034942728722632,crossover+mutate,ts_min[3](amount)|ts_min[30](open),ts_min,15,16,1.0681963012350786,0.5,-0.046075159702060775
ga_g005_0035,0.08614322167327551,0.043023205938015216,2.0022501762742775,0.11877056354498515,0.0639118995935708,1.8583481996353124,0.972972972972973,"ts_min[3](sub(sub(returns,open),low))","ts_min[3](sub(sub(returns,open),low))",6,4,0.9886104326295715,crossover,"ts_min[3](sub(returns,low))|sub(returns,open)",,5,5,1.0637179441977145,0.5,0.03363809646481003
ga_g003_0025,0.08575427039822428,0.04335425187905225,1.9779898552385982,0.11871163394356882,0.06488545901449556,1.8295568182240702,0.9774774774774775,"sub(returns,vwap)","sub(returns,vwap)",3,2,0.9947937230233881,crossover,"sub(returns,open)|vwap",,3,3,1.0621079109948912,0.5,0.033611638823202894
ga_g000_0037,-0.10914813734825048,0.041122117558104535,-2.6542440863855528,-0.13916267742658353,0.062360614761976345,-2.2315796269448636,0.0,ts_min[20](open),ts_min[20](open),2,2,0.9397753761390123,random_init,,,0,0,1.0586299381569162,0.5,-0.04179265955073401
ga_g006_0007,-0.1206272003840029,0.044165176924884086,-2.731274021366767,-0.13919710418000944,0.06234650385571553,-2.232636885335933,0.0045045045045045045,rank(abs(ts_min[20](open))),rank(abs(ts_min[20](open))),4,4,0.9397753761390123,crossover,rank(abs(scale(open)))|ts_min[20](open),,4,6,1.04744966497734,0.5,-0.04179265955073401
ga_g002_0003,0.14805559767205762,0.07316174506995408,2.023675043979518,0.15111908586663125,0.09980707994317685,1.5141118841736263,0.990990990990991,volume,volume,1,1,0.9979032132142179,random_init,,,0,2,1.0427031839889789,1.0,0.05272341290185362
ga_g001_0030,-0.09576954945443578,0.04067998698407456,-2.354217799822004,-0.12611791351457824,0.0599164164349242,-2.104897472490801,0.0045045045045045045,delay[5](delay[3](vwap)),delay[5](delay[3](vwap)),3,3,0.9759137194543892,crossover+mutate,ts_std[10](rank(returns))|ts_rank[3](log_abs(low)),delay,1,1,1.0424649464863855,1.0,-0.0372242161684891
ga_g007_0032,0.17095849196586685,0.09405928380967486,1.8175610640603475,0.19890793240683474,0.1343753836219175,1.4802408524948878,0.8333333333333334,delay[5](ts_std[20](returns)),delay[5](ts_std[20](returns)),3,3,0.9231371499314084,crossover,delay[5](delay[3](vwap))|ts_std[20](returns),,5,7,1.040182904272413,1.0,0.06058480204421235
ga_g003_0039,0.13626289190991617,0.07645929918127994,1.7821624494209116,0.1478297046773943,0.0980349854267144,1.507928052765446,0.918918918918919,ts_max[10](volume),ts_max[10](volume),2,2,0.9702033213994936,random_inject,,,3,3,1.0176542911849413,1.0,0.050169496013448264
ga_g000_0004,0.13093498942290674,0.06799130282260857,1.9257608545098808,0.12360802731883971,0.07997682847919141,1.5455480002060895,0.9234234234234234,ts_std[10](rank(returns)),ts_std[10](rank(returns)),3,3,0.9671495968146686,random_init,,,0,0,1.0110166994516199,1.0,0.04408663586121478
ga_g002_0025,-0.09186755973777068,0.04271726064788487,-2.15059576256605,-0.1236111699707432,0.06353527943112364,-1.945551685260875,0.0045045045045045045,ts_min[3](abs(scale(open))),ts_min[3](abs(scale(open))),4,4,0.9916998472022396,crossover,ts_min[3](vwap)|abs(scale(open)),,2,2,0.9697909508036773,1.0,-0.03565199518688775
ga_g000_0048,-0.09064448065231119,0.04310696505974409,-2.1027803865728543,-0.12305313049882356,0.06466333543941745,-1.9029814911745626,0.0045045045045045045,ts_min[3](vwap),ts_min[3](vwap),2,2,0.9916998472022396,random_init,,,0,0,0.9112088130914464,0.5,-0.035411421573072185
