factor,auto_label,usage,ic_future,ic_past_5d,ic_risk,ic_stability,monotonicity,top_bottom_spread,ic_future_vol,ic_future_drawdown,ic_past_1d,ic_past_3d,ic_past_10d
ga_final_0007,negative_trend,risk_filter,-0.14600277293575734,-0.06588634988707458,-0.028280801128267807,0.9948453608247423,0.75,-0.04515542181825037,-0.07954281370743886,0.022981211450903243,-0.029558624552285313,-0.05144122037952814,-0.09369564287273
ga_final_0009,negative_trend,risk_filter,-0.14600277293575734,-0.06588634988707458,-0.028280801128267807,0.9948453608247423,0.75,-0.04515542181825037,-0.07954281370743886,0.022981211450903243,-0.029558624552285313,-0.05144122037952814,-0.09369564287273
ga_final_0011,negative_trend,risk_filter,-0.14600277293575734,-0.06588634988707458,-0.028280801128267807,0.9948453608247423,0.75,-0.04515542181825037,-0.07954281370743886,0.022981211450903243,-0.029558624552285313,-0.05144122037952814,-0.09369564287273
ga_final_0006,negative_trend,risk_filter,-0.14603321678196077,-0.06585087151497963,-0.028331662244728724,0.9948453608247423,0.75,-0.04515542181825037,-0.07960425232156604,0.022940927832108594,-0.029540993705016765,-0.051414457930031084,-0.09366061929454542
ga_final_0013,negative_trend,risk_filter,-0.14829952803590138,-0.06473852425437064,-0.029279087973664963,0.9948453608247423,0.75,-0.04638876585500283,-0.08155148648094686,0.02299331053361693,-0.028627283387144754,-0.05045209258067983,-0.09225394064599302
ga_final_0008,negative_trend,risk_filter,-0.1460342724870397,-0.06478863611142399,-0.027812512734616802,0.9948186528497409,0.75,-0.04537726097213436,-0.07898689715732334,0.023361871688089727,-0.028470774699568383,-0.050254377840478634,-0.09225352754172002
ga_final_0010,negative_trend,risk_filter,-0.14607276446060788,-0.06475538694752547,-0.027863194176286347,0.9948186528497409,0.75,-0.04537726097213436,-0.07905291365832705,0.023326525305754357,-0.02845161188836386,-0.050228039853724094,-0.09221960155541199
ga_final_0017,negative_trend,risk_filter,-0.1267815584690316,-0.07436756894527566,-0.012460829927802137,0.9900990099009901,0.75,-0.03999298203793654,-0.05538465845002464,0.030462998594420365,-0.02968830858274575,-0.05541042474683228,-0.11557967556304193
ga_final_0019,negative_trend,risk_filter,-0.1268364830623376,-0.07436365327778559,-0.012499127357661592,0.9900990099009901,0.75,-0.03999298203793654,-0.05544051936624944,0.030442264650926257,-0.029683628234298737,-0.055407701077539895,-0.11558180107282337
ga_final_0021,negative_trend,risk_filter,-0.1268364830623376,-0.07436365327778559,-0.012499127357661592,0.9900990099009901,0.75,-0.03999298203793654,-0.05544051936624944,0.030442264650926257,-0.029683628234298737,-0.055407701077539895,-0.11558180107282337
ga_final_0003,negative_trend,risk_filter,-0.13040510145368892,-0.07277983041961203,-0.017063399342750547,0.9900990099009901,1.0,-0.04094813007339658,-0.06169067119046301,0.027563872504961916,-0.028497807881284726,-0.053934132889923166,-0.11354844262289561
ga_final_0002,negative_trend,risk_filter,-0.1328672835022961,-0.07174002724771325,-0.020327628402096468,0.99,1.0,-0.042167992538487784,-0.06579062192179212,0.025135365117599187,-0.028761387844361563,-0.05364546125638737,-0.11102646899994582
ga_final_0001,negative_trend,risk_filter,-0.13292226412712238,-0.07172157548207277,-0.02036679154198419,0.99,1.0,-0.042167992538487784,-0.06584904331897715,0.025115460235008772,-0.028753365171489048,-0.05363283427995646,-0.11102061485518931
ga_final_0004,negative_trend,risk_filter,-0.13326312568999382,-0.07115745468799548,-0.021254686356263493,0.98989898989899,1.0,-0.04240697220668549,-0.06698503379048751,0.024475661077960526,-0.028248147034672325,-0.052926438908582674,-0.10906525797146971
ga_final_0024,negative_trend,risk_filter,-0.12991083261053318,-0.07252779333289507,-0.007928271021582133,0.9895287958115183,0.75,-0.04035652248591742,-0.051482790576158934,0.03562624853299467,-0.0319986504576771,-0.057069729311134784,-0.09752783119498382
ga_final_0028,negative_trend,risk_filter,-0.12490426453045773,-0.09386213406547726,0.00890735139053301,0.9861751152073732,1.0,-0.03629305479899937,-0.031139921968136933,0.04895462474920295,-0.03861492526004283,-0.07038219026871245,-0.07607746770664768
ga_final_0032,negative_trend,risk_filter,-0.12381983073270059,-0.04760318444891715,0.01471551624173259,0.981651376146789,0.75,-0.035604301403500724,-0.025205519603475106,0.054636552086940286,-0.039095826412348066,-0.05352052320995418,-0.037184129843554646
ga_final_0044,negative_trend,risk_filter,-0.11477891947661212,-0.001415360151708585,0.033373783505040805,0.9774774774774775,0.75,-0.032277947602253984,-0.0014009409464570144,0.06814850795653862,-0.014626467316201474,-0.004124365443352965,0.00023016867847312078
ga_final_0041,negative_trend,risk_filter,-0.1176817686714828,-0.0021562436469143996,0.02830213184110935,0.9774774774774775,0.75,-0.03333910643683144,-0.008012242581857659,0.06461650626407636,-0.003649679174628628,-0.0020608604049109883,-0.003193067918042863
ga_final_0040,negative_trend,risk_filter,-0.11784377028777354,-0.006049554465406354,0.02765035245237003,0.9774774774774775,0.75,-0.03344351589410963,-0.008615272787677241,0.0639159776924173,-0.013516930081230574,-0.007200152969275144,-0.005906600429873141
ga_final_0042,negative_trend,risk_filter,-0.11784377028777354,-0.006049554465406354,0.02765035245237003,0.9774774774774775,0.75,-0.03344351589410963,-0.008615272787677241,0.0639159776924173,-0.013516930081230574,-0.007200152969275144,-0.005906600429873141
ga_final_0038,negative_trend,risk_filter,-0.11944953630409957,-0.01796365150940076,0.024469182386553406,0.9774774774774775,0.75,-0.03412999309410818,-0.012670648704776324,0.06160901347788314,-0.03870026033618495,-0.02217160139341864,-0.014858208637853107
ga_final_0039,negative_trend,risk_filter,-0.11944953630409957,-0.01796365150940076,0.024469182386553406,0.9774774774774775,0.75,-0.03412999309410818,-0.012670648704776324,0.06160901347788314,-0.03870026033618495,-0.02217160139341864,-0.014858208637853107
