,ga_final_0000,ga_final_0001,ga_final_0002,ga_final_0003,ga_final_0004,ga_final_0005,ga_final_0006,ga_final_0007,ga_final_0008,ga_final_0009,ga_final_0010,ga_final_0011,ga_final_0012,ga_final_0013,ga_final_0014,ga_final_0015,ga_final_0016,ga_final_0017,ga_final_0018,ga_final_0019,ga_final_0020,ga_final_0021,ga_final_0022,ga_final_0023,ga_final_0024,ga_final_0025,ga_final_0026,ga_final_0027,ga_final_0028,ga_final_0029,ga_final_0030,ga_final_0031,ga_final_0032,ga_final_0033,ga_final_0034,ga_final_0035,ga_final_0036,ga_final_0037,ga_final_0038,ga_final_0039,ga_final_0040,ga_final_0041,ga_final_0042,ga_final_0043,ga_final_0044,ga_final_0045
ga_final_0010,-0.6746949424195136,0.9926987108489372,0.8929661521153108,0.9906169053945689,0.8933768301259682,0.8913173572978569,0.999659939192159,0.8978030580719883,0.898184804002988,0.8978030580719883,1.0,0.8978030580719883,-0.06754261771934751,0.9995521467379505,0.891717291991202,0.8953669115840556,0.8904979301116425,0.8898352392836779,0.894968312978562,0.9884128930446014,-0.1833349894128423,0.9884128930446014,-0.18333498941284226,-0.23576051228017464,0.8938572632955992,-0.24850262475922913,-0.24850262475922913,-0.017599502424026626,0.9817384059930766,-0.1855810462181799,-0.1855810462181798,-0.1662183466334989,0.8854597884327969,0.8845057903831075,0.8845057903831075,0.8845057903831075,0.8837987118849576,0.8837987118849576,0.8821724115173933,0.8821724115173933,0.8816081072814663,0.8812935409873844,0.8816081072814663,-0.009961765338656791,0.8791475740420162,-0.06883083768474167
ga_final_0011,-0.6653903478880971,0.8926992150211857,0.9938009896229875,0.8912961617471802,0.9942091906448649,0.9917051518093802,0.8979769225967965,1.0000000000000002,0.9997653606426172,1.0000000000000002,0.8978030580719883,1.0,-0.07374819140534034,0.8977042665047512,0.9923096239200938,0.9968638343770482,0.9909230619439419,0.9898444148806923,0.9963771777209081,0.8898099554760535,-0.19886545854716303,0.8898099554760535,-0.1988654585471631,-0.26441351621738746,0.9949513873728588,-0.2834032328793972,-0.2834032328793972,-0.01875498710752813,0.8856612139982258,-0.20329900545108062,-0.20329900545108062,-0.28361328294720034,0.9844345571512881,0.9833575864658194,0.9833575864658194,0.9833575864658194,0.9825278829193121,0.9825278829193121,0.9807221055149541,0.9807221055149541,0.9799477094410607,0.9796090935805544,0.9799477094410607,-0.010100459654902083,0.9771355552111526,-0.1733898187673828
ga_final_0012,0.06632469094354608,-0.04774526783418984,-0.05109329298241534,-0.0408025437191902,-0.05177817988345939,-0.04227755852682447,-0.0697690218003319,-0.07374819140534034,-0.07152844387762121,-0.07374819140534034,-0.06754261771934751,-0.07374819140534034,1.0,-0.0739242424321467,-0.045185053908128436,-0.06758376822121273,-0.038327820161426926,-0.03499016349595854,-0.0656875498919075,-0.03051285871977623,0.5159952930993179,-0.03051285871977623,0.515995293099318,0.48782643688885863,-0.037148839962766494,0.5231125235561028,0.5231125235561028,0.5109066094144398,0.005857182981550875,0.5152726477249226,0.5152726477249228,0.48759416772190484,-0.0025329189785360576,0.001108301744163416,0.001108301744163416,0.001108301744163416,0.005522050769478815,0.005522050769478805,0.012955564468147879,0.012955564468147863,0.016520317571391458,0.017390535189886473,0.016520317571391458,0.22309292629547103,0.026739400428295732,0.37014213007013474
ga_final_0013,-0.6739707790523638,0.9917140032796262,0.8922705239405976,0.9895636141378823,0.8926501644190723,0.8905806273667537,0.9995379644049711,0.8977042665047514,0.8978891719657563,0.8977042665047514,0.9995521467379505,0.8977042665047512,-0.0739242424321467,1.0,0.89147457494515,0.8952888233182503,0.8902393110231348,0.889021581093147,0.894882761663344,0.9872563124444909,-0.1851848431996139,0.9872563124444909,-0.18518484319961387,-0.2380518006328546,0.893204648014775,-0.25070791916065366,-0.25070791916065366,-0.019838874960772884,0.9810993372957121,-0.18769329057435785,-0.18769329057435785,-0.16696927952968701,0.8850179468233557,0.88406370666857,0.88406370666857,0.88406370666857,0.8833621555349846,0.8833621555349846,0.8816619070149323,0.8816619070149323,0.8810886719659191,0.8807754038856747,0.8810886719659191,-0.009967993768351911,0.8785629910768119,-0.06995434726764159
ga_final_0014,-0.665035341211579,0.889408320041722,0.9897238981072427,0.8890324553648916,0.9890701410396278,0.9896412927479279,0.8917655053084234,0.9923096239200939,0.9922503824519082,0.9923096239200939,0.891717291991202,0.9923096239200938,-0.045185053908128436,0.89147457494515,1.0,0.9968362198373818,0.9994190791831502,0.9885751421417216,0.997295215086348,0.8887210543748433,-0.16554826322699612,0.8887210543748433,-0.1655482632269962,-0.23247294511411132,0.9968092663758699,-0.2476296920314594,-0.2476296920314594,0.02392031788573278,0.8944802511576315,-0.16596775101463493,-0.16596775101463487,-0.26311916512025757,0.9952339629657896,0.9941600881686776,0.9941600881686776,0.9941600881686776,0.9931355366185841,0.9931355366185841,0.9921331837446922,0.9921331837446918,0.9914641667604338,0.9911095415029,0.9914641667604338,0.031229881282657874,0.9895929873596624,-0.1336480787034194
ga_final_0015,-0.666810716509444,0.8931784758318561,0.9942330033766469,0.8926762691665828,0.993616840041212,0.9939532134427308,0.8955156860961883,0.9968638343770483,0.9967034963336365,0.9968638343770483,0.8953669115840556,0.9968638343770482,-0.06758376822121273,0.8952888233182503,0.9968362198373818,1.0,0.9957162300290929,0.9927008978947107,0.9997990306529333,0.8921664973247518,-0.18385559982144972,0.8921664973247518,-0.18385559982144975,-0.2501747182656422,0.9972087987483355,-0.26753829408399626,-0.26753829408399626,-0.0012690260537998996,0.8903516164284234,-0.18669305130992261,-0.18669305130992256,-0.2749593058006587,0.9901414416952286,0.9890523772659624,0.9890523772659624,0.9890523772659624,0.9881074296605353,0.9881074296605352,0.9866611686002954,0.9866611686002957,0.9859258701924272,0.9855806664338229,0.9859258701924272,0.009530222483223801,0.9835262871935863,-0.15334716339300822
ga_final_0016,-0.6637213849604335,0.8880340038292605,0.9883029900209533,0.8876850010878037,0.987638761174126,0.9882882433352698,0.8905223220748382,0.9909230619439422,0.9909011916700952,0.9909230619439422,0.8904979301116425,0.9909230619439419,-0.038327820161426926,0.8902393110231348,0.9994190791831502,0.9957162300290929,1.0,0.9872634559946171,0.9962202008445591,0.8874233206329202,-0.15954597025818254,0.8874233206329202,-0.15954597025818248,-0.22696936066162293,0.996140584639846,-0.2414275536924733,-0.2414275536924733,0.031886468737028204,0.895122441581117,-0.1594729471579466,-0.15947294715794655,-0.25882894979684573,0.996380761432369,0.995353556981416,0.995353556981416,0.995353556981416,0.9943188228679267,0.9943188228679268,0.9934474188161445,0.9934474188161444,0.9928006956999628,0.9924449904605858,0.9928006956999628,0.03569310962503098,0.991091719056262,-0.12868032332967072
ga_final_0017,-0.6609674058272813,0.8961821247530259,0.9981244661930969,0.8968871948609387,0.9969706694442163,0.9997029649000146,0.8898517780981883,0.9898444148806924,0.989878254874049,0.9898444148806924,0.8898352392836779,0.9898444148806923,-0.03499016349595854,0.889021581093147,0.9885751421417216,0.9927008978947107,0.9872634559946171,1.0,0.9922053410724986,0.8976414093696338,-0.1711768070260713,0.8976414093696338,-0.17117680702607127,-0.23199576186660784,0.9955048483837341,-0.2498312567482462,-0.2498312567482462,0.004333647459921892,0.8846142912438866,-0.17275366570276948,-0.17275366570276948,-0.2678949769567502,0.9822426075674541,0.9810073485023991,0.9810073485023991,0.9810073485023991,0.9800156843566462,0.9800156843566459,0.9788147755960376,0.9788147755960375,0.9782020924904542,0.977837772516277,0.9782020924904542,0.026259979361719737,0.9761374861175777,-0.13349670442555508
ga_final_0018,-0.6660212329611213,0.8927354352726429,0.9936924187740719,0.8922398365382113,0.9930732342179062,0.9934281912223305,0.8951099218962223,0.9963771777209081,0.9962283875676944,0.9963771777209081,0.894968312978562,0.9963771777209081,-0.0656875498919075,0.894882761663344,0.997295215086348,0.9997990306529333,0.9962202008445591,0.9922053410724986,1.0,0.8917617620858486,-0.18193721979235541,0.8917617620858486,-0.18193721979235544,-0.24836744129697375,0.9972870043285683,-0.26549872869464824,-0.26549872869464824,0.0012211535450701088,0.8908648383206876,-0.18454390337101767,-0.18454390337101761,-0.2737921078914721,0.9907852215697777,0.9896989584650248,0.9896989584650248,0.9896989584650248,0.9887374433569028,0.9887374433569028,0.9873505378272811,0.9873505378272812,0.9866151330918208,0.9862693502336524,0.9866151330918208,0.012095905323105666,0.9842768885564844,-0.15097370491609446
ga_final_0019,-0.6709264759915987,0.9977815296798218,0.8960709564424381,0.9988538280875429,0.8952167277074868,0.8973620314989423,0.9884573167825536,0.8898099554760533,0.8899839681205369,0.8898099554760533,0.9884128930446014,0.8898099554760535,-0.03051285871977623,0.9872563124444909,0.8887210543748433,0.8921664973247518,0.8874233206329202,0.8976414093696338,0.8917617620858486,1.0,-0.1577945281342889,1.0,-0.15779452813428888,-0.20818560091837587,0.8938338649870067,-0.22000008215681507,-0.22000008215681507,0.0026782462143092613,0.9801753463186756,-0.1570706076340323,-0.15707060763403227,-0.14537479933040026,0.8832263406046688,0.8821157867435121,0.8821157867435121,0.8821157867435121,0.8812302586171354,0.8812302586171352,0.8800655211096016,0.8800655211096013,0.8795819707068518,0.8792231744004189,0.8795819707068518,0.030732409625870122,0.8776773455584618,-0.024362533430806355
