,ga_final_0000,ga_final_0001,ga_final_0002,ga_final_0003,ga_final_0004,ga_final_0005,ga_final_0006,ga_final_0007,ga_final_0008,ga_final_0009,ga_final_0010,ga_final_0011,ga_final_0012,ga_final_0013,ga_final_0014,ga_final_0015,ga_final_0016,ga_final_0017,ga_final_0018,ga_final_0019,ga_final_0020,ga_final_0021,ga_final_0022,ga_final_0023,ga_final_0024,ga_final_0025,ga_final_0026,ga_final_0027,ga_final_0028,ga_final_0029,ga_final_0030,ga_final_0031,ga_final_0032,ga_final_0033,ga_final_0034,ga_final_0035,ga_final_0036,ga_final_0037,ga_final_0038,ga_final_0039,ga_final_0040,ga_final_0041,ga_final_0042,ga_final_0043,ga_final_0044,ga_final_0045,ga_final_0046,ga_final_0047,ga_final_0048,ga_final_0049
ga_final_0010,0.9761906757788169,0.9761906757788169,0.9761906757788169,0.979182029804597,0.9794452996479839,0.9798427098828383,-0.9996006981176699,-0.967503057263128,-0.9831397394482186,-0.9772089868888635,1.0,1.0,1.0,0.9997373378908853,0.9999999999999999,0.9997089337997964,0.21155546245734433,0.9997090480804515,0.9997373378908849,-0.9646509092449476,0.7120901930589043,0.9979808791363634,0.9879956699323935,0.9879956699323935,-0.14695149575046787,0.9979808791363634,-0.9626295058006084,-0.1244353428006794,-0.14695149575046787,0.99922779093804,0.9993691709558784,-0.15600755034648325,-0.9293415289375688,0.9997978691843128,0.9950654677939016,0.9969074169971713,-0.9619058686911026,0.9912782943875909,0.9888312097850274,0.9871242256926844,0.9851610610115766,0.9889216282284505,0.9892330537169775,-0.9610961370912806,-0.9613257827667119,0.9824895050485594,0.8836809729652114,-0.23523637148087048,0.9672366310576643,-0.14190551262443168
ga_final_0011,0.9761906757788169,0.9761906757788169,0.9761906757788169,0.979182029804597,0.9794452996479839,0.9798427098828383,-0.9996006981176699,-0.967503057263128,-0.9831397394482186,-0.9772089868888635,1.0,1.0,1.0,0.9997373378908853,0.9999999999999999,0.9997089337997964,0.21155546245734433,0.9997090480804515,0.9997373378908849,-0.9646509092449476,0.7120901930589043,0.9979808791363634,0.9879956699323935,0.9879956699323935,-0.14695149575046787,0.9979808791363634,-0.9626295058006084,-0.1244353428006794,-0.14695149575046787,0.99922779093804,0.9993691709558784,-0.15600755034648325,-0.9293415289375688,0.9997978691843128,0.9950654677939016,0.9969074169971713,-0.9619058686911026,0.9912782943875909,0.9888312097850274,0.9871242256926844,0.9851610610115766,0.9889216282284505,0.9892330537169775,-0.9610961370912806,-0.9613257827667119,0.9824895050485594,0.8836809729652114,-0.23523637148087048,0.9672366310576643,-0.14190551262443168
ga_final_0012,0.9761906757788169,0.9761906757788169,0.9761906757788169,0.979182029804597,0.9794452996479839,0.9798427098828383,-0.9996006981176699,-0.967503057263128,-0.9831397394482186,-0.9772089868888635,1.0,1.0,1.0,0.9997373378908853,0.9999999999999999,0.9997089337997964,0.21155546245734433,0.9997090480804515,0.9997373378908849,-0.9646509092449476,0.7120901930589043,0.9979808791363634,0.9879956699323935,0.9879956699323935,-0.14695149575046787,0.9979808791363634,-0.9626295058006084,-0.1244353428006794,-0.14695149575046787,0.99922779093804,0.9993691709558784,-0.15600755034648325,-0.9293415289375688,0.9997978691843128,0.9950654677939016,0.9969074169971713,-0.9619058686911026,0.9912782943875909,0.9888312097850274,0.9871242256926844,0.9851610610115766,0.9889216282284505,0.9892330537169775,-0.9610961370912806,-0.9613257827667119,0.9824895050485594,0.8836809729652114,-0.23523637148087048,0.9672366310576643,-0.14190551262443168
ga_final_0013,0.9751041466012729,0.9751041466012729,0.9751041466012729,0.9782108030265618,0.9784308887706719,0.9791332223990633,-0.9998330503531478,-0.9682822312169187,-0.983854810508631,-0.9779464790776917,0.9997373378908853,0.9997373378908853,0.9997373378908853,1.0,0.9997373378908851,0.9994021635119894,0.20743721196024337,0.9995959358147056,1.0,-0.9654143930507461,0.7099021902126715,0.9975682007131761,0.987220849089113,0.987220849089113,-0.1439335355375845,0.9975682007131761,-0.9634242518511847,-0.12184412193159735,-0.1439335355375845,0.9991196017968165,0.9991686117663576,-0.1527024305085444,-0.9289280945228838,0.9999238019498635,0.9945445974423474,0.9969981879931764,-0.9626869831470605,0.9906242364554596,0.9891498102136418,0.9876613015262725,0.985800834209667,0.9893259846555624,0.9897386013393671,-0.9619156758904668,-0.9621361623792144,0.9829531426043864,0.8840867124713813,-0.2328084900984436,0.9680181178870991,-0.13875082721739984
ga_final_0014,0.9761906757788169,0.9761906757788169,0.9761906757788169,0.9791820298045971,0.9794452996479839,0.9798427098828383,-0.9996006981176699,-0.9675030572631282,-0.9831397394482188,-0.9772089868888638,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9997373378908851,1.0,0.9997089337997964,0.21155546245734438,0.9997090480804519,0.9997373378908853,-0.9646509092449477,0.7120901930589044,0.9979808791363634,0.9879956699323935,0.9879956699323935,-0.14695149575046793,0.9979808791363634,-0.9626295058006085,-0.1244353428006795,-0.1469514957504679,0.9992277909380399,0.9993691709558784,-0.15600755034648323,-0.9293415289375689,0.9997978691843128,0.9950654677939016,0.9969074169971713,-0.961905868691103,0.991278294387591,0.9888312097850275,0.9871242256926841,0.9851610610115766,0.9889216282284508,0.9892330537169775,-0.9610961370912809,-0.9613257827667121,0.9824895050485596,0.8836809729652115,-0.23523637148087054,0.9672366310576644,-0.14190551262443168
ga_final_0015,0.9771893295359592,0.9771893295359592,0.9771893295359592,0.9802153576184047,0.980468575763082,0.9808239032034805,-0.9992935330025086,-0.9662593581010348,-0.9822079681056851,-0.9761052555715787,0.9997089337997964,0.9997089337997964,0.9997089337997964,0.9994021635119894,0.9997089337997964,1.0,0.2125974761569425,0.9992832043811265,0.9994021635119894,-0.9634630195434423,0.7129698851340607,0.9985498342186562,0.9889015447656764,0.9889015447656764,-0.14885973789443158,0.9985498342186562,-0.961403847471194,-0.12587022793651315,-0.14885973789443155,0.999473213092417,0.9991365883408063,-0.15790753034100016,-0.9299268548211822,0.9994938930947499,0.9957983501259267,0.9963296035325476,-0.9606796656076853,0.9920838413521813,0.9880410242318846,0.9862085051567341,0.9842192170458016,0.9881037506887141,0.9883812260777726,-0.9598474314923204,-0.9600818491133654,0.9815388927446627,0.8829245783673212,-0.23717396474869562,0.9659966513504383,-0.1435053761639082
ga_final_0016,0.23461246399399838,0.23461246399399838,0.23461246399399838,0.24832516135030908,0.23388316344706886,0.2204754012711579,-0.2062763586977945,-0.1595663892709712,-0.18134937461749917,-0.1749188058314374,0.21155546245734433,0.21155546245734433,0.21155546245734433,0.20743721196024337,0.21155546245734438,0.2125974761569425,1.0,0.21053061402810316,0.20743721196024337,-0.1588577510589122,0.2664143921159966,0.21627669395998256,0.2282799158750054,0.2282799158750054,-0.27900784945092305,0.21627669395998256,-0.1555071913700582,-0.2496587177773643,-0.27900784945092294,0.21989172020482287,0.2209275436424434,-0.3152743541621786,-0.18009925238730148,0.2094276085590114,0.22051977796384123,0.20262156074344373,-0.15523675002079412,0.22503140149543044,0.19886939319056982,0.18434904740034472,0.17651418916051279,0.19308069706966463,0.18974749773991517,-0.15359701986515342,-0.15386252444205212,0.180264289729197,0.17106568526958035,-0.18921366570483744,0.15921138631141563,-0.2687497518272366
ga_final_0017,0.975192389711589,0.975192389711589,0.975192389711589,0.9781583331442413,0.9784357474862769,0.9788747748439063,-0.9994481442114315,-0.9687254451766495,-0.9840123614595113,-0.9782513735984837,0.9997090480804515,0.9997090480804515,0.9997090480804515,0.9995959358147056,0.9997090480804519,0.9992832043811265,0.21053061402810316,1.0,0.9995959358147057,-0.9658031783245523,0.7109811720280568,0.9973626716850177,0.987076697101424,0.987076697101424,-0.14515122763260654,0.9973626716850177,-0.9638459358089745,-0.1231713865160227,-0.14515122763260657,0.9988266533599185,0.9990439842414149,-0.15432945594842085,-0.9287929259701024,0.9995914171896431,0.9943196453582468,0.997210256615812,-0.9631002585316893,0.9904635618731699,0.9896005220340636,0.9880218989537792,0.986083713088281,0.9897194773603551,0.9900775602520793,-0.9623393667392908,-0.9625322174372115,0.9834426754477386,0.8844566661035386,-0.23332806467075606,0.9684674765038787,-0.14013312471244393
ga_final_0018,0.975104146601273,0.975104146601273,0.975104146601273,0.9782108030265619,0.9784308887706721,0.9791332223990635,-0.9998330503531482,-0.9682822312169189,-0.9838548105086311,-0.9779464790776922,0.9997373378908849,0.9997373378908849,0.9997373378908849,1.0,0.9997373378908853,0.9994021635119894,0.20743721196024337,0.9995959358147057,1.0,-0.9654143930507462,0.7099021902126714,0.9975682007131763,0.9872208490891132,0.9872208490891132,-0.14393353553758453,0.9975682007131763,-0.9634242518511847,-0.12184412193159733,-0.1439335355375845,0.9991196017968165,0.9991686117663576,-0.15270243050854448,-0.9289280945228838,0.9999238019498635,0.9945445974423474,0.9969981879931764,-0.9626869831470606,0.9906242364554596,0.9891498102136418,0.9876613015262729,0.985800834209667,0.9893259846555625,0.9897386013393672,-0.9619156758904668,-0.9621361623792144,0.9829531426043864,0.8840867124713813,-0.2328084900984436,0.9680181178870989,-0.1387508272173999
ga_final_0019,-0.9305849138717245,-0.9305849138717245,-0.9305849138717245,-0.9329426199867537,-0.9346952555858223,-0.9368895380650617,0.9655186223161063,0.9918667407189923,0.9691698066443163,0.9783646822527097,-0.9646509092449476,-0.9646509092449476,-0.9646509092449476,-0.9654143930507461,-0.9646509092449477,-0.9634630195434423,-0.1588577510589122,-0.9658031783245523,-0.9654143930507462,1.0,-0.6444251735914881,-0.9594034255396566,-0.9461372426202379,-0.9461372426202379,-0.006505091167004534,-0.9594034255396566,0.9993212849039773,-0.013067578426763182,-0.0065050911670045345,-0.9627283645630104,-0.9630674658161286,0.026860386023109143,0.8992605120738595,-0.9651338326499967,-0.9548331198638736,-0.9757158348666739,0.9995862786654652,-0.9499297277405813,-0.9806531451146108,-0.9835616089667559,-0.9851698902057102,-0.9817023391819416,-0.9817349303851203,0.9991448910024396,0.999608036865015,-0.9882458391318538,-0.8883967425105407,0.11938115663223872,-0.9920475334786,-0.005420178164012545
ga_final_0020,0.7369665743443642,0.7369665743443642,0.7369665743443642,0.739319174931517,0.7371345324728801,0.7327228500108749,-0.7083629041913458,-0.6536316761479731,-0.6780895148512429,-0.6710930508271492,0.7120901930589043,0.7120901930589043,0.7120901930589043,0.7099021902126715,0.7120901930589044,0.7129698851340607,0.2664143921159966,0.7109811720280568,0.7099021902126714,-0.6444251735914881,1.0,0.7182200826097512,0.7329992239653477,0.7329992239653477,-0.38371571114136954,0.7182200826097512,-0.6390561513704284,-0.35323742638319,-0.38371571114136954,0.7141003412915833,0.714345317420071,-0.4248177274991696,-0.7055323291235778,0.7101210017675111,0.7256877030937796,0.7033700902795804,-0.6381647490811756,0.7314355909740236,0.6985420716852815,0.6881347368581127,0.6824627966703255,0.6952309450280912,0.6931011488268246,-0.635715318002434,-0.6343386816560752,0.6836467290969578,0.6111296342702381,-0.5845372447101621,0.6532221722947983,-0.33603226806221786
