generation,factor,expr_key,operation,parents,mutation_op,first_generation,fitness,rank_ic_mean,rank_ic_ir,depth,complexity,survived
2,ga_g002_0013,ts_min[3](close),crossover,ts_min[3](vwap)|close,,2,0.9094768694623256,-0.12333564612553906,-1.9103953864726797,2,2,False
2,ga_g002_0018,ts_min[3](vwap),random_init,,,2,0.906207454976506,-0.12305313049882356,-1.9029814911745626,2,2,False
2,ga_g002_0037,low,random_init,,,2,0.8969527231088237,-0.1216946911884688,-1.8781254734849613,1,1,False
2,ga_g002_0024,rank(open),crossover+mutate,log_abs(delta[10](low))|close,rank,2,0.8876470054716847,-0.1194947887780222,-1.8545462801480446,2,2,False
2,ga_g002_0027,abs(scale(open)),random_inject,,,1,0.8826047996812296,-0.11944953630409957,-1.8536579023719182,3,3,False
2,ga_g002_0015,"ts_std[20](correlation[3](open,open))",crossover,"ts_std[20](correlation[3](demean(low),open))|open",,1,0.877241921530356,-0.13344576696733873,-1.6177743620771647,3,4,False
2,ga_g002_0026,vwap,random_init,,,2,0.8687076148593346,-0.11784377028777354,-1.8128440134174262,1,1,False
2,ga_g002_0009,close,random_init,,,2,0.866552276095937,-0.1176817686714828,-1.805546477401925,1,1,False
2,ga_g002_0019,"ts_std[20](ts_std[20](correlation[3](open,open)))",crossover,"ts_std[20](correlation[3](open,open))|ts_std[20](correlation[3](open,open))",,2,0.8643487549990333,-0.10091819701978372,-1.6713057712503145,4,5,False
2,ga_g002_0010,high,random_init,,,2,0.8482216792298366,-0.11477891947661212,-1.7627850898831834,1,1,False
2,ga_g002_0006,abs(scale(high)),crossover+mutate,abs(scale(open))|vwap,abs,2,0.8442216792298366,-0.11477891947661212,-1.7627850898831834,3,3,False
2,ga_g002_0032,sign(zscore_cs(close)),mutate,"sub(returns,open)",sign,2,0.7352537307509825,-0.07861430923883057,-1.40886335459188,3,3,False
2,ga_g002_0039,"covariance[60](log_abs(scale(vwap)),close)",crossover,"covariance[60](log_abs(scale(amount)),close)|vwap",,2,0.7292589726139704,0.11529075938210845,1.0198700640706606,4,5,False
