factor,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,ic_win_rate,abs_rank_ic_mean,abs_rank_ic_ir,selected,drop_reason
ga_final_0014,-0.1288525867846957,0.0408184439182271,-3.156724617989608,-0.15776500075213795,0.06532975934889618,-2.414902524125149,0.0,0.15776500075213795,2.414902524125149,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0017,-0.12692405411673996,0.04197870243360382,-3.023534477214752,-0.15620922303057508,0.06491870622320928,-2.4062282217005775,0.0,0.15620922303057508,2.4062282217005775,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0030,-0.13168895634401878,0.04112801690321767,-3.20192818082887,-0.1617820411697469,0.0672718415969977,-2.4048998411389877,0.0,0.1617820411697469,2.4048998411389877,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0021,-0.1337583004208383,0.040650232994728384,-3.290468235155857,-0.16319323412247894,0.06790460010347418,-2.4032721475982823,0.0,0.16319323412247894,2.4032721475982823,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0025,-0.1337583004208383,0.040650232994728384,-3.290468235155857,-0.16319323412247894,0.06790460010347418,-2.4032721475982823,0.0,0.16319323412247894,2.4032721475982823,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0006,0.12894699820638839,0.0399138148671032,3.230635774498868,0.1570394451241269,0.0654015315095374,2.401158527934871,0.7252252252252253,0.1570394451241269,2.401158527934871,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0029,-0.13200933127917658,0.04062644507246444,-3.2493448797627904,-0.16187243658526793,0.06742879284860252,-2.400642659415825,0.0,0.16187243658526793,2.400642659415825,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0013,-0.1282546553993984,0.04095013193116614,-3.1319717263666966,-0.1570572079420631,0.06549445026373912,-2.3980231501999114,0.0,0.1570572079420631,2.3980231501999114,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0018,-0.12825465539939837,0.04095013193116614,-3.131971726366696,-0.1570572079420631,0.06549445026373912,-2.3980231501999114,0.0,0.1570572079420631,2.3980231501999114,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
ga_final_0033,-0.12921457182726273,0.040576480713620376,-3.184469662098839,-0.15786711554276364,0.06584457334785504,-2.3975721538775274,0.0,0.15786711554276364,2.3975721538775274,False,|corr|>0.7 的高相关因子（保留 IR 更高者）
