,IC,RankIC,RR
20250410,,,
20250411,,,
20250414,-0.02919714279585879,-0.07656161309749704,0.012639357361764487
20250415,,,
20250416,,,
20250417,,,
20250418,,,
20250421,-0.10625868527210408,-0.1825036682158293,-0.03282703992134551
20250422,,,
20250423,,,
20250424,,,
20250425,,,
20250428,0.13487461497032788,0.24517653606451412,0.004691480554882143
20250429,,,
20250430,,,
20250506,-0.0036355296590389347,-0.01107433780046163,-0.007814637306411854
20250507,,,
20250508,,,
20250509,,,
20250512,0.2348454709925793,0.04280216125609665,0.1613311961365253
20250513,,,
20250514,,,
20250515,,,
20250516,,,
20250519,-0.04305321366501016,-0.18836703486571724,0.005198118861978124
20250520,,,
20250521,,,
20250522,,,
20250523,,,
20250526,-0.04808214671006169,-0.141744237032818,-0.024541383126081822
20250527,,,
20250528,,,
20250529,,,
20250530,,,
20250603,0.007074152033115576,0.0056147428339864015,0.003249886339309744
20250604,,,
20250605,,,
20250606,,,
20250609,-0.08062564746986191,-0.22387644353205186,-0.0010940664474120452
20250610,,,
20250611,,,
20250612,,,
20250613,,,
20250616,-0.1106566023350565,-0.28386260629115273,-0.0306454235760163
20250617,,,
20250618,,,
20250619,,,
20250620,,,
20250623,0.07277738889449145,0.13555464048250018,-0.015823987903133323
20250624,,,
20250625,,,
20250626,,,
20250627,,,
20250630,-0.08083879585404227,-0.2555988999757584,-0.0023571280026748465
20250701,,,
20250702,,,
20250703,,,
20250704,,,
20250707,-0.15899978373528229,-0.1916097748332168,-0.04292872732185597
20250708,,,
20250709,,,
20250710,,,
20250711,,,
20250714,-0.13902628805387435,-0.1624453557514864,-0.03519618818074999
20250715,,,
20250716,,,
20250717,,,
20250718,,,
20250721,-0.11660540996916798,-0.19897258570487383,-0.03602588146733901
20250722,,,
20250723,,,
20250724,,,
20250725,,,
20250728,-0.0828716746497989,-0.15308743784694287,-0.041873496839409045
20250729,,,
20250730,,,
20250731,,,
20250801,,,
20250804,0.12226530072710239,0.11988484693718443,0.060275824242745454
20250805,,,
20250806,,,
20250807,,,
20250808,,,
20250811,0.10713202799140485,0.028566718174312146,0.004474184683666605
20250812,,,
20250813,,,
20250814,,,
20250815,,,
20250818,-0.11810619842670791,-0.1693248498313807,-0.033422037489998585
20250819,,,
20250820,,,
20250821,,,
20250822,,,
20250825,-0.021278709421855432,-0.12052893004012816,0.025423361479856108
20250826,,,
20250827,,,
20250828,,,
20250829,,,
20250901,-0.21270366909286856,-0.23509814806360937,-0.07231638265030477
20250902,,,
20250903,,,
20250904,,,
20250905,,,
20250908,0.10138552941779314,-0.0036397171451071717,0.025156797076260607
20250909,,,
20250910,,,
20250911,,,
20250912,,,
20250915,0.04695778159421753,0.02366315970123574,0.007693828602674396
20250916,,,
20250917,,,
20250918,,,
20250919,,,
20250922,-0.15993915147340657,-0.17540531651384494,-0.04237159325142692
20250923,,,
20250924,,,
20250925,,,
20250926,,,
20250929,0.00428222957458393,-0.020589183119731277,4.93611416351623e-05
20250930,,,
20251009,-0.10732011620322626,-0.222525203775782,-0.016911399798060594
20251010,,,
20251013,-0.16114241484309474,-0.3212186238493585,-0.0005534990002654949
20251014,,,
20251015,,,
20251016,,,
20251017,,,
20251020,-0.03015308022237543,0.013997235979535554,-0.0031429902259981334
20251021,,,
20251022,,,
20251023,,,
20251024,,,
20251027,-0.030903241575595618,-0.046545783976772684,-0.02764447211608248
20251028,,,
20251029,,,
20251030,,,
20251031,,,
20251103,-0.06526029230442627,-0.2036570765377432,0.009267816954986904
20251104,,,
20251105,,,
20251106,,,
20251107,,,
20251110,0.08470315998563357,-0.06758621640495488,0.09060218595881947
20251111,,,
20251112,,,
20251113,,,
20251114,,,
